{' A': -0.80889344, 'A': -10.1387825, ' B': -0.59010154, ' "': -8.692387, " '": -9.863986}
{' b': -10.078865, ' A': -1.0096619, 'A': -10.169282, ' B': -0.45354962, ' "': -9.104751}
{' b': -9.971772, ' A': -1.1786135, 'A': -10.385571, ' B': -0.36810112, ' "': -9.403886}
{' B': -0.36436394, ' A': -1.1870626, ' "': -9.399932, ' b': -9.964269, 'A': -10.416376}
{' B': -0.58974373, ' A': -0.80904293, ' "': -9.398514, 'A': -10.133487, ' b': -10.179431}
{' B': -0.19355817, ' A': -1.7384304, ' "': -9.734191, ' b': -10.011475, 'B': -10.557936}
{' A': -0.1502484, 'A': -9.574543, ' B': -1.971341, ' "': -9.380965, " '": -10.785489}
{' b': -10.268633, ' A': -0.70257896, 'A': -10.01621, ' B': -0.6842645, ' "': -9.584766}
{' A': -0.40247783, 'A': -9.876099, ' B': -1.1053396, ' "': -9.342734, " '": -10.745016}
{' b': -10.921403, ' A': -0.26402348, 'A': -9.725925, ' B': -1.4617583, ' "': -9.646838}
{' A': -0.24434708, 'A': -9.752213, ' B': -1.5298619, ' "': -9.550623, " '": -10.854989}
{' A': -0.18055494, 'A': -9.640686, ' B': -1.802135, ' "': -9.2643, " '": -10.770459}
{' a': -10.885261, ' A': -0.041048683, 'A': -9.614666, ' B': -3.218096, ' "': -9.786335}
{' A': -0.113987066, 'A': -9.717424, ' B': -2.2298622, ' "': -9.691298, " '": -11.076847}
{' a': -10.968654, ' A': -0.042511027, 'A': -9.691679, ' B': -3.1834447, ' "': -9.814831}
{' b': -10.244905, ' A': -0.8969868, 'A': -10.286124, ' B': -0.5242679, ' "': -9.586163}
{' a': -10.7844515, ' A': -0.054077964, 'A': -9.593425, ' B': -2.948134, ' "': -9.612847}
{' a': -10.810991, ' A': -0.055837516, 'A': -9.661258, ' B': -2.916643, ' "': -9.704734}
{' a': -10.91591, ' A': -0.026410135, 'A': -9.718277, ' B': -3.6535559, ' "': -9.927565}
{' A': -0.055485822, ' B': -2.9225397, 'A': -9.652896, ' "': -9.87662, ' a': -10.888882}
{' A': -0.049638364, ' B': -3.0318215, ' "': -9.650647, 'A': -9.67032, ' a': -10.802493}
{' a': -10.687343, ' A': -0.008847356, 'A': -9.648737, ' B': -4.7537465, ' "': -9.710238}
{' a': -10.792796, ' A': -0.05651323, 'A': -9.611511, ' B': -2.9050102, ' "': -9.722726}
{' A': -0.03738782, ' B': -3.310045, 'A': -9.617287, ' "': -9.807332, ' a': -10.854158}
{' a': -10.988893, ' A': -0.030476889, 'A': -9.689231, ' B': -3.5118172, ' "': -9.785027}
{' A': -0.075673856, 'A': -9.665584, ' B': -2.6215284, ' "': -9.678456, " '": -10.961556}
{' a': -10.75558, ' A': -0.008001028, 'A': -9.636835, ' B': -4.854835, ' "': -9.800429}
{' A': -0.05311127, ' B': -2.965491, 'A': -9.620038, ' "': -9.764766, ' a': -10.90187}
{' a': -10.816663, ' A': -0.033489972, 'A': -9.636217, ' B': -3.4187894, ' "': -9.805853}
{' a': -10.908433, ' A': -0.058328316, 'A': -9.627141, ' B': -2.8738856, ' "': -9.83408}
{' A': -0.061681475, ' B': -2.8194747, 'A': -9.671074, ' "': -9.795018, ' a': -10.949635}
{' a': -10.874071, ' A': -0.023830308, 'A': -9.660074, ' B': -3.7569118, ' "': -9.614794}
{' A': -0.042662352, ' B': -3.1802146, 'A': -9.639813, ' "': -9.731556, ' a': -10.897759}
{' a': -10.933881, ' A': -0.03914924, 'A': -9.673761, ' B': -3.264287, ' "': -9.895797}
{' a': -10.932562, ' A': -0.027644007, 'A': -9.674568, ' B': -3.6083112, ' "': -9.885207}
{' A': -0.29416546, ' B': -1.3679398, ' "': -9.272355, 'A': -9.971406, " '": -10.845627}
{' A': -0.068961754, 'A': -9.626153, ' B': -2.711883, ' "': -9.370655, " '": -10.719614}
{' B': -0.17577085, ' A': -1.826333, ' "': -9.630287, ' b': -10.199244, 'B': -10.640108}
{' b': -10.108674, ' A': -1.9862663, 'B': -10.689029, ' B': -0.14777492, ' "': -9.879027}
{' b': -9.960518, ' A': -1.9205064, 'B': -10.750601, ' B': -0.15866926, ' "': -9.61388}
{' b': -10.196896, ' A': -1.5899324, 'B': -10.775702, ' B': -0.228322, ' "': -9.590283}
{' b': -10.180865, ' A': -2.4093556, 'B': -10.843227, ' B': -0.09432449, ' "': -9.960995}
{' b': -10.968553, ' A': -0.44922814, 'A': -9.993599, ' B': -1.017023, ' "': -9.538805}
{' b': -10.324711, ' A': -1.0312432, 'A': -10.54115, ' B': -0.4412469, ' "': -9.64837}
{' b': -10.545122, ' A': -0.7489806, 'A': -10.3668995, ' B': -0.64065075, ' "': -9.588288}
{' b': -10.810133, ' A': -0.46715954, 'A': -10.1264515, ' B': -0.986088, ' "': -9.795029}
{' b': -10.743559, ' A': -0.5420557, 'A': -10.230409, ' B': -0.8716607, ' "': -9.697725}
{' A': -0.36928946, 'A': -9.996828, ' B': -1.1758251, ' "': -9.497891, " '": -11.037133}
{' A': -0.0826982, 'A': -9.890083, ' B': -2.5359242, ' (': -11.037883, ' "': -9.705518}
{' A': -0.31111765, 'A': -10.087927, ' B': -1.3198724, ' "': -9.468777, " '": -10.974117}
{' a': -11.114272, ' A': -0.113851935, 'A': -9.928588, ' B': -2.2307112, ' "': -9.990534}
{' b': -10.37626, ' A': -1.1469917, 'A': -10.71338, ' B': -0.38240996, ' "': -9.609169}
{' A': -0.10524238, 'A': -9.797571, ' B': -2.3055997, ' "': -9.609542, " '": -11.037241}
{' A': -0.11626225, ' B': -2.2112596, ' "': -9.556289, 'A': -9.896636, ' (': -11.060246}
{' A': -0.02902266, ' B': -3.5593817, 'A': -9.909917, ' "': -10.043352, ' a': -11.065583}
{' a': -11.00561, ' A': -0.07108626, 'A': -9.857948, ' B': -2.6818764, ' "': -9.70292}
{' A': -0.069078945, 'A': -9.9245, ' B': -2.7094274, ' (': -11.031175, ' "': -9.757214}
{' a': -10.883671, ' A': -0.010369551, 'A': -9.8529825, ' B': -4.590209, ' "': -9.883771}
{' a': -10.877704, ' A': -0.043557543, 'A': -9.842572, ' B': -3.1593964, ' "': -9.864116}
{' a': -11.045229, ' A': -0.08479913, 'A': -9.858893, ' B': -2.5116675, ' "': -9.848948}
{' a': -11.042108, ' A': -0.031060137, 'A': -9.888466, ' B': -3.4921882, ' "': -10.013913}
{' A': -0.14561757, 'A': -9.933578, ' B': -2.0000412, ' "': -9.667053, " '": -11.069686}
{' a': -10.826064, ' A': -0.018880488, 'A': -9.804777, ' B': -3.988771, ' "': -9.727115}
{' A': -0.10253611, 'A': -9.877813, ' B': -2.3301609, ' (': -11.116567, ' "': -9.82423}
{' A': -0.062743574, ' B': -2.80277, ' "': -9.781927, 'A': -9.857855, ' a': -11.041655}
{' a': -11.098421, ' A': -0.106970154, 'A': -9.8692665, ' B': -2.289738, ' "': -10.057787}
{' a': -11.1114235, ' A': -0.08472096, 'A': -9.910631, ' B': -2.5123026, ' "': -10.037078}
{' a': -10.879733, ' A': -0.024817713, 'A': -9.8351965, ' B': -3.7154074, ' "': -9.840897}
{' a': -11.005879, ' A': -0.065810926, 'A': -9.859568, ' B': -2.7564256, ' "': -9.794637}
{' a': -11.087508, ' A': -0.074434035, 'A': -9.882928, ' B': -2.6372736, ' "': -9.717929}
{' a': -11.004267, ' A': -0.04883271, 'A': -9.877891, ' B': -3.0473242, ' "': -9.725443}
{' b': -10.64254, ' A': -0.6903032, 'A': -10.452102, ' B': -0.69646966, ' "': -9.13716}
{' A': -0.45825535, 'A': -10.127733, ' B': -1.0014492, ' "': -9.064699, " '": -10.473011}
{' b': -10.047068, ' A': -1.6225321, 'B': -10.706117, ' B': -0.22014657, ' "': -9.4504385}
{' b': -10.098279, ' A': -1.173406, 'A': -10.652725, ' B': -0.37038365, ' "': -9.418227}
{' b': -10.107458, ' A': -1.5190252, 'B': -10.770227, ' B': -0.24731588, ' "': -9.618129}
{' b': -10.266027, ' A': -0.9611606, 'A': -10.585875, ' B': -0.48229206, ' "': -9.672588}
{' b': -9.98928, ' A': -2.2030244, 'B': -10.77945, ' B': -0.11722048, ' "': -10.045589}
{' b': -10.904396, ' A': -0.37919712, 'A': -9.87904, ' B': -1.1539927, ' "': -9.533145}
{' b': -10.435688, ' A': -0.8563491, 'A': -10.465579, ' B': -0.55319136, ' "': -9.758197}
{' b': -10.695816, ' A': -0.6409182, 'A': -10.274769, ' B': -0.7486377, ' "': -9.707674}
{' A': -0.560921, ' B': -0.8459743, ' "': -9.800042, 'A': -10.175626, ' b': -10.712103}
{' b': -10.843317, ' A': -0.43874383, 'A': -10.072728, ' B': -1.0357476, ' "': -9.661089}
{' A': -0.37461075, ' B': -1.1640528, ' "': -9.2930765, 'A': -10.062706, ' b': -10.7917385}
{' a': -11.020642, ' A': -0.105549745, 'A': -9.841143, ' B': -2.3025901, ' "': -9.846929}
{' a': -11.195917, ' A': -0.12846014, 'A': -9.877263, ' B': -2.1170104, ' "': -9.886971}
{' a': -11.124638, ' A': -0.11528613, 'A': -9.859904, ' B': -2.2188609, ' "': -10.013019}
{' b': -10.32455, ' A': -1.0611333, 'A': -10.741168, ' B': -0.42500967, ' "': -9.712441}
{' a': -10.935629, ' A': -0.0963943, 'A': -9.732082, ' B': -2.3891075, ' "': -9.791252}
{' a': -11.169249, ' A': -0.10982227, 'A': -9.874609, ' B': -2.2647886, ' "': -9.99952}
{' a': -11.104906, ' A': -0.042650472, 'A': -9.897306, ' B': -3.17931, ' "': -10.171876}
{' a': -11.037511, ' A': -0.06438186, 'A': -9.7906, ' B': -2.7774324, ' "': -10.035369}
{' a': -11.043252, ' A': -0.10720348, 'A': -9.880204, ' B': -2.287816, ' "': -9.828779}
{' a': -10.884159, ' A': -0.012586767, 'A': -9.805412, ' B': -4.3934274, ' "': -10.04069}
{' a': -10.906013, ' A': -0.0632045, 'A': -9.78575, ' B': -2.795508, ' "': -9.950277}
{' a': -11.035234, ' A': -0.087130584, 'A': -9.813998, ' B': -2.4855585, ' "': -9.894564}
{' a': -10.954786, ' A': -0.046189178, 'A': -9.851948, ' B': -3.101767, ' "': -9.73464}
{' a': -11.112191, ' A': -0.11689194, 'A': -9.854795, ' B': -2.2058623, ' "': -9.851651}
{' A': -0.014354874, ' B': -4.26206, 'A': -9.751106, ' "': -9.990947, ' a': -10.789076}
{' a': -11.066695, ' A': -0.07604224, 'A': -9.792431, ' B': -2.6163044, ' "': -10.124776}
{' a': -11.056823, ' A': -0.050279744, 'A': -9.84791, ' B': -3.0181386, ' "': -10.057992}
{' a': -11.086824, ' A': -0.082147844, 'A': -9.8221035, ' B': -2.5418952, ' "': -10.087815}
{' a': -11.120588, ' A': -0.10270183, 'A': -9.884583, ' B': -2.328381, ' "': -9.982504}
{' a': -10.915827, ' A': -0.046346113, 'A': -9.766906, ' B': -3.0983934, ' "': -9.834662}
{' a': -11.055234, ' A': -0.11416798, 'A': -9.886134, ' B': -2.228153, ' "': -9.831458}
{' a': -10.981502, ' A': -0.08446915, 'A': -9.837306, ' B': -2.5152876, ' "': -9.917742}
{' A': -0.060771756, ' B': -2.833494, 'A': -9.848687, ' "': -9.904273, ' a': -11.009213}
{' b': -10.99977, ' A': -0.39475894, 'A': -10.197133, ' B': -1.1209629, ' "': -9.412158}
{' a': -10.814877, ' A': -0.24547814, 'A': -9.90251, ' B': -1.5257936, ' "': -9.382941}
{' b': -10.318643, ' A': -1.6118274, 'B': -10.703635, ' B': -0.22275683, ' "': -9.750598}
{' b': -9.978623, ' A': -1.555082, 'B': -10.737398, ' B': -0.23745307, ' "': -9.662708}
{' B': -0.24096934, ' A': -1.5420042, ' "': -9.753483, ' b': -10.045935, 'B': -10.718736}
{' b': -10.265109, ' A': -1.1076468, 'A': -10.757031, ' B': -0.4012488, ' "': -9.740721}
{' B': -0.18526955, ' A': -1.7779591, ' "': -9.983315, ' b': -10.37461, 'B': -10.82311}
{' b': -10.831506, ' A': -0.48484272, 'A': -10.062489, ' B': -0.95711946, ' "': -9.561348}
{' b': -10.357193, ' A': -0.8618273, 'A': -10.507373, ' B': -0.5492072, ' "': -9.571106}
{' b': -10.6508255, ' A': -0.6679059, 'A': -10.338955, ' B': -0.71941584, ' "': -9.788459}
{' A': -0.31226414, ' B': -1.316609, ' "': -9.893089, 'A': -10.094274, ' b': -11.017672}
{' b': -10.832758, ' A': -0.41514412, 'A': -10.215288, ' B': -1.0801202, ' "': -9.515072}
{' A': -0.31163156, 'A': -10.079128, ' B': -1.318433, ' (': -11.142254, ' "': -9.500928}
{' a': -11.088449, ' A': -0.1258466, 'A': -9.9117, ' B': -2.136316, ' "': -9.979428}
{' A': -0.13161035, 'A': -10.006082, ' B': -2.0944474, ' (': -11.127099, ' "': -9.592178}
{' a': -11.032131, ' A': -0.058599476, 'A': -9.882801, ' B': -2.8688014, ' "': -10.123532}
{' B': -0.51541865, ' A': -0.90990216, ' "': -9.613243, ' b': -10.43676, 'A': -10.663707}
{' A': -0.09922964, 'A': -9.859045, ' B': -2.361477, ' (': -11.092025, ' "': -9.573182}
{' A': -0.09845403, ' B': -2.3689122, ' "': -9.773163, 'A': -9.864779, ' (': -10.952661}
{' A': -0.038017236, 'A': -9.931408, ' B': -3.29282, ' (': -11.035449, ' "': -9.946001}
{' a': -10.966441, ' A': -0.07559292, 'A': -9.879055, ' B': -2.622281, ' "': -9.866812}
{' A': -0.07496153, 'A': -9.9262, ' B': -2.6305552, ' (': -10.815526, ' "': -9.703528}
{' A': -0.006332001, ' B': -5.088527, 'A': -9.83184, ' "': -10.206089, ' a': -10.823618}
{' A': -0.05855878, ' B': -2.8695478, 'A': -9.87161, ' "': -10.12296, ' a': -10.921762}
{' A': -0.058638286, ' B': -2.8681915, 'A': -9.8481455, ' "': -10.115243, ' a': -10.997383}
{' a': -11.065234, ' A': -0.027839983, 'A': -9.86374, ' B': -3.600695, ' "': -9.991551}
{' a': -11.058965, ' A': -0.106696226, 'A': -9.878775, ' B': -2.2923596, ' "': -9.80166}
{' a': -10.868805, ' A': -0.017946549, 'A': -9.791323, ' B': -4.038391, ' "': -9.96143}
{' A': -0.07097991, 'A': -9.832235, ' B': -2.6831205, ' (': -10.984712, ' "': -9.900833}
{' a': -11.005365, ' A': -0.043555737, 'A': -9.876176, ' B': -3.1586525, ' "': -10.264658}
{' a': -11.149561, ' A': -0.076220214, 'A': -9.882968, ' B': -2.6140525, ' "': -10.037162}
{' a': -11.089246, ' A': -0.10307039, 'A': -9.961134, ' B': -2.324912, ' "': -10.126404}
{' a': -11.031912, ' A': -0.02897204, 'A': -9.849922, ' B': -3.560977, ' "': -10.061322}
{' a': -11.025408, ' A': -0.07023197, 'A': -9.879096, ' B': -2.6932805, ' "': -9.892529}
{' a': -11.043439, ' A': -0.04849579, 'A': -9.9059, ' B': -3.0533478, ' "': -10.169989}
{' A': -0.03390455, ' B': -3.4052122, ' "': -9.949152, 'A': -9.961558, ' a': -11.407052}
{' b': -10.992901, ' A': -0.44857883, 'A': -10.284111, ' B': -1.0181665, ' "': -9.272076}
{' A': -0.24482253, ' B': -1.5281477, ' "': -9.261054, 'A': -10.026845, " '": -10.879485}
{' b': -9.92091, ' A': -1.7379373, 'B': -10.710529, ' B': -0.19368498, ' "': -9.57726}
{' b': -10.066583, ' A': -1.1235046, 'A': -10.661596, ' B': -0.393568, ' "': -9.511274}
{' b': -9.979096, ' A': -1.6892043, 'B': -10.767568, ' B': -0.20438494, ' "': -9.678745}
{' b': -10.236494, ' A': -0.8617918, 'A': -10.560756, ' B': -0.5492288, ' "': -9.574234}
{' b': -10.308607, ' A': -2.1024535, 'B': -10.863614, ' B': -0.13042858, ' "': -10.176599}
{' b': -10.707654, ' A': -0.50426275, 'A': -10.065932, ' B': -0.9267404, ' "': -9.61681}
{' b': -10.390377, ' A': -0.6971568, 'A': -10.388921, ' B': -0.68953496, ' "': -9.711444}
{' b': -10.558119, ' A': -0.62841266, 'A': -10.302187, ' B': -0.7627872, ' "': -9.655337}
{' A': -0.53756756, ' B': -0.877894, ' "': -9.761673, 'A': -10.33826, ' b': -10.665761}
{' b': -10.836833, ' A': -0.38754493, 'A': -10.200226, ' B': -1.1360135, ' "': -9.703482}
{' A': -0.36713096, 'A': -10.060088, ' B': -1.1807125, ' (': -10.917836, ' "': -9.335079}
{' A': -0.13694386, 'A': -9.985354, ' B': -2.0573199, ' (': -10.911792, ' "': -9.636562}
{' A': -0.20924444, 'A': -10.077394, ' B': -1.6680151, ' (': -11.081776, ' "': -9.650148}
{' A': -0.065016896, 'A': -9.969275, ' B': -2.768033, ' (': -11.056013, ' "': -9.811881}
{' b': -10.266986, ' A': -0.9309917, 'A': -10.630924, ' B': -0.5014606, ' "': -9.645463}
{' A': -0.08020511, 'A': -9.804367, ' B': -2.5655527, ' (': -10.926239, ' "': -9.534854}
{' A': -0.12025423, 'A': -9.934927, ' B': -2.1794562, ' (': -10.818984, ' "': -9.467647}
{' a': -10.8804455, ' A': -0.033054933, 'A': -9.931225, ' B': -3.4306874, ' "': -10.101755}
{' a': -10.9391, ' A': -0.08278672, 'A': -9.876981, ' B': -2.5346088, ' "': -10.033946}
{' a': -10.873132, ' A': -0.07446678, 'A': -9.917153, ' B': -2.6366274, ' "': -10.012265}
{' a': -10.749966, ' A': -0.009952034, 'A': -9.828094, ' B': -4.6316404, ' "': -9.978192}
{' a': -10.868204, ' A': -0.05234157, 'A': -9.872325, ' B': -2.9792023, ' "': -9.993193}
{' A': -0.09454387, ' B': -2.4073298, ' "': -9.875641, 'A': -9.988018, ' a': -11.165559}
{' A': -0.05241261, 'A': -9.949838, ' B': -2.9778543, ' (': -11.1363945, ' "': -9.740106}
{' a': -11.234997, ' A': -0.12147571, 'A': -9.99033, ' B': -2.1695883, ' "': -9.792825}
{' A': -0.014406091, 'A': -9.839561, ' B': -4.2604003, ' (': -10.893603, ' "': -9.590265}
{' a': -10.9592, ' A': -0.11300122, 'A': -9.872205, ' B': -2.2378755, ' "': -10.023964}
{' A': -0.05397906, ' B': -2.9489393, 'A': -9.876904, ' "': -10.045443, ' a': -10.959138}
{' A': -0.1191397, ' B': -2.1878004, ' "': -9.9165325, 'A': -9.988411, ' (': -11.214581}
{' a': -11.248779, ' A': -0.108286396, 'A': -10.055049, ' B': -2.2780976, ' "': -9.890036}
{' a': -10.845949, ' A': -0.041727383, 'A': -9.825355, ' B': -3.2015495, ' "': -9.881938}
{' a': -10.999054, ' A': -0.06215523, 'A': -9.881707, ' B': -2.8116994, ' "': -9.957006}
{' a': -11.262909, ' A': -0.08027784, 'A': -10.03312, ' B': -2.5640347, ' "': -9.9121}
{' a': -10.988791, ' A': -0.04206638, 'A': -9.9402685, ' B': -3.1929164, ' "': -10.109904}
{' b': -10.799259, ' A': -0.5197045, 'A': -10.305872, ' B': -0.9035566, ' "': -9.661647}
{' A': -0.2188454, 'A': -9.964627, ' B': -1.6278859, ' (': -11.082357, ' "': -9.396666}
{' b': -9.920492, ' A': -1.5833616, 'B': -10.576453, ' B': -0.2300368, ' "': -9.629704}
{' b': -9.970028, ' A': -1.1125578, 'A': -10.522916, ' B': -0.39888507, ' "': -9.740346}
{' b': -9.901097, ' A': -1.5671519, 'B': -10.622046, ' B': -0.23424518, ' "': -9.832907}
{' b': -10.195985, ' A': -0.8298174, 'A': -10.409699, ' B': -0.5732943, ' "': -9.710463}
{' b': -10.152097, ' A': -1.996196, 'B': -10.698503, ' B': -0.1461633, ' "': -10.361496}
{' A': -0.3607451, 'A': -9.8742285, ' B': -1.1952235, ' (': -10.875476, ' "': -9.63021}
{' b': -10.255926, ' A': -0.70943725, 'A': -10.226045, ' B': -0.67751396, ' "': -9.869124}
{' b': -10.508168, ' A': -0.5317314, 'A': -10.166516, ' B': -0.8862465, ' "': -9.61689}
{' b': -10.6763525, ' A': -0.38875854, 'A': -10.041931, ' B': -1.1334866, ' "': -9.816227}
{' A': -0.31046343, 'A': -9.964901, ' B': -1.3215928, ' (': -10.866939, ' "': -9.901878}
{' b': -10.958935, ' A': -0.39353955, 'A': -9.968645, ' B': -1.1234742, ' "': -9.803134}
{' A': -0.10520781, 'A': -9.791334, ' B': -2.3057768, ' (': -10.815704, ' "': -9.846591}
{' A': -0.13218208, 'A': -9.82242, ' B': -2.090375, ' (': -10.988478, ' "': -9.88565}
{' A': -0.11464862, 'A': -9.801606, ' B': -2.2243135, ' (': -10.853103, ' "': -9.898446}
{' b': -10.282492, ' A': -0.69065785, 'A': -10.283944, ' B': -0.6960269, ' "': -9.918833}
{' A': -0.09492341, ' B': -2.4039195, 'A': -9.705014, ' "': -9.784413, ' (': -10.733198}
{' A': -0.08821934, 'A': -9.771741, ' B': -2.4738624, ' (': -10.795644, ' "': -9.916935}
{' A': -0.049930874, 'A': -9.780526, ' B': -3.025301, ' (': -10.81538, ' "': -10.213403}
{' A': -0.060099125, 'A': -9.76127, ' B': -2.844424, ' (': -11.011451, ' "': -10.102943}
{' A': -0.08241454, 'A': -9.846149, ' B': -2.5390794, ' (': -10.88131, ' "': -9.941391}
{' A': -0.013601265, 'A': -9.734165, ' B': -4.316808, ' (': -10.9177685, ' "': -9.976358}
{' A': -0.055050746, 'A': -9.830998, ' B': -2.9299188, ' (': -10.938632, ' "': -10.057306}
{' A': -0.064532086, 'A': -9.786975, ' B': -2.7753017, ' (': -11.056498, ' "': -9.989887}
{' A': -0.03713806, ' B': -3.3157995, 'A': -9.800778, ' "': -10.0574465, ' (': -11.151914}
{' A': -0.12024004, 'A': -9.8126745, ' B': -2.1792858, ' (': -11.066421, ' "': -9.962743}
{' a': -11.127598, ' A': -0.015189778, 'A': -9.731263, ' B': -4.2044616, ' "': -10.198986}
{' A': -0.087563924, ' B': -2.480924, 'A': -9.752104, ' "': -10.021274, ' (': -10.8433695}
{' a': -11.3316965, ' A': -0.041553706, 'A': -9.810197, ' B': -3.2047503, ' "': -10.33304}
{' A': -0.097188935, 'A': -9.824528, ' B': -2.3808305, ' (': -11.363778, ' "': -10.21568}
{' A': -0.06036469, ' B': -2.8400297, 'A': -9.782517, ' "': -10.142936, ' (': -11.094246}
{' a': -11.189863, ' A': -0.02970472, 'A': -9.742482, ' B': -3.5362678, ' "': -10.186469}
{' A': -0.061440594, 'A': -9.82432, ' B': -2.8229666, ' (': -10.944382, ' "': -10.038467}
{' a': -11.108645, ' A': -0.07166751, 'A': -9.785534, ' B': -2.6736667, ' "': -10.048804}
{' A': -0.035501588, 'A': -9.801899, ' B': -3.3597066, ' (': -11.343146, ' "': -10.290285}
{' b': -10.739993, ' A': -0.52596307, 'A': -10.1749735, ' B': -0.89444375, ' "': -9.786037}
{' A': -0.23943405, ' B': -1.5477493, ' "': -9.6142435, 'A': -9.880468, ' (': -10.98503}
{' B': -0.19803534, ' A': -1.7178811, ' "': -9.656575, ' b': -9.761656, 'B': -10.489129}
{' B': -0.2938173, ' A': -1.3689574, ' b': -9.771252, ' "': -9.785262, 'B': -10.520944}
{' b': -9.806552, ' A': -1.4652538, 'B': -10.5254345, ' B': -0.26295096, ' "': -9.853118}
{' b': -10.091009, ' A': -0.8091672, 'A': -10.2777195, ' B': -0.5895742, ' "': -9.755492}
{' b': -9.915892, ' A': -1.83211, 'B': -10.5675, ' B': -0.17462978, ' "': -10.206486}
{' A': -0.44380245, ' B': -1.0266653, ' "': -9.695238, 'A': -9.872333, ' b': -10.5661745}
{' B': -0.5571952, ' A': -0.8510051, ' "': -9.872037, ' b': -10.124816, 'A': -10.265032}
{' A': -0.47178832, ' B': -0.9784107, ' "': -9.693517, 'A': -10.021869, ' b': -10.487531}
{' b': -10.603036, ' A': -0.40728784, 'A': -9.943267, ' B': -1.0955354, ' "': -9.939959}
{' A': -0.31052515, ' B': -1.3214236, 'A': -9.891295, ' "': -9.938571, ' b': -10.793251}
{' b': -10.357769, ' A': -0.53979176, 'A': -10.014702, ' B': -0.87489754, ' "': -9.535095}
{' A': -0.17167509, ' B': -1.8479865, ' "': -9.748801, 'A': -9.7816105, ' (': -10.979946}
{' a': -11.043086, ' A': -0.16594999, 'A': -9.712816, ' B': -1.8790809, ' "': -9.976822}
{' a': -11.086614, ' A': -0.1387978, 'A': -9.700634, ' B': -2.0446723, ' "': -10.1170225}
{' b': -10.3000345, ' A': -0.64173293, 'A': -10.067765, ' B': -0.7477586, ' "': -9.98886}
{' a': -10.940763, ' A': -0.14261004, 'A': -9.601386, ' B': -2.0195365, ' "': -9.955891}
{' a': -11.017439, ' A': -0.12358843, 'A': -9.674318, ' B': -2.153471, ' "': -10.079593}
{' a': -10.99699, ' A': -0.055922035, 'A': -9.692863, ' B': -2.914589, ' "': -10.213625}
{' a': -10.897516, ' A': -0.057040755, 'A': -9.634069, ' B': -2.8954904, ' "': -10.08613}
{' a': -10.972988, ' A': -0.073226154, 'A': -9.66407, ' B': -2.6529744, ' "': -10.148539}
{' a': -10.804725, ' A': -0.020536495, 'A': -9.596764, ' B': -3.9045258, ' "': -10.014494}
{' a': -10.918859, ' A': -0.069241114, 'A': -9.64308, ' B': -2.7071252, ' "': -10.15662}
{' a': -11.154927, ' A': -0.06938204, 'A': -9.73215, ' B': -2.7050364, ' "': -10.001223}
{' a': -11.078861, ' A': -0.046191487, 'A': -9.677259, ' B': -3.10147, ' "': -10.134848}
{' A': -0.132899, ' B': -2.0852265, 'A': -9.75102, ' "': -9.969312, ' a': -11.263516}
{' a': -10.784874, ' A': -0.023118882, 'A': -9.58239, ' B': -3.7862585, ' "': -10.066018}
{' a': -11.020986, ' A': -0.09530309, 'A': -9.612099, ' B': -2.3998682, ' "': -10.161867}
{' a': -10.936883, ' A': -0.07588025, 'A': -9.654025, ' B': -2.6185932, ' "': -10.153007}
{' a': -11.061426, ' A': -0.11430516, 'A': -9.638557, ' B': -2.2270846, ' "': -10.125861}
{' a': -11.082086, ' A': -0.12539297, 'A': -9.70292, ' B': -2.1397972, ' "': -10.06105}
{' a': -10.787331, ' A': -0.04052672, 'A': -9.602234, ' B': -3.230544, ' "': -9.937984}
{' a': -10.923068, ' A': -0.07986399, 'A': -9.619398, ' B': -2.5694385, ' "': -10.035867}
{' a': -10.943499, ' A': -0.09434257, 'A': -9.644736, ' B': -2.4095547, ' "': -10.058576}
{' a': -11.0186405, ' A': -0.05230514, 'A': -9.634475, ' B': -2.9799056, ' "': -10.117343}
{' b': -10.610995, ' A': -0.47123772, 'A': -10.032059, ' B': -0.9792829, ' "': -9.731217}
{' b': -10.945576, ' A': -0.28593102, 'A': -9.859138, ' B': -1.392382, ' "': -9.657672}
{' A': -1.2295473, ' B': -0.34681496, ' (': -9.2732115, ' "': -8.138396, " '": -9.66421}
{' b': -10.075045, ' A': -1.4437639, ' B': -0.2698539, ' (': -9.561095, ' "': -8.517939}
{' b': -10.020561, ' A': -1.5057799, ' B': -0.25146163, ' (': -9.441625, ' "': -8.472668}
{' A': -0.77344286, 'A': -9.867149, ' B': -0.6197182, ' (': -9.392324, ' "': -8.573358}
{' A': -1.4832696, ' B': -0.25792587, ' (': -9.553419, ' "': -8.558973, " '": -10.046889}
{' A': -0.37351435, 'A': -9.403482, ' B': -1.1680604, ' (': -9.19187, ' "': -7.996829}
{' A': -0.7890684, 'A': -9.847547, ' B': -0.60657126, ' (': -9.312564, ' "': -8.466114}
{' A': -0.346411, 'A': -9.517398, ' B': -1.2304709, ' (': -9.12912, ' "': -8.183604}
{' A': -0.38150385, 'A': -9.564292, ' B': -1.1500242, ' (': -9.22743, ' "': -8.405888}
{' A': -0.32955682, 'A': -9.538594, ' B': -1.272424, ' (': -9.173529, ' "': -8.215782}
{' A': -0.2505878, 'A': -9.397124, ' B': -1.5097183, ' (': -9.145771, ' "': -8.050517}
