{' No': -0.27960142, ' Yes': -1.828668, '\n': -2.867862, 'No': -4.083987, ' Not': -5.576015}
{' No': -0.03187949, '\n': -5.7303443, 'No': -3.5835288, ' The': -9.605253, ' no': -9.301987}
{' No': -0.06659011, ' Not': -7.9794755, '\n': -3.6298225, 'No': -3.3271945, ' Yes': -7.2094126}
{' No': -0.15399452, '\n': -2.7419078, ' ': -7.467092, 'No': -2.6379309, ' Yes': -5.2055407}
{' No': -0.041854974, '\n': -6.572756, 'No': -3.2999744, ' Yes': -5.9870224, 'Yes': -9.666403}
{' No': -0.08055326, 'No': -2.5931628, '\n': -6.0491433, ' Yes': -8.989708, ' ': -9.7979145}
{' No': -0.32016423, '\n': -2.624909, 'No': -4.231705, ' Yes': -1.7159487, 'Yes': -5.3826375}
{' No': -0.036678854, 'No': -3.8974917, '\n': -4.3276806, ' Yes': -6.2904987, ' no': -8.70026}
{' No': -0.044518966, ' Not': -8.606389, '\n': -4.1989684, 'No': -3.6309006, ' Yes': -6.742197}
{' No': -0.14460793, 'No': -2.3941197, '\n': -3.4269297, ' Yes': -4.6678677, 'Yes': -7.434454}
{' No': -0.025066061, 'No': -3.7959683, ' Yes': -6.46038, '\n': -7.3577724, ' ': -10.391507}
{' No': -0.038989086, 'No': -3.2974863, '\n': -6.8582883, ' Yes': -8.94163, ' ': -10.08889}
{' No': -0.14899294, ' Yes': -2.8548527, '\n': -2.9110608, 'No': -3.7854314, 'Yes': -6.3486285}
{' No': -0.0628938, 'No': -2.8989758, '\n': -5.31993, ' Yes': -8.122597, ' The': -8.57031}
{' No': -0.059689865, '\n': -4.963813, ' ': -8.479059, 'No': -3.007373, ' Yes': -7.356478}
{' No': -0.15542321, '\n': -3.6747637, 'No': -2.1814163, ' Yes': -5.367627, 'Yes': -7.793041}
{' No': -0.037969064, '\n': -6.5580263, 'No': -3.6354842, ' Yes': -4.6882067, 'Yes': -8.563102}
{' No': -0.04870973, '\n': -6.080515, ' ': -9.612433, 'No': -3.1119633, ' Yes': -7.36108}
{' No': -0.13956, '\n': -3.136941, 'No': -4.2038794, ' Yes': -2.6810524, 'Yes': -6.4678035}
{' No': -0.021239461, '\n': -5.830346, 'No': -4.06841, ' Yes': -7.688647, ' no': -8.607876}
{' No': -0.036832705, 'No': -3.6015165, '\n': -4.8365517, ' Yes': -7.7835383, ' ': -8.561295}
{' No': -0.061925016, 'No': -3.2015486, '\n': -4.011737, ' Yes': -7.1872315, ' ': -8.233986}
{' No': -0.026732646, '\n': -7.036414, ' ': -9.836817, 'No': -3.7957566, ' Yes': -5.8465414}
{' No': -0.021134015, '\n': -7.1021123, ' ': -10.042836, 'No': -3.925637, ' Yes': -8.179385}
{' No': -0.13345274, '\n': -3.606189, 'No': -2.4331753, ' Yes': -5.079818, ' Unfortunately': -6.781887}
{' No': -0.11444817, '\n': -5.233144, ' ': -8.0148735, 'No': -2.2845912, ' Yes': -8.112948}
{' No': -0.11420052, '\n': -4.0229473, 'No': -2.4580781, ' Yes': -6.493734, ' Unfortunately': -6.6322627}
{' No': -0.15516785, 'No': -2.0213463, '\n': -4.7491903, ' Yes': -6.5467505, ' ': -7.7480063}
{' No': -0.0827605, 'No': -2.7300858, '\n': -4.4888253, ' Yes': -6.1738605, ' ': -8.047753}
{' No': -0.090239786, '\n': -4.742408, ' ': -8.564437, 'No': -2.572879, ' Yes': -7.1146383}
{' No': -0.8283833, '\n': -2.7256403, 'No': -2.497901, ' Yes': -1.0149851, 'Yes': -3.4804275}
{' No': -0.22950152, '\n': -3.8160055, 'No': -2.0523393, ' Yes': -3.2696474, ' Unfortunately': -4.945741}
{' No': -0.50586337, '\n': -2.8272955, 'No': -2.2431145, ' Yes': -1.6773454, ' Unfortunately': -4.1172905}
{' No': -0.35747343, 'No': -2.0339718, ' Yes': -2.3263702, '\n': -3.0974178, ' Unfortunately': -4.812475}
{' No': -0.41259947, ' Yes': -1.9877968, '\n': -2.4687805, 'No': -2.4884622, ' Unfortunately': -3.9429014}
{' No': -0.3535245, 'No': -2.1117318, '\n': -2.310533, ' Yes': -2.9174094, ' Unfortunately': -4.2290735}
{' No': -0.31856412, ' Not': -4.665669, '\n': -2.4805248, 'No': -2.8352058, ' Yes': -2.250031}
{' No': -0.119501434, 'No': -2.454903, '\n': -3.828247, ' Not': -6.4557357, ' Unfortunately': -6.512552}
{' No': -0.26060712, 'No': -2.2303069, '\n': -2.2494948, ' Unfortunately': -4.7129536, ' Not': -5.884762}
{' No': -0.15755977, 'No': -2.54952, '\n': -2.8863766, ' Yes': -4.936113, ' The': -6.4528627}
{' No': -0.13394842, '\n': -3.6437905, 'No': -2.8155394, ' Yes': -3.404811, ' The': -6.21592}
{' No': -0.17787036, 'No': -2.4223523, '\n': -3.1233566, ' Yes': -3.7469084, ' Unfortunately': -6.026369}
{' No': -0.3393523, '\n': -2.291781, 'No': -2.4471097, ' Yes': -3.092936, ' Unfortunately': -3.2362463}
{' No': -0.16901474, 'No': -2.2974596, '\n': -3.391566, ' Unfortunately': -4.5084577, ' Yes': -5.6778517}
{' No': -0.26947448, 'No': -2.3888154, '\n': -2.402739, ' Unfortunately': -3.2550526, ' Yes': -4.9384923}
{' No': -0.23970897, '\n': -2.8803625, 'No': -2.0466166, ' Yes': -5.0738516, ' Unfortunately': -4.201261}
{' No': -0.3111294, '\n': -2.1362312, 'No': -2.5100143, ' Unfortunately': -3.5601149, ' Yes': -3.5979433}
{' No': -0.27538633, '\n': -2.1583934, 'No': -2.3191295, ' Yes': -5.078763, ' Unfortunately': -4.1604095}
{' No': -0.057931915, '\n': -4.0328045, 'No': -3.815552, ' Yes': -4.2096806, 'Yes': -7.873849}
{' No': -0.031694423, '\n': -5.85227, ' ': -9.323564, 'No': -3.5800877, ' Yes': -8.781978}
{' No': -0.059612487, 'No': -3.0973568, '\n': -4.4331894, ' Yes': -8.223885, ' ': -8.23475}
{' No': -0.06940031, 'No': -2.9289203, '\n': -4.465032, ' Yes': -6.4665766, ' ': -8.2050295}
{' No': -0.032958396, 'No': -3.6037037, ' Yes': -5.6198144, '\n': -6.5973444, ' ': -9.37099}
{' No': -0.04476833, '\n': -5.6950326, ' ': -9.042053, 'No': -3.2899942, ' Yes': -5.8415594}
{' No': -0.06846153, '\n': -3.7428446, 'No': -3.6256113, ' Yes': -4.289918, ' The': -7.358318}
{' No': -0.0188503, '\n': -6.2417316, ' ': -9.726642, 'No': -4.11413, ' Yes': -9.21805}
{' No': -0.06502058, 'No': -3.2293653, '\n': -3.8232565, ' Unfortunately': -7.881099, ' ': -7.9788356}
{' No': -0.096909404, 'No': -2.4816558, '\n': -4.8949876, ' Yes': -8.092812, ' ': -8.229246}
{' No': -0.015925098, 'No': -4.2228646, ' Yes': -7.4332376, '\n': -7.5841694, ' ': -10.890853}
{' No': -0.034118533, '\n': -6.5884757, ' ': -9.644148, 'No': -3.4752462, ' Yes': -6.839847}
{' No': -0.12356894, '\n': -3.1152034, 'No': -3.9155688, ' Yes': -3.0280008, 'Yes': -6.550917}
{' No': -0.031968284, '\n': -5.242297, 'No': -3.6981192, ' Yes': -7.1787934, ' no': -8.301345}
{' No': -0.038469683, 'No': -3.5910685, '\n': -4.6992116, ' Yes': -7.688913, ' no': -8.278007}
{' No': -0.07959119, 'No': -3.0018954, '\n': -3.7438614, ' Yes': -6.0622835, ' ': -8.179854}
{' No': -0.023982307, 'No': -3.8952174, ' Yes': -6.0014825, '\n': -7.1380258, 'Yes': -10.118618}
{' No': -0.02053151, 'No': -3.9603374, '\n': -7.2601094, ' Yes': -7.5768075, ' ': -10.669457}
{' No': -0.3124519, '\n': -3.152679, 'No': -1.9462296, ' Yes': -4.194362, ' Unfortunately': -2.9268088}
{' No': -0.2708872, ' Not': -6.6508894, '\n': -3.8626595, 'No': -1.5963857, ' Unfortunately': -4.710716}
{' No': -0.31671575, 'No': -1.7139746, '\n': -3.0027468, ' Unfortunately': -3.4029238, ' Not': -5.8999424}
{' No': -0.21062243, '\n': -4.454477, 'No': -1.7766435, ' The': -7.2597036, ' Unfortunately': -4.972688}
{' No': -0.19660358, '\n': -3.4343412, 'No': -2.3699167, ' Yes': -3.9960248, ' Unfortunately': -3.6092393}
{' No': -0.21404749, '\n': -2.9281664, 'No': -2.2918577, ' Yes': -4.200238, ' Unfortunately': -3.9972963}
{' No': -0.08841226, ' Not': -6.602705, '\n': -3.5254695, 'No': -3.5597618, ' Yes': -3.7407749}
{' No': -0.03520402, 'No': -3.4956627, '\n': -5.580158, ' Not': -8.726329, ' Unfortunately': -9.271095}
{' No': -0.07091778, 'No': -3.1065583, '\n': -3.8812146, ' Yes': -6.3539467, ' Not': -7.5568013}
{' No': -0.09318367, '\n': -3.9970038, 'No': -2.7810304, ' Yes': -4.935417, ' Unfortunately': -7.6120796}
{' No': -0.05488601, 'No': -3.3162324, ' Yes': -4.542938, '\n': -5.1383705, 'Yes': -8.345074}
{' No': -0.036002334, 'No': -3.424256, '\n': -6.0651636, ' Yes': -7.975468, ' ': -9.653586}
{' No': -0.12107891, '\n': -3.7399237, 'No': -3.5586967, ' Yes': -2.8397775, 'Yes': -6.5912704}
{' No': -0.04199495, '\n': -5.6917477, 'No': -3.3114996, ' Yes': -7.236804, ' Unfortunately': -8.315067}
{' No': -0.10068768, '\n': -3.8905776, 'No': -2.6604621, ' Yes': -5.8965282, ' Unfortunately': -6.391579}
{' No': -0.09295862, 'No': -3.0576727, '\n': -3.6320727, ' Yes': -4.3505116, ' Unfortunately': -6.7098174}
{' No': -0.02931189, 'No': -3.7909636, ' Yes': -5.635944, '\n': -6.0275874, ' Unfortunately': -9.31101}
{' No': -0.036870737, '\n': -5.308395, ' ': -9.176374, 'No': -3.5081916, ' Yes': -6.8632236}
{' No': -0.047854777, '\n': -4.345901, ' ': -8.617313, 'No': -3.4639466, ' Yes': -6.2393885}
{' No': -0.0645048, '\n': -5.294979, ' ': -8.8404455, 'No': -2.8638306, ' Yes': -9.251702}
{' No': -0.07753904, 'No': -2.8080401, '\n': -4.2908263, ' ': -8.146677, ' Yes': -9.290025}
{' No': -0.04460416, '\n': -5.9217496, 'No': -3.209521, ' Yes': -8.228885, ' Unfortunately': -9.260808}
{' No': -0.03422363, '\n': -5.2591915, ' ': -9.0919, 'No': -3.8426418, ' Yes': -5.001631}
{' No': -0.033175815, '\n': -5.214185, ' ': -9.065791, 'No': -3.6403382, ' Yes': -7.169532}
{' No': -0.02784415, 'No': -4.204573, '\n': -4.997706, ' Yes': -5.300637, ' Unfortunately': -8.056116}
{' No': -0.027083924, 'No': -3.7130847, '\n': -6.4107924, ' Yes': -8.341205, ' Unfortunately': -8.505302}
{' No': -0.06644773, '\n': -4.329784, 'No': -3.0409253, ' Yes': -6.7032557, ' Unfortunately': -6.6974306}
{' No': -0.010911193, 'No': -4.8066835, '\n': -6.567551, ' Yes': -6.8477106, ' Not': -9.50907}
{' No': -0.016941888, '\n': -6.312222, ' ': -9.47601, 'No': -4.308451, ' Yes': -6.597319}
{' No': -0.020363538, '\n': -6.070055, ' ': -9.38156, 'No': -4.0615773, ' Yes': -7.6654644}
{' No': -0.19492391, 'No': -2.417931, '\n': -2.5665421, ' Yes': -5.1010995, ' Unfortunately': -6.067967}
{' No': -0.11949371, '\n': -4.3780575, ' ': -7.7964897, 'No': -2.3235836, ' Unfortunately': -6.778124}
{' No': -0.12354796, '\n': -3.4069912, ' ': -7.1058645, 'No': -2.555574, ' Unfortunately': -5.740022}
{' No': -0.11422591, 'No': -2.5405695, '\n': -3.7706666, ' Yes': -5.844828, ' Unfortunately': -6.286431}
{' No': -0.10457067, 'No': -2.6518366, '\n': -3.7010689, ' Yes': -6.4242215, ' Unfortunately': -6.6574855}
{' No': -0.11799069, 'No': -2.6193314, '\n': -3.3414977, ' Yes': -6.540067, ' ': -7.230606}
{' No': -0.923418, '\n': -1.150957, ' Yes': -1.7583733, 'No': -2.6623933, ' Unfortunately': -4.069271}
{' No': -0.23773107, 'No': -2.173793, '\n': -2.5616026, ' Unfortunately': -4.2326765, ' Yes': -5.8819494}
{' No': -0.729731, '\n': -1.04785, 'No': -2.4273858, ' Yes': -3.4439204, ' Unfortunately': -3.4507809}
{' No': -0.36112407, '\n': -2.019495, 'No': -2.1460898, ' Yes': -4.0021267, ' Unfortunately': -3.5786152}
{' No': -0.6099159, ' Yes': -1.3623097, '\n': -2.304971, 'No': -2.7144728, 'Yes': -4.3387213}
{' No': -0.60139775, '\n': -1.8532479, 'No': -2.5457604, ' Yes': -1.6620896, 'Yes': -4.4102926}
{' No': -0.6939006, '\n': -1.5368857, ' Yes': -1.6095519, 'No': -2.9732566, ' Not': -4.4935718}
{' No': -0.18962225, 'No': -2.327232, '\n': -2.7828648, ' Unfortunately': -5.0092483, ' Yes': -5.90607}
{' No': -0.3944587, '\n': -1.6186333, 'No': -2.3733957, ' Unfortunately': -4.0715117, ' Yes': -4.5839996}
{' No': -0.20863588, '\n': -2.2772145, 'No': -2.81082, ' Yes': -4.214503, ' Not': -5.5129914}
{' No': -0.32777336, '\n': -3.2031054, 'No': -3.4299593, ' Yes': -1.6395065, 'Yes': -5.446658}
{' No': -0.4465762, '\n': -2.0587397, 'No': -2.9582205, ' Yes': -1.7959052, 'Yes': -5.043277}
{' No': -0.7005106, '\n': -1.2381084, 'No': -2.6284473, ' Unfortunately': -2.6551082, ' Yes': -2.9661012}
{' No': -0.29853192, '\n': -2.2175574, 'No': -2.4292538, ' Yes': -5.864119, ' Unfortunately': -2.9847672}
{' No': -0.66832924, '\n': -1.2002012, ' Unfortunately': -2.419781, 'No': -2.6234477, ' Yes': -4.5119667}
{' No': -0.40310326, '\n': -1.5826439, 'No': -2.8185315, ' Yes': -3.816956, ' Unfortunately': -3.388689}
{' No': -0.35545304, '\n': -2.0544677, 'No': -2.8559163, ' Yes': -2.6473901, ' Unfortunately': -3.5506606}
{' No': -0.4847734, '\n': -1.3251092, 'No': -2.9355085, ' Yes': -3.1857865, ' Unfortunately': -4.267549}
{' No': -0.05811301, '\n': -3.705452, ' ': -7.761851, 'No': -3.631792, ' Yes': -5.510809}
{' No': -0.06421373, 'No': -2.8869157, '\n': -5.238215, ' Yes': -7.8582544, ' Unfortunately': -8.0647335}
{' No': -0.11988579, 'No': -2.4197364, '\n': -3.8341916, ' Unfortunately': -6.7751207, ' ': -7.6939087}
{' No': -0.054290958, 'No': -3.0718462, '\n': -5.4189186, ' Yes': -6.7370787, ' Unfortunately': -7.653845}
{' No': -0.035727095, '\n': -5.7974896, 'No': -3.9010415, ' Yes': -4.4793363, 'Yes': -8.750267}
{' No': -0.05638534, 'No': -3.2822478, '\n': -4.5799904, ' Yes': -5.052845, ' ': -8.195554}
{' No': -0.06289012, '\n': -3.7787063, 'No': -3.8219576, ' Yes': -4.252202, ' Not': -7.3174033}
{' No': -0.054515958, ' Not': -8.591288, '\n': -5.1262417, 'No': -3.0743008, ' Yes': -8.040438}
{' No': -0.17385721, 'No': -2.417645, '\n': -2.8048673, ' Unfortunately': -5.0164013, ' Yes': -6.6196384}
{' No': -0.07738524, 'No': -2.8110428, '\n': -4.507542, ' Unfortunately': -6.3055763, ' Yes': -7.641567}
{' No': -0.021671586, '\n': -6.551977, ' ': -9.632769, 'No': -4.046505, ' Yes': -6.064657}
{' No': -0.086901575, 'No': -3.042361, '\n': -3.6233072, ' Yes': -4.8898153, ' ': -7.748257}
{' No': -0.20585793, '\n': -2.6007648, 'No': -4.3651958, ' Yes': -2.3612227, 'Yes': -5.962712}
{' No': -0.020526094, 'No': -3.9677856, '\n': -6.7585726, ' Yes': -9.074275, ' Not': -10.252069}
{' No': -0.042214964, '\n': -4.0892806, ' ': -8.207847, 'No': -3.7354598, ' Yes': -8.287869}
{' No': -0.0404613, 'No': -3.3591847, ' Yes': -6.0358906, '\n': -6.122671, ' Not': -9.081865}
{' No': -0.03323262, '\n': -6.141368, 'No': -4.144017, ' Yes': -4.2428083, 'Yes': -8.659543}
{' No': -0.017856376, 'No': -4.306854, '\n': -6.1041117, ' Yes': -6.2821727, ' ': -9.568206}
{' No': -0.5572907, '\n': -1.4149489, 'No': -2.9953322, ' Yes': -3.0527892, ' Unfortunately': -2.657909}
{' No': -0.18765415, 'No': -2.6092296, '\n': -2.8431337, ' Unfortunately': -3.4165473, ' Yes': -6.4809427}
{' No': -0.48103496, '\n': -1.479818, ' Unfortunately': -2.6150682, 'No': -2.6922414, ' ': -5.413429}
{' No': -0.22713543, '\n': -2.3209655, 'No': -2.7973201, ' Unfortunately': -3.2677598, ' ': -6.331463}
{' No': -0.23473175, '\n': -2.5015411, 'No': -2.963581, ' Yes': -3.4448931, ' Unfortunately': -3.3678625}
{' No': -0.32583016, '\n': -1.7622792, 'No': -2.7884233, ' Yes': -4.210151, ' Unfortunately': -3.7454102}
{' No': -0.2252196, ' Yes': -2.326767, '\n': -2.6471272, 'No': -3.6464975, 'Yes': -5.9388413}
{' No': -0.023551876, '\n': -5.4741797, 'No': -3.9817293, ' Yes': -9.291759, ' The': -9.345449}
{' No': -0.08987409, '\n': -3.3564527, ' ': -7.51014, 'No': -3.0696409, ' Yes': -5.8338046}
{' No': -0.13863805, 'No': -2.4564347, '\n': -3.2454379, ' Yes': -5.55078, ' ': -7.7215786}
{' No': -0.044602912, '\n': -4.928643, ' ': -8.54849, 'No': -3.4439309, ' Yes': -5.5203433}
{' No': -0.040356603, 'No': -3.3409166, '\n': -5.5430346, ' Yes': -9.198744, ' ': -9.281293}
{' No': -0.08652553, '\n': -3.0435739, ' Yes': -4.114634, 'No': -4.200457, ' Not': -6.103451}
{' No': -0.024257869, 'No': -4.0103645, '\n': -5.240572, ' Not': -8.728657, ' ': -8.943882}
{' No': -0.0999033, '\n': -2.975134, 'No': -3.1717339, ' Not': -7.3397474, ' ': -7.3961015}
{' No': -0.09741762, 'No': -2.7287767, '\n': -3.676113, ' Yes': -6.581497, ' ': -8.108118}
{' No': -0.021562198, 'No': -4.1561255, '\n': -5.7442865, ' Yes': -6.095183, ' ': -9.426246}
{' No': -0.023576226, '\n': -5.9874983, ' ': -9.553014, 'No': -3.8872292, ' Yes': -8.752072}
{' No': -0.10670929, '\n': -2.8151326, 'No': -3.4273438, ' Yes': -5.0506654, ' ': -6.9203534}
{' No': -0.07168198, 'No': -3.0188065, '\n': -3.9523332, ' ': -7.4381366, ' The': -9.01459}
{' No': -0.09242579, 'No': -2.7560267, '\n': -3.7710261, ' ': -7.2607746, ' Not': -8.34987}
{' No': -0.06013235, 'No': -2.9225914, '\n': -5.4607725, ' ': -8.891456, ' Yes': -9.640782}
{' No': -0.03518895, '\n': -4.39218, ' ': -8.397081, 'No': -3.9494228, ' Yes': -5.948166}
{' No': -0.04145069, '\n': -4.960926, ' ': -8.624597, 'No': -3.4132118, ' Yes': -7.7804413}
{' No': -0.033546247, '\n': -3.958389, ' ': -7.64919, 'No': -5.2430363, ' Yes': -4.9088664}
{' No': -0.012851358, '\n': -5.298866, ' ': -8.573504, 'No': -4.9324336, ' no': -9.113942}
{' No': -0.069229364, '\n': -3.262022, ' ': -6.9563274, 'No': -3.6184006, ' Yes': -8.395548}
{' No': -0.013633712, '\n': -5.790254, ' ': -8.841453, 'No': -4.584522, ' Yes': -9.868323}
{' No': -0.011283121, 'No': -4.7264433, '\n': -6.6098914, ' Yes': -7.0358315, ' ': -9.433324}
{' No': -0.018630572, '\n': -6.100924, ' ': -9.076793, 'No': -4.136852, ' Yes': -9.425086}
{' No': -0.20370512, '\n': -2.4194968, ' ': -5.95945, 'No': -2.4584734, ' Unfortunately': -5.434868}
{' No': -0.10492583, '\n': -3.9765973, ' ': -7.201014, 'No': -2.5530956, ' Unfortunately': -6.34121}
{' No': -0.13259374, 'No': -2.5917897, '\n': -3.1196601, ' Unfortunately': -5.818436, ' ': -6.739546}
{' No': -0.14766665, '\n': -3.3762014, ' ': -6.699613, 'No': -2.3176954, ' Unfortunately': -6.1572967}
{' No': -0.12176038, 'No': -2.531903, '\n': -3.4373271, ' ': -6.835326, ' Unfortunately': -6.877372}
{' No': -0.19688527, 'No': -2.3155797, '\n': -2.5827496, ' ': -6.274104, ' Unfortunately': -6.686597}
{' No': -0.80310553, '\n': -1.1844629, ' Yes': -2.2207937, 'No': -2.4101536, ' Unfortunately': -3.712571}
{' No': -0.25521296, '\n': -2.3441203, 'No': -2.3104727, ' Yes': -4.767761, ' Unfortunately': -4.1558495}
{' No': -0.5917681, '\n': -1.4547632, 'No': -2.2443829, ' Yes': -2.8946815, ' Unfortunately': -3.3552852}
{' No': -0.31242877, 'No': -2.209428, '\n': -2.2762597, ' Unfortunately': -3.1182091, ' Yes': -5.321069}
{' No': -0.5005011, '\n': -2.4270203, 'No': -2.767223, ' Yes': -1.5748897, ' Unfortunately': -4.060926}
{' No': -0.4898559, '\n': -1.5894845, 'No': -2.3755274, ' Yes': -2.8496048, ' Unfortunately': -3.8935099}
{' No': -0.40724692, ' Not': -4.569997, '\n': -1.8135083, 'No': -2.913892, ' Yes': -2.3676217}
{' No': -0.14574912, ' Not': -6.164134, '\n': -2.8565109, 'No': -2.6424665, ' Unfortunately': -5.928397}
{' No': -0.35536504, '\n': -1.5521443, 'No': -2.6955445, ' Unfortunately': -4.539039, ' Yes': -5.6527867}
{' No': -0.14037126, '\n': -2.806728, 'No': -2.8451037, ' Unfortunately': -5.087351, ' Yes': -5.7833686}
{' No': -0.23035337, ' Yes': -2.1791391, '\n': -2.9748373, 'No': -3.3997197, ' The': -5.945967}
{' No': -0.2518979, '\n': -2.1049788, 'No': -2.9531155, ' Yes': -3.1792068, ' Unfortunately': -6.3941517}
{'\n': -0.709428, ' No': -1.0688069, 'No': -2.8882382, ' Unfortunately': -2.9840405, ' Yes': -3.4562995}
{' No': -0.350489, '\n': -1.9411185, ' ': -5.223968, 'No': -2.5286353, ' Unfortunately': -2.9117033}
{' No': -0.96071935, '\n': -0.7834943, ' ': -4.4218326, 'No': -2.7016823, ' Unfortunately': -2.7436059}
{' No': -0.50543493, '\n': -1.3363732, ' ': -4.6431837, 'No': -2.935647, ' Unfortunately': -3.0273771}
{' No': -0.3865785, '\n': -1.56672, 'No': -2.9823577, ' Yes': -3.81252, ' Unfortunately': -3.712529}
{' No': -0.6376433, '\n': -0.9947982, 'No': -2.931825, ' Yes': -3.8409111, ' Unfortunately': -4.2822433}
{' No': -0.04360598, '\n': -3.6637347, ' ': -7.440802, 'No': -4.2762623, ' Yes': -6.5495777}
{' No': -0.022091102, ' Not': -9.5301285, '\n': -5.104238, ' ': -8.626889, 'No': -4.1816483}
{' No': -0.056489456, ' Not': -8.327668, '\n': -3.9793885, ' ': -7.682772, 'No': -3.3513882}
{' No': -0.036904257, '\n': -5.252045, 'No': -3.5036342, ' Yes': -8.293858, ' Unfortunately': -8.424004}
{' No': -0.024391068, 'No': -4.3156147, ' Yes': -4.9398513, '\n': -5.763492, ' ': -8.599922}
{' No': -0.04767591, '\n': -4.369224, ' ': -7.972555, 'No': -3.490593, ' Yes': -5.866583}
{' No': -0.09291931, ' Not': -6.249817, '\n': -3.206311, 'No': -4.301469, ' Yes': -3.5493593}
{' No': -0.0199428, 'No': -4.1671195, '\n': -5.6101437, ' Not': -8.84779, ' ': -8.866378}
{' No': -0.08534441, ' Not': -6.695159, '\n': -3.1523325, 'No': -3.3658998, ' Unfortunately': -6.558784}
{' No': -0.06456003, '\n': -3.9978523, 'No': -3.1887624, ' Yes': -7.10279, ' Unfortunately': -6.833812}
{' No': -0.0130827455, '\n': -6.971304, ' ': -9.797108, 'No': -4.5033875, ' Yes': -7.0947895}
{' No': -0.039348975, '\n': -4.8841634, ' ': -8.237509, 'No': -3.6774387, ' Yes': -5.2821846}
{' No': -0.27660722, ' Yes': -1.8456608, '\n': -2.709558, 'No': -4.50934, 'Yes': -5.636666}
{' No': -0.027230421, '\n': -4.6374693, ' ': -8.34337, 'No': -4.1477838, ' Yes': -7.279992}
{' No': -0.04925283, '\n': -4.179492, ' ': -7.8967934, 'No': -3.4862952, ' Yes': -7.015757}
{' No': -0.042721197, '\n': -4.318718, ' ': -8.095738, 'No': -3.604092, ' Yes': -7.169004}
{' No': -0.022039369, '\n': -5.371332, ' ': -8.936223, 'No': -4.2515583, ' Yes': -5.9202495}
{' No': -0.024086837, 'No': -4.0897717, '\n': -5.0421076, ' Yes': -7.910332, ' ': -8.6294775}
{' No': -0.4836174, '\n': -1.5463444, 'No': -2.7909503, ' Yes': -4.053718, ' Unfortunately': -2.664991}
{' No': -0.17348513, '\n': -2.7690492, ' ': -5.9204984, 'No': -2.6457653, ' Unfortunately': -4.001515}
{' No': -0.3379697, ' Not': -5.096026, '\n': -1.9333045, 'No': -2.58813, ' Unfortunately': -3.013987}
{' No': -0.15859173, ' Not': -6.579894, '\n': -2.857635, 'No': -2.7743487, ' Unfortunately': -3.8257496}
{' No': -0.20249125, '\n': -2.5474277, 'No': -2.9472995, ' Unfortunately': -3.664556, ' Yes': -4.0265074}
{' No': -0.30773103, '\n': -1.7818063, 'No': -2.8225052, ' Yes': -4.094629, ' Unfortunately': -4.4159884}
{' No': -0.5004304, '\n': -1.6018556, 'No': -3.7203763, ' Yes': -1.8456395, 'Yes': -4.844548}
{' No': -0.024491725, 'No': -4.0441046, '\n': -5.068965, ' no': -9.17553, ' ': -9.255069}
{' No': -0.106975324, 'No': -2.8716884, '\n': -3.1527247, ' Yes': -6.7721243, ' ': -7.4120593}
{' No': -0.11917873, 'No': -2.4848955, '\n': -3.6816232, ' Yes': -5.7336326, ' ': -8.059689}
{' No': -0.04256918, '\n': -4.8222947, ' ': -8.515628, 'No': -3.5504656, ' Yes': -5.402896}
{' No': -0.047228478, 'No': -3.2306504, '\n': -5.0712514, ' Yes': -8.909264, ' ': -8.934037}
