{' number': -6.5517163, ' #': -6.544743, ' 1': -2.2409306, ' 2': -0.15288188, ' two': -3.472717}
{' #': -6.776433, ' 1': -1.9544537, ' 2': -0.19106045, ' one': -6.5104456, ' two': -3.554334}
{' 2': -0.287747, ' 1': -1.5083338, ' two': -3.7111022, ' one': -6.212649, ' #': -6.7152042}
{' #': -6.7445498, ' 1': -1.6854604, ' 2': -0.24180916, ' one': -6.3250976, ' two': -3.6731236}
{' #': -6.734924, ' 1': -1.9441466, ' 2': -0.1918559, ' one': -6.514061, ' two': -3.5867171}
{' 2': -0.22532453, ' 1': -1.775974, ' two': -3.5728433, ' one': -6.331487, ' #': -6.5730553}
{' 2': -0.2985836, ' 1': -1.4698749, ' two': -3.7468293, ' one': -6.180043, ' #': -6.600761}
{' 2': -0.24234203, ' 1': -1.6832887, ' two': -3.68214, ' one': -6.372689, ' #': -6.582038}
{' #': -6.5805326, ' 1': -1.4082999, ' 2': -0.31768578, ' one': -6.180393, ' two': -3.7747474}
{' 2': -0.19006933, ' 1': -1.9625131, ' two': -3.5589654, ' one': -6.500945, ' #': -6.613929}
{' #': -6.5867715, ' 1': -2.0165517, ' 2': -0.18313965, ' one': -6.516032, ' two': -3.502424}
{' 2': -0.22608434, ' 1': -1.7620759, ' two': -3.6343234, ' one': -6.3861766, ' #': -6.5964417}
{' #': -6.6082454, ' 1': -1.437252, ' 2': -0.3090039, ' one': -6.19495, ' two': -3.7468681}
{' #': -6.782418, ' 1': -1.4281921, ' 2': -0.3110638, ' one': -6.1315255, ' two': -3.7653217}
{' #': -6.6499715, ' 1': -1.3006979, ' 2': -0.3552977, ' one': -6.0979934, ' two': -3.81802}
{' #': -6.58851, ' 1': -1.0427102, ' 2': -0.47425154, ' one': -5.848344, ' two': -3.928561}
{' #': -6.669988, ' 1': -1.0820122, ' 2': -0.45132837, ' one': -5.9150815, ' two': -3.9551718}
{' #': -6.6984906, ' 1': -1.1751957, ' 2': -0.40835574, ' one': -5.9526753, ' two': -3.839708}
{' #': -6.7105823, ' 1': -1.4895574, ' 2': -0.29305667, ' one': -6.252873, ' two': -3.7199323}
{' #': -6.70872, ' 1': -1.373397, ' 2': -0.32895768, ' one': -6.186005, ' two': -3.7874994}
{' #': -6.6170816, ' 1': -0.92475617, ' 2': -0.5455123, ' one': -5.7563653, ' two': -4.0070524}
{' #': -6.617378, ' 1': -1.2017319, ' 2': -0.39275858, ' one': -6.09542, ' two': -3.942466}
{' #': -6.547435, ' 1': -1.1220094, ' 2': -0.43413943, ' one': -5.909989, ' two': -3.8584328}
{' #': -6.639178, ' 1': -1.6159998, ' 2': -0.25934857, ' one': -6.26351, ' two': -3.6748722}
{' #': -6.5568404, ' 1': -1.5552428, ' 2': -0.27356187, ' one': -6.2905636, ' two': -3.7426875}
{' #': -6.59161, ' 1': -1.3927302, ' 2': -0.31975514, ' one': -6.2050467, ' two': -3.8770993}
{' #': -6.6873417, ' 1': -1.5779498, ' 2': -0.26566154, ' one': -6.33166, ' two': -3.783247}
{' #': -6.658886, ' 1': -1.5276864, ' 2': -0.28089845, ' one': -6.2585583, ' two': -3.752267}
{' #': -6.6177497, ' 1': -1.5165571, ' 2': -0.2822584, ' one': -6.34849, ' two': -3.8052533}
{' #': -6.7708282, ' 1': -2.1456587, ' 2': -0.16002485, ' one': -6.6970043, ' two': -3.598545}
{' #': -6.665534, ' 1': -1.6065105, ' 2': -0.2598367, ' one': -6.3280115, ' two': -3.7201276}
{' 2': -0.16425681, ' 1': -2.3210444, ' two': -3.0314937, ' #': -6.264838, ' one': -6.336581}
{' #': -6.4293876, ' 1': -2.263424, ' 2': -0.16637796, ' one': -6.3831735, ' two': -3.1068192}
{' #': -6.3884335, ' 1': -2.416403, ' 2': -0.14932866, ' one': -6.5346713, ' two': -3.0990183}
{' #': -6.371915, ' 1': -1.9907539, ' 2': -0.20287201, ' one': -6.209317, ' two': -3.1720471}
{' #': -6.4583015, ' 1': -2.488442, ' 2': -0.14153339, ' one': -6.588369, ' two': -3.1100335}
{' #': -6.3145027, ' 1': -1.87183, ' 2': -0.226509, ' one': -6.0062604, ' two': -3.141628}
{' #': -6.3885922, ' 1': -1.8156916, ' 2': -0.23951009, ' one': -5.907222, ' two': -3.109881}
{' #': -6.2994995, ' 1': -1.5896077, ' 2': -0.29560918, ' one': -5.640903, ' two': -3.0994818}
{' 2': -0.25350547, ' 1': -1.7464179, ' two': -3.1297357, ' one': -5.862534, ' #': -6.356266}
{' #': -6.3621507, ' 1': -1.79903, ' 2': -0.24184772, ' one': -5.9156127, ' two': -3.1315894}
{' 2': -0.2468397, ' 1': -1.7815365, ' two': -3.1132166, ' one': -5.9381943, ' #': -6.2767696}
{' 2': -0.32878858, ' 1': -1.4208888, ' two': -3.4208522, ' one': -5.757161, ' #': -6.4265475}
{' #': -6.3342166, ' 1': -1.8674589, ' 2': -0.22896463, ' one': -5.961152, ' two': -3.1135051}
{' #': -6.309373, ' 1': -1.4575381, ' 2': -0.32533216, ' one': -5.675537, ' two': -3.2650368}
{' #': -6.3308825, ' 1': -1.9832594, ' 2': -0.2107947, ' one': -6.003931, ' two': -3.064909}
{' #': -6.3633575, ' 1': -2.269168, ' 2': -0.16898243, ' one': -6.2808385, ' two': -3.0543866}
{' #': -6.3391194, ' 1': -1.9630885, ' 2': -0.21257351, ' one': -6.001101, ' two': -3.0917888}
{' #': -6.2942014, ' 1': -1.2167622, ' 2': -0.41481555, ' one': -5.5204635, ' two': -3.3235698}
{' #': -6.4107547, ' 1': -1.3271118, ' 2': -0.36818084, ' one': -5.583768, ' two': -3.3210404}
{' #': -6.3920097, ' 1': -1.2059131, ' 2': -0.41603225, ' one': -5.5155406, ' two': -3.3821294}
{' 2': -0.5418284, ' 1': -0.9624521, ' two': -3.563572, ' one': -5.3120728, ' #': -6.369095}
{' #': -6.3983397, ' 1': -1.0732385, ' 2': -0.47564524, ' one': -5.439663, ' two': -3.5302489}
{' #': -6.4433966, ' 1': -1.2613922, ' 2': -0.3926426, ' one': -5.5687137, ' two': -3.3600764}
{' #': -6.4703784, ' 1': -1.3769644, ' 2': -0.348257, ' one': -5.714655, ' two': -3.3360806}
{' #': -6.40769, ' 1': -1.5433649, ' 2': -0.2984996, ' one': -5.823207, ' two': -3.2584336}
{' #': -6.3329377, ' 1': -1.098647, ' 2': -0.46584406, ' one': -5.412598, ' two': -3.4576}
{' #': -6.302692, ' 1': -1.3833811, ' 2': -0.34541148, ' one': -5.7065883, ' two': -3.3577843}
{' #': -6.312828, ' 1': -1.0893885, ' 2': -0.47147807, ' one': -5.426565, ' two': -3.446328}
{' #': -6.391197, ' 1': -1.7247614, ' 2': -0.25511286, ' one': -5.8875613, ' two': -3.190019}
{' #': -6.3671217, ' 1': -1.3958427, ' 2': -0.34077567, ' one': -5.693694, ' two': -3.3615866}
{' #': -6.2340426, ' 1': -1.6817554, ' 2': -0.26093322, ' one': -5.902291, ' two': -3.2836018}
{' #': -6.311182, ' 1': -1.2601159, ' 2': -0.38806838, ' one': -5.611778, ' two': -3.4668338}
{' #': -6.3104806, ' 1': -1.5170252, ' 2': -0.3065303, ' one': -5.7505693, ' two': -3.2608871}
{' #': -6.326946, ' 1': -1.5775386, ' 2': -0.29017356, ' one': -5.8049607, ' two': -3.23705}
{' #': -6.348871, ' 1': -2.4778056, ' 2': -0.14331424, ' one': -6.527814, ' two': -3.1005304}
{' #': -6.3745174, ' 1': -1.6876988, ' 2': -0.2594398, ' one': -6.0409946, ' two': -3.2609615}
{' 2': -0.1247575, ' 1': -2.412805, ' two': -3.8576791, ' number': -5.9927273, ' #': -6.0034328}
{' number': -5.957511, ' #': -6.0649347, ' 1': -2.7836218, ' 2': -0.09563543, ' two': -3.7659748}
{' number': -5.937166, ' #': -6.0969944, ' 1': -2.962265, ' 2': -0.084528305, ' two': -3.7598097}
{' number': -5.9586964, ' #': -6.1102138, ' 1': -2.5443628, ' 2': -0.11163129, ' two': -3.868969}
{' number': -5.9339557, ' #': -6.1646852, ' 1': -2.8854003, ' 2': -0.08861908, ' two': -3.770679}
{' 2': -0.19047973, ' 1': -1.9316524, ' two': -3.875607, ' number': -5.8776517, ' #': -5.9826865}
{' number': -6.022719, ' #': -6.1276493, ' 1': -1.9055041, ' 2': -0.19226451, ' two': -3.9473836}
{' 2': -0.19802147, ' 1': -1.8821034, ' two': -3.9090867, ' number': -5.9861293, ' #': -6.0159783}
{' number': -5.8541784, ' #': -5.977166, ' 1': -1.8285651, ' 2': -0.21007304, ' two': -3.8775668}
{' number': -5.859779, ' #': -5.9649734, ' 1': -1.8343931, ' 2': -0.20905931, ' two': -3.8706343}
{' number': -5.971328, ' #': -6.0230255, ' 1': -1.8720031, ' 2': -0.19986677, ' two': -3.9199557}
{' number': -5.8958983, ' 1': -1.6087283, ' 2': -0.25810787, ' one': -5.967605, ' two': -3.959741}
{' number': -5.8380327, ' #': -5.894853, ' 1': -1.8742731, ' 2': -0.20242688, ' two': -3.839386}
{' number': -5.7442255, ' #': -5.9659014, ' 1': -1.8418083, ' 2': -0.2073496, ' two': -3.891683}
{' 2': -0.17038871, ' 1': -2.0663638, ' two': -3.8076963, ' number': -5.8365746, ' #': -5.926445}
{' number': -5.749203, ' #': -5.93577, ' 1': -2.0709217, ' 2': -0.16982518, ' two': -3.8220217}
{' number': -5.8053555, ' #': -5.886207, ' 1': -1.8498209, ' 2': -0.20853786, ' two': -3.79669}
{' number': -5.781039, ' 1': -1.2249945, ' 2': -0.38631228, ' one': -5.6874843, ' two': -4.0723133}
{' number': -5.89034, ' #': -5.9790773, ' 1': -1.7142469, ' 2': -0.23393086, ' two': -3.8931983}
{' number': -5.8374395, ' 1': -1.3500122, ' 2': -0.33573377, ' one': -5.8344326, ' two': -4.0641003}
{' 2': -0.41648272, ' 1': -1.1487672, ' two': -4.2117043, ' one': -5.708004, ' number': -5.9221654}
{' 2': -0.37330472, ' 1': -1.2553219, ' two': -4.068999, ' one': -5.672706, ' number': -5.7859874}
{' number': -5.812407, ' 1': -1.3719931, ' 2': -0.32965943, ' one': -5.7656074, ' two': -4.0052233}
{' number': -5.865395, ' #': -5.9970884, ' 1': -1.6789193, ' 2': -0.2410282, ' two': -3.9365563}
{' number': -5.8451796, ' #': -6.002446, ' 1': -1.7268817, ' 2': -0.23024845, ' two': -3.920304}
{' number': -5.8751497, ' 1': -1.0103171, ' 2': -0.49232697, ' one': -5.4887905, ' two': -4.2325134}
{' number': -5.826891, ' 1': -1.4948579, ' 2': -0.28819862, ' one': -5.9260445, ' two': -4.0458145}
{' 2': -0.40793985, ' 1': -1.1758384, ' two': -4.0842433, ' one': -5.6084228, ' number': -5.881438}
{' number': -5.880998, ' #': -5.9701858, ' 1': -1.8768221, ' 2': -0.20128505, ' two': -3.8483872}
{' number': -5.8737497, ' 1': -1.5260617, ' 2': -0.28011855, ' one': -5.9561486, ' two': -3.9879336}
{' 2': -0.21414453, ' 1': -1.803048, ' two': -3.9478254, ' number': -5.7587285, ' #': -5.8879995}
{' number': -5.885663, ' 1': -1.264007, ' 2': -0.36592227, ' one': -5.8186617, ' two': -4.178092}
{' 2': -0.26816344, ' 1': -1.5627496, ' two': -4.0413775, ' number': -5.8741536, ' one': -6.0207343}
{' number': -5.886451, ' #': -6.0015564, ' 1': -1.8698179, ' 2': -0.20055993, ' two': -3.9154627}
{' number': -5.652857, ' #': -5.9306774, ' 1': -2.552631, ' 2': -0.11509478, ' two': -3.7746675}
{' number': -5.735976, ' 1': -1.2845675, ' 2': -0.35987723, ' one': -5.8139386, ' two': -4.1323724}
{' number': -6.7256565, ' #': -6.51499, ' 1': -2.584767, ' 2': -0.10884355, ' two': -3.7262428}
{' number': -6.7543807, ' #': -6.589394, ' 1': -2.6652865, ' 2': -0.10225442, ' two': -3.7202559}
{' number': -6.754411, ' #': -6.668648, ' 1': -2.8437917, ' 2': -0.0896642, ' two': -3.7141795}
{' number': -6.715535, ' #': -6.598427, ' 1': -2.444162, ' 2': -0.119576864, ' two': -3.798528}
{' number': -6.7676644, ' #': -6.6740417, ' 1': -2.713889, ' 2': -0.09609478, ' two': -3.8088956}
{' number': -6.747539, ' #': -6.5464005, ' 1': -2.23864, ' 2': -0.14295228, ' two': -3.7816393}
{' 2': -0.22256628, ' 1': -1.7424483, ' two': -3.8994212, ' one': -6.5155754, ' #': -6.5556746}
{' #': -6.4319415, ' 1': -1.6450225, ' 2': -0.24704847, ' one': -6.3953676, ' two': -3.8534706}
{' #': -6.55376, ' 1': -1.7498239, ' 2': -0.22137944, ' one': -6.4842844, ' two': -3.8872044}
{' #': -6.5525923, ' 1': -1.8236831, ' 2': -0.20669419, ' one': -6.5443907, ' two': -3.8603957}
{' 2': -0.18845767, ' 1': -1.9332699, ' two': -3.7835102, ' #': -6.474364, ' one': -6.547522}
{' #': -6.532672, ' 1': -1.4461664, ' 2': -0.2988964, ' one': -6.2967114, ' two': -4.003238}
{' #': -6.496784, ' 1': -1.7693403, ' 2': -0.21845615, ' one': -6.487503, ' two': -3.846073}
{' #': -6.4918394, ' 1': -1.5938883, ' 2': -0.25829422, ' one': -6.3829527, ' two': -3.9226255}
{' number': -6.620667, ' #': -6.55784, ' 1': -2.0835521, ' 2': -0.16408817, ' two': -3.7827692}
{' 2': -0.14916952, ' 1': -2.198234, ' two': -3.7507968, ' #': -6.4987993, ' number': -6.680184}
{' 2': -0.18458104, ' 1': -1.962989, ' two': -3.7413607, ' #': -6.511543, ' one': -6.5422387}
{' #': -6.4779983, ' 1': -1.3449208, ' 2': -0.33370548, ' one': -6.229902, ' two': -4.006082}
{' #': -6.539753, ' 1': -1.3310578, ' 2': -0.3386852, ' one': -6.167755, ' two': -4.009364}
{' #': -6.540887, ' 1': -1.2031895, ' 2': -0.38880306, ' one': -6.1194544, ' two': -4.083282}
{' #': -6.43177, ' 1': -1.1205409, ' 2': -0.4281772, ' one': -5.9838557, ' two': -4.0980873}
{' #': -6.582596, ' 1': -1.3316387, ' 2': -0.3381523, ' one': -6.1560116, ' two': -4.0201683}
{' #': -6.6130896, ' 1': -1.2172928, ' 2': -0.3840923, ' one': -6.034537, ' two': -4.0332394}
{' 2': -0.3115001, ' 1': -1.4134555, ' two': -3.9295325, ' one': -6.2317533, ' #': -6.62243}
{' #': -6.5756826, ' 1': -1.4981785, ' 2': -0.28386316, ' one': -6.3547773, ' two': -3.9624193}
{' #': -6.549023, ' 1': -1.2721981, ' 2': -0.3615554, ' one': -6.081542, ' two': -4.012287}
{' 2': -0.27718067, ' 1': -1.5158739, ' two': -4.027602, ' one': -6.3931494, ' #': -6.4875135}
{' #': -6.4372444, ' 1': -0.98648286, ' 2': -0.5024112, ' one': -5.8687634, ' two': -4.1293755}
{' 2': -0.25046816, ' 1': -1.6260403, ' two': -3.9015014, ' one': -6.3642178, ' #': -6.521799}
{' #': -6.4890537, ' 1': -1.5403167, ' 2': -0.27262035, ' one': -6.344425, ' two': -3.933993}
{' #': -6.4491305, ' 1': -1.8744559, ' 2': -0.19649641, ' one': -6.576196, ' two': -3.8885891}
{' 2': -0.33230782, ' 1': -1.3416349, ' two': -4.105282, ' one': -6.2664165, ' #': -6.465513}
{' #': -6.5042443, ' 1': -1.3836387, ' 2': -0.31935924, ' one': -6.2405453, ' two': -4.0254726}
{' #': -6.516616, ' 1': -1.5699434, ' 2': -0.26411918, ' one': -6.4024863, ' two': -3.933774}
{' number': -6.653878, ' #': -6.544542, ' 1': -2.6034095, ' 2': -0.10684121, ' two': -3.7435234}
{' #': -6.6735187, ' 1': -1.8107505, ' 2': -0.20779757, ' one': -6.5379863, ' two': -3.8996463}
{' number': -6.82999, ' #': -6.256591, ' 1': -2.4597237, ' 2': -0.11906739, ' two': -3.777383}
{' number': -6.8774385, ' #': -6.3339567, ' 1': -2.4145691, ' 2': -0.12313396, ' two': -3.7837725}
{' 2': -0.10030951, ' 1': -2.6650696, ' two': -3.7945993, ' #': -6.4176593, ' number': -6.9050937}
{' 2': -0.09378616, ' 1': -2.7367344, ' two': -3.8360329, ' #': -6.513491, ' number': -6.907989}
{' number': -6.894602, ' #': -6.523392, ' 1': -2.9353034, ' 2': -0.081488565, ' two': -3.8142705}
{' number': -6.824074, ' #': -6.2522697, ' 1': -2.10158, ' 2': -0.16148604, ' two': -3.7893107}
{' 2': -0.14223802, ' 1': -2.2241836, ' two': -3.8694355, ' #': -6.488358, ' number': -6.911697}
{' 2': -0.25177163, ' 1': -1.6291977, ' two': -3.8354087, ' #': -6.2132745, ' one': -6.447677}
{' #': -6.2796493, ' 1': -1.589528, ' 2': -0.26050076, ' one': -6.441129, ' two': -3.881089}
{' number': -6.830035, ' #': -6.4454303, ' 1': -2.3079503, ' 2': -0.13256378, ' two': -3.8614416}
{' 2': -0.1324298, ' 1': -2.3263023, ' two': -3.7932327, ' #': -6.3644047, ' number': -6.8591423}
{' #': -6.3006167, ' 1': -1.6686856, ' 2': -0.23912217, ' one': -6.52253, ' two': -3.9311807}
{' 2': -0.23419477, ' 1': -1.6960725, ' two': -3.8749893, ' #': -6.270888, ' one': -6.5242395}
{' #': -6.2355237, ' 1': -1.565974, ' 2': -0.26483995, ' one': -6.4944997, ' two': -3.9679036}
{' number': -6.683041, ' #': -6.266834, ' 1': -2.1169615, ' 2': -0.15938091, ' two': -3.7907877}
{' number': -6.7236447, ' #': -6.1695695, ' 1': -2.3907928, ' 2': -0.1277199, ' two': -3.730045}
{' number': -6.700287, ' #': -6.226428, ' 1': -2.1055195, ' 2': -0.16148296, ' two': -3.7776253}
{' #': -6.2278275, ' 1': -1.2504692, ' 2': -0.3706227, ' one': -6.2258983, ' two': -4.015232}
{' #': -6.31304, ' 1': -1.3849307, ' 2': -0.3203211, ' one': -6.3026896, ' two': -3.9704142}
{' #': -6.428346, ' 1': -1.7965974, ' 2': -0.2099217, ' one': -6.693846, ' two': -3.94386}
{' 2': -0.535103, ' 1': -0.9344199, ' two': -4.174631, ' one': -5.898608, ' #': -6.191836}
{' 2': -0.4332406, ' 1': -1.1051308, ' two': -4.194839, ' one': -6.155695, ' #': -6.2746887}
{' 2': -0.39794073, ' 1': -1.1837837, ' two': -4.079808, ' one': -6.1511, ' #': -6.3439026}
{' #': -6.3480077, ' 1': -1.3374596, ' 2': -0.33590707, ' one': -6.336197, ' two': -4.0203133}
{' #': -6.443766, ' 1': -1.7967206, ' 2': -0.20909311, ' one': -6.737324, ' two': -3.9724123}
{' #': -6.2250214, ' 1': -0.93008107, ' 2': -0.5359809, ' one': -5.9454055, ' two': -4.232371}
{' #': -6.209557, ' 1': -1.3139192, ' 2': -0.34356892, ' one': -6.3167806, ' two': -4.08457}
{' #': -6.166552, ' 1': -1.0023235, ' 2': -0.4930632, ' one': -5.9813247, ' two': -4.1246986}
{' number': -6.8029056, ' #': -6.4548936, ' 1': -2.051723, ' 2': -0.16651699, ' two': -3.864637}
{' #': -6.2919836, ' 1': -1.800235, ' 2': -0.20955391, ' one': -6.691146, ' two': -3.9439747}
{' number': -6.7624865, ' #': -6.360431, ' 1': -2.3877952, ' 2': -0.124201685, ' two': -3.8576512}
{' #': -6.2916017, ' 1': -1.5244757, ' 2': -0.27419528, ' one': -6.510427, ' two': -4.0477395}
{' #': -6.3406606, ' 1': -1.7247235, ' 2': -0.22427335, ' one': -6.679109, ' two': -3.9954488}
{' number': -6.882196, ' #': -6.4146557, ' 1': -2.0187151, ' 2': -0.16876853, ' two': -3.9802883}
{' 2': -0.08354022, ' 1': -2.8927212, ' two': -3.8540118, ' #': -6.347109, ' number': -6.806366}
{' #': -6.4888206, ' 1': -2.1024098, ' 2': -0.15510061, ' one': -6.9643774, ' two': -4.0133467}
{' 2': -0.13999581, ' 1': -2.3435347, ' two': -3.5249214, ' #': -5.9702034, ' number': -6.5871954}
{' number': -6.6803226, ' #': -6.1016393, ' 1': -2.8511205, ' 2': -0.0964896, ' two': -3.5093694}
{' 2': -0.09367932, ' 1': -2.8793256, ' two': -3.537706, ' #': -6.1617236, ' number': -6.650799}
{' 2': -0.13666216, ' 1': -2.3305726, ' two': -3.651795, ' #': -6.1378675, ' number': -6.642463}
{' number': -6.5931478, ' #': -6.1260686, ' 1': -2.6146622, ' 2': -0.11166007, ' two': -3.5764256}
{' #': -6.041916, ' 1': -1.97435, ' 2': -0.18852618, ' one': -6.4834046, ' two': -3.5937364}
{' 2': -0.20193185, ' 1': -1.8781403, ' two': -3.6947012, ' #': -6.089438, ' one': -6.50415}
{' #': -5.841698, ' 1': -1.3784841, ' 2': -0.33349937, ' one': -5.9998894, ' two': -3.7054932}
{' #': -5.9302154, ' 1': -1.4098634, ' 2': -0.3222073, ' one': -5.987389, ' two': -3.7102115}
{' #': -5.948325, ' 1': -1.7300818, ' 2': -0.23534615, ' one': -6.261801, ' two': -3.6417484}
{' #': -6.006955, ' 1': -1.8318243, ' 2': -0.21503934, ' one': -6.3400984, ' two': -3.5891237}
{' #': -5.9405823, ' 1': -1.3183526, ' 2': -0.35312542, ' one': -5.926551, ' two': -3.7747755}
{' #': -6.011065, ' 1': -1.8125639, ' 2': -0.21692945, ' one': -6.394358, ' two': -3.6436758}
{' #': -5.9487, ' 1': -1.5831025, ' 2': -0.26787886, ' one': -6.2648516, ' two': -3.7524064}
{' 2': -0.23109703, ' 1': -1.7479656, ' two': -3.651681, ' #': -5.9250507, ' one': -6.3297825}
{' number': -6.5692587, ' #': -5.967168, ' 1': -2.0353425, ' 2': -0.17758693, ' two': -3.6283333}
{' #': -5.854271, ' 1': -1.7240157, ' 2': -0.23815481, ' one': -6.2379966, ' two': -3.6136258}
{' #': -5.855916, ' 1': -1.1682209, ' 2': -0.4163841, ' one': -5.8453636, ' two': -3.8130991}
{' #': -5.9062667, ' 1': -1.2089816, ' 2': -0.39795217, ' one': -5.83721, ' two': -3.796353}
{' 2': -0.41594175, ' 1': -1.1632352, ' two': -3.8769517, ' one': -5.885102, ' #': -5.9463797}
{' #': -5.87997, ' 1': -0.8183714, ' 2': -0.6287886, ' one': -5.5261903, ' two': -4.0693}
{' #': -5.9782686, ' 1': -0.93021655, ' 2': -0.54401857, ' one': -5.685567, ' two': -4.043881}
{' 2': -0.5083915, ' 1': -0.9887859, ' two': -3.9610834, ' one': -5.7152376, ' #': -6.002904}
{' #': -5.9866433, ' 1': -1.1682681, ' 2': -0.4137687, ' one': -5.9138603, ' two': -3.8604565}
{' #': -5.9302907, ' 1': -1.1608636, ' 2': -0.41858074, ' one': -5.8599877, ' two': -3.8391757}
{' #': -5.855135, ' 1': -0.8036282, ' 2': -0.6412766, ' one': -5.5079494, ' two': -4.069574}
{' 2': -0.5010152, ' 1': -0.99768114, ' two': -4.0318913, ' one': -5.7850966, ' #': -5.861318}
{' #': -5.85564, ' 1': -0.72359, ' 2': -0.714654, ' one': -5.420703, ' two': -4.0986967}
{' 2': -0.34991822, ' 1': -1.3284377, ' two': -3.7597253, ' #': -5.902771, ' one': -5.940168}
{' #': -5.889395, ' 1': -1.2110338, ' 2': -0.39467156, ' one': -5.910344, ' two': -3.8647583}
{' #': -5.82831, ' 1': -1.0319717, ' 2': -0.48283452, ' one': -5.751394, ' two': -3.9722733}
{' 2': -0.4883117, ' 1': -1.0170459, ' two': -4.043001, ' one': -5.8433104, ' #': -5.909681}
{' #': -5.88158, ' 1': -0.81077635, ' 2': -0.63403, ' one': -5.547222, ' two': -4.0923023}
{' #': -5.9318933, ' 1': -1.391067, ' 2': -0.32549238, ' one': -6.0902743, ' two': -3.7924569}
{' 2': -0.11714783, ' 1': -2.5424314, ' two': -3.614071, ' #': -6.016125, ' number': -6.5984483}
{' #': -5.9402013, ' 1': -1.510845, ' 2': -0.287914, ' one': -6.155935, ' two': -3.7612987}
{' number': -6.65686, ' #': -6.4974813, ' 1': -2.627731, ' 2': -0.11437786, ' two': -3.440246}
{' 2': -0.08983881, ' 1': -2.935595, ' two': -3.5154405, ' #': -6.635804, ' number': -6.8231654}
{' number': -6.75904, ' #': -6.6823654, ' 1': -3.0561466, ' 2': -0.08305948, ' two': -3.5200539}
{' number': -6.7170377, ' #': -6.646348, ' 1': -2.799005, ' 2': -0.097728446, ' two': -3.5410724}
{' number': -6.702411, ' #': -6.661661, ' 1': -3.1350732, ' 2': -0.07887877, ' two': -3.5308876}
{' #': -6.4781904, ' 1': -2.018936, ' 2': -0.18176639, ' one': -6.522195, ' two': -3.5399587}
{' #': -6.6014524, ' 1': -2.120711, ' 2': -0.16438194, ' one': -6.6637793, ' two': -3.5847268}
{' #': -6.500673, ' 1': -2.061962, ' 2': -0.17404722, ' one': -6.6062255, ' two': -3.564342}
{' 2': -0.16372077, ' 1': -2.1324077, ' two': -3.5606952, ' #': -6.565812, ' one': -6.6297584}
{' number': -6.723677, ' #': -6.5542164, ' 1': -2.2075553, ' 2': -0.15221941, ' two': -3.600843}
{' #': -6.4923744, ' 1': -2.1700623, ' 2': -0.16187973, ' one': -6.5750065, ' two': -3.4731743}
{' #': -6.530978, ' 1': -1.7194549, ' 2': -0.23289989, ' one': -6.383193, ' two': -3.7228365}
{' 2': -0.14499496, ' 1': -2.2671127, ' two': -3.5913296, ' #': -6.562879, ' number': -6.7354317}
{' number': -6.612539, ' #': -6.496184, ' 1': -2.0067937, ' 2': -0.17927343, ' two': -3.6723135}
{' number': -6.646472, ' #': -6.615044, ' 1': -2.6690807, ' 2': -0.10856832, ' two': -3.5053978}
{' 2': -0.12025671, ' 1': -2.5310595, ' two': -3.5128744, ' #': -6.4276924, ' number': -6.683688}
{' number': -6.6893578, ' #': -6.562956, ' 1': -2.400078, ' 2': -0.13282609, ' two': -3.510731}
{' #': -6.4511323, ' 1': -1.7383587, ' 2': -0.2285243, ' one': -6.454174, ' two': -3.7346985}
{' #': -6.5852413, ' 1': -1.5574191, ' 2': -0.27284852, ' one': -6.225418, ' two': -3.7537863}
{' #': -6.48514, ' 1': -1.4271096, ' 2': -0.31127632, ' one': -6.152152, ' two': -3.7940373}
{' #': -6.4014897, ' 1': -1.2483186, ' 2': -0.376065, ' one': -5.965028, ' two': -3.8717127}
{' #': -6.484584, ' 1': -1.428433, ' 2': -0.30906346, ' one': -6.173914, ' two': -3.8527284}
{' #': -6.5353827, ' 1': -1.3652714, ' 2': -0.33193853, ' one': -6.077511, ' two': -3.8150165}
{' 2': -0.26575378, ' 1': -1.5830432, ' two': -3.7517688, ' one': -6.330697, ' #': -6.5327277}
{' #': -6.52411, ' 1': -1.7765337, ' 2': -0.22023837, ' one': -6.5044103, ' two': -3.7252297}
{' #': -6.4426284, ' 1': -1.4535313, ' 2': -0.3034592, ' one': -6.1370087, ' two': -3.7750092}
{' #': -6.456063, ' 1': -1.6379687, ' 2': -0.2509866, ' one': -6.363586, ' two': -3.7758107}
{' #': -6.4237595, ' 1': -1.2520382, ' 2': -0.37521085, ' one': -5.979346, ' two': -3.8466177}
{' #': -6.4923377, ' 1': -1.8151705, ' 2': -0.21316354, ' one': -6.4442616, ' two': -3.700991}
{' #': -6.479968, ' 1': -1.658815, ' 2': -0.24644428, ' one': -6.346467, ' two': -3.7540908}
{' #': -6.415, ' 1': -1.9747107, ' 2': -0.18382868, ' one': -6.5789857, ' two': -3.6993566}
{' #': -6.4826975, ' 1': -1.7260227, ' 2': -0.22980681, ' one': -6.4333153, ' two': -3.7754877}
{' #': -6.5374227, ' 1': -1.6289731, ' 2': -0.25380322, ' one': -6.3217044, ' two': -3.7516665}
{' #': -6.525301, ' 1': -1.8325083, ' 2': -0.20900759, ' one': -6.529937, ' two': -3.711945}
{' number': -6.852184, ' #': -6.6576505, ' 1': -3.2401905, ' 2': -0.072732985, ' two': -3.5737016}
{' #': -6.5537314, ' 1': -1.969388, ' 2': -0.18381794, ' one': -6.6124263, ' two': -3.7084455}
