{' number': -5.9342136, ' 1': -1.799021, ' 2': -0.25823066, ' one': -5.402187, ' two': -2.9497304}
{' number': -6.205467, ' 1': -1.1448244, ' 2': -0.46397913, ' one': -5.020253, ' two': -3.1649315}
{' number': -6.087102, ' 1': -1.395197, ' 2': -0.3572045, ' one': -5.3655825, ' two': -3.1374109}
{' number': -6.312288, ' 1': -1.3122143, ' 2': -0.39357984, ' one': -5.0993834, ' two': -3.0748885}
{' number': -6.166694, ' 1': -1.0646389, ' 2': -0.5072734, ' one': -4.960179, ' two': -3.1780534}
{' #': -6.020198, ' 1': -0.88989615, ' 2': -0.62035346, ' one': -4.687775, ' two': -3.282043}
{' number': -6.121131, ' 1': -0.9406267, ' 2': -0.58235216, ' one': -4.79794, ' two': -3.263682}
{' number': -6.1624475, ' 1': -0.8662539, ' 2': -0.6362524, ' one': -4.724972, ' two': -3.296649}
{' #': -6.037388, ' 1': -0.9285826, ' 2': -0.5976384, ' one': -4.6907344, ' two': -3.1965706}
{' number': -6.1272645, ' 1': -0.98093426, ' 2': -0.5599519, ' one': -4.764285, ' two': -3.2002108}
{' #': -5.942194, ' 1': -1.0022722, ' 2': -0.5446956, ' one': -4.8622885, ' two': -3.2171273}
{' #': -6.1281576, ' 1': -0.932241, ' 2': -0.5864501, ' one': -4.839814, ' two': -3.281305}
{' number': -6.0317984, ' 1': -1.1384823, ' 2': -0.4687264, ' one': -5.0270147, ' two': -3.1564245}
{' #': -6.081017, ' 1': -1.4898992, ' 2': -0.3329835, ' one': -5.3009415, ' two': -3.0291522}
{' number': -6.0814824, ' 1': -0.9059363, ' 2': -0.6047145, ' one': -4.8551064, ' two': -3.291831}
{' number': -6.114314, ' 1': -0.9591248, ' 2': -0.5716107, ' one': -4.8453283, ' two': -3.225089}
{' number': -6.1506095, ' 1': -1.1072652, ' 2': -0.4855096, ' one': -4.945929, ' two': -3.1555364}
{' 2': -0.6918517, ' 1': -0.79425913, ' two': -3.3818405, ' one': -4.701976, ' number': -6.1750627}
{' 2': -0.59285045, ' 1': -0.9253776, ' two': -3.2663429, ' one': -4.7843804, ' number': -6.1700635}
{' number': -6.0937586, ' 1': -1.0576662, ' 2': -0.5137495, ' one': -4.8587694, ' two': -3.169166}
{' number': -6.0992317, ' 1': -1.1919934, ' 2': -0.44455674, ' one': -5.037043, ' two': -3.1179783}
{' number': -6.106699, ' 1': -0.99008906, ' 2': -0.5515495, ' one': -4.911861, ' two': -3.206382}
{' number': -6.0393043, ' 1': -1.0772283, ' 2': -0.4996106, ' one': -5.045543, ' two': -3.1834486}
{' #': -6.2174764, ' 1': -1.4417844, ' 2': -0.34315738, ' one': -5.3058667, ' two': -3.10627}
{' number': -6.0620394, ' 1': -1.2980095, ' 2': -0.40201333, ' one': -5.1156535, ' two': -3.053899}
{' number': -6.0276284, ' 1': -1.0974189, ' 2': -0.49485308, ' one': -4.9310865, ' two': -3.1115294}
{' number': -6.063218, ' 1': -1.3204583, ' 2': -0.39475152, ' one': -5.099805, ' two': -3.031005}
{' number': -6.098001, ' 1': -1.1631593, ' 2': -0.46071512, ' one': -4.94558, ' two': -3.104657}
{' 2': -0.36914864, ' 1': -1.3786626, ' two': -3.0830746, ' one': -5.190188, ' #': -5.8979015}
{' number': -6.082995, ' 1': -1.3349712, ' 2': -0.38642746, ' one': -5.1320186, ' two': -3.0650277}
{' number': -6.0246215, ' 1': -1.3916701, ' 2': -0.3678664, ' one': -5.1720834, ' two': -3.0259757}
{' 2': -0.42672008, ' 1': -1.2274613, ' two': -3.1332688, ' one': -5.1504016, ' number': -6.024646}
{' number': -5.961375, ' 1': -1.8834039, ' 2': -0.23968512, ' one': -5.631137, ' two': -2.950859}
{' #': -6.1959844, ' 1': -1.5255146, ' 2': -0.31082344, ' one': -5.570391, ' two': -3.176912}
{' number': -6.003521, ' 1': -1.1673837, ' 2': -0.48802626, ' one': -4.6518044, ' two': -2.8044477}
{' number': -6.0345106, ' 1': -0.84209967, ' 2': -0.6887013, ' one': -4.439973, ' two': -2.990295}
{' number': -6.007365, ' 1': -1.1549253, ' 2': -0.49112612, ' one': -4.731472, ' two': -2.8270998}
{' number': -5.991752, ' 1': -1.002174, ' 2': -0.5737949, ' one': -4.6098514, ' two': -2.9075618}
{' number': -5.9237943, ' 1': -1.3479056, ' 2': -0.40210485, ' one': -4.983151, ' two': -2.8262916}
{' number': -6.13632, ' 1': -1.1286511, ' 2': -0.50664383, ' one': -4.6112885, ' two': -2.8199716}
{' number': -5.977457, ' 1': -1.04205, ' 2': -0.5536886, ' one': -4.608269, ' two': -2.8606362}
{' number': -6.05229, ' 1': -0.9956512, ' 2': -0.582632, ' one': -4.4573765, ' two': -2.888193}
{' #': -5.971353, ' 1': -0.85021794, ' 2': -0.68134505, ' one': -4.393404, ' two': -3.013773}
{' #': -6.0325007, ' 1': -0.6708239, ' 2': -0.8443087, ' one': -4.3226256, ' two': -3.2032256}
{' #': -6.030009, ' 1': -0.78694236, ' 2': -0.7436208, ' one': -4.288773, ' two': -2.983199}
{' #': -5.9949355, ' 1': -0.8664626, ' 2': -0.66538024, ' one': -4.48872, ' two': -3.0136967}
{' #': -5.8393116, ' 1': -0.96069765, ' 2': -0.6050725, ' one': -4.5610814, ' two': -2.8991208}
{' 2': -0.64145744, ' 1': -0.8974409, ' two': -2.996701, ' one': -4.5547457, ' #': -5.89815}
{' number': -5.910979, ' 1': -1.1745625, ' 2': -0.4816933, ' one': -4.8034806, ' two': -2.8217735}
{' #': -6.0065627, ' 1': -1.2360274, ' 2': -0.46061373, ' one': -4.7288585, ' two': -2.7390501}
{' #': -5.90094, ' 1': -0.94710004, ' 2': -0.61519855, ' one': -4.5680065, ' two': -2.8899446}
{' number': -5.9020214, ' 1': -0.8698736, ' 2': -0.6650778, ' one': -4.507418, ' two': -2.994038}
{' #': -5.974359, ' 1': -0.8536183, ' 2': -0.67645246, ' one': -4.459577, ' two': -3.0177722}
{' #': -5.998371, ' 1': -0.7551979, ' 2': -0.7564643, ' one': -4.416363, ' two': -3.1316912}
{' #': -5.961789, ' 1': -0.92416936, ' 2': -0.6286771, ' one': -4.4410644, ' two': -2.942308}
{' 2': -0.5995272, ' 1': -0.95828235, ' two': -2.9681072, ' one': -4.5365005, ' #': -5.9597197}
{' #': -5.8910327, ' 1': -1.0298115, ' 2': -0.5551354, ' one': -4.665423, ' two': -2.9212909}
{' #': -5.9207354, ' 1': -1.1151748, ' 2': -0.5118231, ' one': -4.722236, ' two': -2.8424144}
{' 2': -0.46225256, ' 1': -1.2098778, ' two': -2.8432262, ' one': -4.83346, ' #': -5.841883}
{' #': -6.0124187, ' 1': -1.7001572, ' 2': -0.30702975, ' one': -5.07288, ' two': -2.6537342}
{' #': -5.8411145, ' 1': -1.3948125, ' 2': -0.39252943, ' one': -4.949305, ' two': -2.748168}
{' #': -5.844805, ' 1': -1.1746659, ' 2': -0.4863382, ' one': -4.724379, ' two': -2.7865548}
{' #': -5.8052616, ' 1': -1.2537017, ' 2': -0.4521766, ' one': -4.751743, ' two': -2.7507493}
{' 2': -0.47341752, ' 1': -1.1878741, ' two': -2.8468363, ' one': -4.7419744, ' #': -5.874872}
{' #': -5.9654427, ' 1': -1.5669287, ' 2': -0.34295645, ' one': -4.9543157, ' two': -2.6692257}
{' #': -5.909681, ' 1': -1.3146976, ' 2': -0.41648135, ' one': -4.9037156, ' two': -2.8238623}
{' 2': -0.37276307, ' 1': -1.4380802, ' two': -2.7876227, ' one': -5.0382023, ' #': -5.849366}
{' #': -5.877609, ' 1': -1.6188481, ' 2': -0.3211643, ' one': -5.1703615, ' two': -2.7268133}
{' number': -5.794043, ' 1': -1.7003756, ' 2': -0.306426, ' one': -5.2117543, ' two': -2.6663904}
{' #': -5.996239, ' 1': -1.6266754, ' 2': -0.3130825, ' one': -5.2717795, ' two': -2.7785041}
{' number': -5.2268224, ' 1': -1.5162963, ' 2': -0.31566033, ' one': -5.0300126, ' two': -3.374473}
{' number': -5.208409, ' 1': -1.4251828, ' 2': -0.34247255, ' one': -5.0490193, ' two': -3.4162564}
{' number': -5.151633, ' 1': -1.5186802, ' 2': -0.31416088, ' one': -5.093844, ' two': -3.388734}
{' 2': -0.3301768, ' 1': -1.4644674, ' two': -3.3918831, ' one': -5.089707, ' number': -5.234703}
{' number': -5.2515974, ' 1': -1.5315336, ' 2': -0.31147504, ' one': -5.202099, ' two': -3.3367949}
{' number': -5.325767, ' 1': -1.3716525, ' 2': -0.3597946, ' one': -4.9457555, ' two': -3.4484203}
{' number': -5.157714, ' 1': -1.2308445, ' 2': -0.42243573, ' one': -4.758909, ' two': -3.3971815}
{' number': -5.2102523, ' 1': -1.372338, ' 2': -0.35980874, ' one': -5.006273, ' two': -3.4595447}
{' number': -5.1293626, ' 1': -1.2174394, ' 2': -0.43549123, ' one': -4.620762, ' two': -3.341453}
{' number': -5.3670735, ' 1': -0.95455396, ' 2': -0.5688899, ' one': -4.6089535, ' two': -3.537657}
{' number': -5.271483, ' 1': -1.2315031, ' 2': -0.42003876, ' one': -4.7534413, ' two': -3.4307225}
{' number': -5.2472076, ' 1': -1.2606876, ' 2': -0.4070558, ' one': -4.798533, ' two': -3.433416}
{' number': -5.0158052, ' 1': -1.3001938, ' 2': -0.40078157, ' one': -4.754612, ' two': -3.3086324}
{' number': -5.033891, ' 1': -1.454002, ' 2': -0.34308589, ' one': -4.927214, ' two': -3.2986722}
{' number': -4.972139, ' 1': -1.3834493, ' 2': -0.36695084, ' one': -4.8750834, ' two': -3.3269258}
{' 2': -0.29106495, ' 1': -1.6046215, ' two': -3.3606207, ' one': -5.149196, ' number': -5.1809354}
{' 2': -0.35812137, ' 1': -1.4130454, ' two': -3.2736182, ' one': -4.9096494, ' number': -5.019866}
{' number': -5.060713, ' 1': -1.3032494, ' 2': -0.39698422, ' one': -4.789434, ' two': -3.3332257}
{' number': -5.1541176, ' 1': -1.3160058, ' 2': -0.39405078, ' one': -4.7035775, ' two': -3.2922084}
{' number': -5.1935287, ' 1': -1.0971866, ' 2': -0.48603407, ' one': -4.6489997, ' two': -3.4834285}
{' 2': -0.42668995, ' 1': -1.2304981, ' two': -3.3523433, ' one': -4.71708, ' number': -5.144039}
{' number': -5.086331, ' 1': -1.35875, ' 2': -0.37783885, ' one': -4.791158, ' two': -3.2865212}
{' number': -5.1185436, ' 1': -1.3687239, ' 2': -0.3702192, ' one': -4.8825784, ' two': -3.3114195}
{' number': -5.1038046, ' 1': -1.4730313, ' 2': -0.33779654, ' one': -4.9622865, ' two': -3.2473328}
{' 2': -0.24150679, ' 1': -1.8514674, ' two': -3.1782134, ' number': -5.234812, ' one': -5.279819}
{' 2': -0.24793829, ' 1': -1.8178216, ' two': -3.2077901, ' number': -5.162938, ' one': -5.2341003}
{' 2': -0.2600172, ' 1': -1.7731493, ' two': -3.1805434, ' number': -5.058863, ' one': -5.1658154}
{' number': -5.0728984, ' 1': -1.528099, ' 2': -0.32383904, ' one': -4.9603124, ' two': -3.2030694}
{' number': -5.107764, ' 1': -1.6238189, ' 2': -0.29851496, ' one': -4.9551854, ' two': -3.164289}
{' number': -5.1823545, ' 1': -1.507755, ' 2': -0.32679537, ' one': -4.893864, ' two': -3.2438695}
{' number': -5.08286, ' 1': -1.9025365, ' 2': -0.23487888, ' one': -5.204487, ' two': -3.1488059}
{' number': -5.126456, ' 1': -1.8053311, ' 2': -0.25693023, ' one': -5.1828094, ' two': -3.1050174}
{' 2': -0.25977162, ' 1': -1.7904285, ' two': -3.1336882, ' number': -5.0179777, ' one': -5.113842}
{' number': -5.0700603, ' #': -5.354339, ' 1': -2.065516, ' 2': -0.2074819, ' two': -3.1141033}
{' number': -4.938992, ' #': -5.3842287, ' 1': -2.1194768, ' 2': -0.19979893, ' two': -3.1268826}
{' 2': -0.26714334, ' 1': -1.687023, ' two': -3.3651524, ' number': -5.3096294, ' one': -5.325809}
{' number': -5.933136, ' 1': -1.8449554, ' 2': -0.24010849, ' one': -5.5977287, ' two': -3.0703316}
{' 2': -0.31910983, ' 1': -1.4805821, ' two': -3.3152301, ' one': -5.465254, ' number': -6.0047812}
{' number': -5.9205294, ' 1': -1.8032745, ' 2': -0.24658415, ' one': -5.6399455, ' two': -3.1040006}
{' #': -6.0116425, ' 1': -1.1213089, ' 2': -0.45860633, ' one': -5.179808, ' two': -3.4669645}
{' number': -5.8638024, ' 1': -2.2742643, ' 2': -0.1729802, ' one': -5.9906893, ' two': -3.0374095}
{' number': -5.9995418, ' 1': -1.7045815, ' 2': -0.27026477, ' one': -5.4592123, ' two': -3.0895967}
{' number': -5.913729, ' 1': -1.7914757, ' 2': -0.24871102, ' one': -5.615106, ' two': -3.11414}
{' number': -5.900811, ' 1': -1.6670055, ' 2': -0.27777296, ' one': -5.466223, ' two': -3.125412}
{' #': -5.9322, ' 1': -1.2315928, ' 2': -0.4112764, ' one': -5.2129197, ' two': -3.3690116}
{' number': -5.9006653, ' 1': -1.7007864, ' 2': -0.27135637, ' one': -5.4670634, ' two': -3.092548}
{' #': -5.9318533, ' 1': -1.0676025, ' 2': -0.49427652, ' one': -4.9630523, ' two': -3.3875716}
{' number': -5.9117556, ' 1': -1.8793797, ' 2': -0.23701534, ' one': -5.551167, ' two': -3.0183413}
{' number': -5.811459, ' 1': -1.892466, ' 2': -0.23511177, ' one': -5.583464, ' two': -3.0182214}
{' number': -5.821371, ' 1': -1.7809777, ' 2': -0.25341645, ' one': -5.5216894, ' two': -3.0912516}
{' number': -5.818859, ' 1': -2.086118, ' 2': -0.20221645, ' one': -5.737767, ' two': -2.999198}
{' #': -5.9361205, ' 1': -1.2749283, ' 2': -0.3981278, ' one': -5.1930017, ' two': -3.268766}
{' number': -5.775644, ' 1': -1.9062774, ' 2': -0.23013395, ' one': -5.6491275, ' two': -3.0525231}
{' number': -5.787129, ' 1': -1.8718784, ' 2': -0.23826101, ' one': -5.5859528, ' two': -3.0291905}
{' number': -5.8724084, ' 1': -1.5514086, ' 2': -0.3084944, ' one': -5.355476, ' two': -3.1457708}
{' #': -5.9670873, ' 1': -1.0410781, ' 2': -0.50322104, ' one': -5.057096, ' two': -3.4864683}
{' number': -5.8653, ' 1': -1.5971203, ' 2': -0.30348405, ' one': -5.3588257, ' two': -3.0237904}
{' 2': -0.24406554, ' 1': -1.8482066, ' two': -3.0141194, ' one': -5.5269666, ' number': -5.839946}
{' number': -5.8293386, ' 1': -2.1168146, ' 2': -0.19831742, ' one': -5.7841415, ' two': -2.9857204}
{' number': -5.874947, ' 1': -1.9761798, ' 2': -0.21853529, ' one': -5.6757846, ' two': -3.024796}
{' 2': -0.21496749, ' 1': -1.9822118, ' two': -3.067745, ' one': -5.754518, ' number': -5.823228}
{' #': -5.915136, ' 1': -2.0960188, ' 2': -0.20278654, ' one': -5.7796564, ' two': -2.9578106}
{' 2': -0.21144459, ' 1': -2.0499055, ' two': -2.9479938, ' one': -5.7592034, ' number': -5.81125}
{' number': -5.8195176, ' 1': -2.114087, ' 2': -0.20143981, ' one': -5.737557, ' two': -2.9475753}
{' number': -5.855614, ' 1': -2.2518134, ' 2': -0.18316233, ' one': -5.815722, ' two': -2.9313674}
{' 2': -0.21416652, ' 1': -2.0250013, ' two': -2.9664092, ' one': -5.6445656, ' #': -5.8970895}
{' number': -5.846637, ' #': -5.8252773, ' 1': -2.4971657, ' 2': -0.15732004, ' two': -2.9053686}
{' #': -5.8349323, ' 1': -2.0647054, ' 2': -0.20678191, ' one': -5.698262, ' two': -2.986117}
{' number': -5.8303566, ' #': -5.882251, ' 1': -2.2838054, ' 2': -0.17633201, ' two': -2.9737828}
{' #': -5.8201976, ' 1': -1.7210126, ' 2': -0.26007894, ' one': -5.67586, ' two': -3.199595}
{' 2': -0.15356563, ' 1': -2.493066, ' two': -2.9780228, ' number': -5.7372227, ' #': -5.7600765}
{' 2': -0.15629281, ' 1': -2.387946, ' two': -3.0944052, ' #': -5.9054327, ' number': -5.9901743}
{' #': -5.693128, ' 1': -1.2422388, ' 2': -0.4114873, ' one': -5.2151484, ' two': -3.295482}
{' #': -5.6360645, ' 1': -1.4490707, ' 2': -0.33408043, ' one': -5.453175, ' two': -3.254668}
{' #': -5.6178684, ' 1': -1.2846571, ' 2': -0.39244145, ' one': -5.3365226, ' two': -3.3097005}
{' #': -5.5814586, ' 1': -1.2212571, ' 2': -0.41802293, ' one': -5.290452, ' two': -3.3475559}
{' number': -5.908053, ' #': -5.609496, ' 1': -1.9721607, ' 2': -0.20905152, ' two': -3.2144454}
{' #': -5.7075953, ' 1': -1.0865234, ' 2': -0.48010474, ' one': -5.130167, ' two': -3.4348013}
{' #': -5.6069937, ' 1': -1.4605842, ' 2': -0.32754475, ' one': -5.510073, ' two': -3.3034396}
{' #': -5.592953, ' 1': -0.8874005, ' 2': -0.60759425, ' one': -4.895003, ' two': -3.5198808}
{' #': -5.5306916, ' 1': -1.3827473, ' 2': -0.35663947, ' one': -5.336416, ' two': -3.2827032}
{' 2': -0.49530602, ' 1': -1.063223, ' two': -3.4244914, ' one': -5.1080565, ' #': -5.5671105}
{' #': -5.580554, ' 1': -0.98719645, ' 2': -0.54345757, ' one': -4.9337964, ' two': -3.412636}
{' #': -5.5896316, ' 1': -1.3343312, ' 2': -0.37422714, ' one': -5.2702546, ' two': -3.2896168}
{' 2': -0.30877602, ' 1': -1.545478, ' two': -3.1940696, ' one': -5.4520917, ' #': -5.485339}
{' #': -5.5482335, ' 1': -1.2687093, ' 2': -0.3984337, ' one': -5.231762, ' two': -3.344635}
{' #': -5.5443892, ' 1': -1.4890401, ' 2': -0.3210141, ' one': -5.44974, ' two': -3.2745795}
{' #': -5.534131, ' 1': -1.3724874, ' 2': -0.363168, ' one': -5.3473005, ' two': -3.2278874}
{' #': -5.543724, ' 1': -1.218574, ' 2': -0.41799107, ' one': -5.2579923, ' two': -3.3853946}
{' #': -5.5659513, ' 1': -1.0155333, ' 2': -0.52482605, ' one': -5.013915, ' two': -3.421957}
{' #': -5.576294, ' 1': -1.1387328, ' 2': -0.4602088, ' one': -5.088709, ' two': -3.3319702}
{' #': -5.589868, ' 1': -1.1479408, ' 2': -0.45354563, ' one': -5.1020083, ' two': -3.362538}
{' #': -5.5477734, ' 1': -0.9784119, ' 2': -0.5490315, ' one': -4.944771, ' two': -3.4205372}
{' #': -5.558265, ' 1': -2.1269732, ' 2': -0.20292561, ' one': -5.71808, ' two': -2.9153621}
{' #': -5.6147165, ' 1': -1.1782334, ' 2': -0.4393494, ' one': -5.1746874, ' two': -3.341443}
{' 2': -0.3659561, ' 1': -1.3541343, ' two': -3.3040094, ' one': -5.3286643, ' #': -5.548528}
{' 2': -0.3118354, ' 1': -1.5033027, ' two': -3.346572, ' one': -5.5813317, ' #': -5.598331}
{' 2': -0.29627386, ' 1': -1.5732476, ' two': -3.2529957, ' one': -5.528855, ' #': -5.5860906}
{' 2': -0.25772965, ' 1': -1.7454691, ' two': -3.1671572, ' #': -5.5065136, ' one': -5.655281}
{' #': -5.5324836, ' 1': -1.441694, ' 2': -0.3379914, ' one': -5.3832955, ' two': -3.2499976}
{' #': -5.53311, ' 1': -1.6083771, ' 2': -0.28959993, ' one': -5.5070143, ' two': -3.209411}
{' #': -5.462961, ' 1': -1.7459463, ' 2': -0.25751626, ' one': -5.603889, ' two': -3.1756756}
{' 2': -0.22823131, ' 1': -1.9016035, ' two': -3.1237657, ' #': -5.4412174, ' one': -5.6917386}
{' 2': -0.23755048, ' 1': -1.8435209, ' two': -3.1554255, ' #': -5.469019, ' one': -5.681476}
{' #': -5.4160047, ' 1': -2.019324, ' 2': -0.20924637, ' one': -5.8087115, ' two': -3.089539}
{' #': -5.561049, ' 1': -2.0219078, ' 2': -0.20270534, ' one': -5.876638, ' two': -3.1786366}
{' number': -5.889933, ' #': -5.510639, ' 1': -2.1873193, ' 2': -0.17725033, ' two': -3.1995678}
{' #': -5.535644, ' 1': -1.5240822, ' 2': -0.30574036, ' one': -5.6449814, ' two': -3.3336732}
{' #': -5.5206046, ' 1': -2.0432096, ' 2': -0.22203511, ' one': -5.5404325, ' two': -2.8427663}
{' 2': -0.23105888, ' 1': -1.9639097, ' two': -2.901574, ' one': -5.5173087, ' #': -5.555575}
{' #': -5.439568, ' 1': -1.8392107, ' 2': -0.2558387, ' one': -5.4757657, ' two': -2.9029868}
{' #': -5.5417385, ' 1': -2.0174127, ' 2': -0.22029914, ' one': -5.608583, ' two': -2.9184937}
{' number': -5.7859216, ' #': -5.535967, ' 1': -2.4853814, ' 2': -0.16018216, ' two': -2.8981276}
{' #': -5.462772, ' 1': -1.5647036, ' 2': -0.32300246, ' one': -5.1510425, ' two': -2.9262052}
{' #': -5.375153, ' 1': -1.752891, ' 2': -0.27499717, ' one': -5.398441, ' two': -2.9099762}
{' #': -5.3844824, ' 1': -1.6409066, ' 2': -0.30200315, ' one': -5.2545395, ' two': -2.927001}
{' #': -5.373511, ' 1': -1.6658294, ' 2': -0.29550248, ' one': -5.269447, ' two': -2.9275632}
{' #': -5.4125886, ' 1': -1.7402225, ' 2': -0.27714315, ' one': -5.3568697, ' two': -2.918983}
{' #': -5.3564506, ' 1': -1.6507592, ' 2': -0.30564934, ' one': -5.173269, ' two': -2.8537393}
{' #': -5.396028, ' 1': -1.6302086, ' 2': -0.30473492, ' one': -5.2057323, ' two': -2.9291778}
{' #': -5.3004947, ' 1': -1.9129996, ' 2': -0.246162, ' one': -5.4512277, ' two': -2.8525348}
{' #': -5.320782, ' 1': -1.9210504, ' 2': -0.24238542, ' one': -5.462892, ' two': -2.8809788}
{' 2': -0.20945124, ' 1': -2.1350856, ' two': -2.831176, ' #': -5.375154, ' one': -5.659032}
{' 2': -0.2106565, ' 1': -2.111051, ' two': -2.8607342, ' #': -5.394216, ' one': -5.6120796}
{' 2': -0.26298213, ' 1': -1.809506, ' two': -2.9106126, ' #': -5.2997327, ' one': -5.457771}
{' #': -5.3251185, ' 1': -1.7774423, ' 2': -0.27282467, ' one': -5.363557, ' two': -2.8744786}
{' #': -5.3683453, ' 1': -1.7643833, ' 2': -0.27147686, ' one': -5.366125, ' two': -2.9250374}
{' 2': -0.30540362, ' 1': -1.603753, ' two': -3.0102737, ' one': -5.3046446, ' #': -5.4076414}
{' 2': -0.35342836, ' 1': -1.4613022, ' two': -2.9683154, ' one': -5.1023755, ' #': -5.3450947}
{' #': -5.344722, ' 1': -1.7481931, ' 2': -0.27560928, ' one': -5.342111, ' two': -2.922532}
{' #': -5.30096, ' 1': -1.858436, ' 2': -0.2554086, ' one': -5.44114, ' two': -2.874221}
{' 2': -0.21486427, ' 1': -2.1056514, ' two': -2.8157704, ' #': -5.3696404, ' one': -5.62683}
{' 2': -0.22440854, ' 1': -2.05034, ' two': -2.8276913, ' #': -5.2501206, ' one': -5.5659704}
{' #': -5.3870993, ' 1': -2.32148, ' 2': -0.18623757, ' one': -5.780418, ' two': -2.7989657}
{' 2': -0.19531953, ' 1': -2.2407372, ' two': -2.8221006, ' #': -5.3138247, ' number': -5.7308655}
{' 2': -0.24717613, ' 1': -1.9623898, ' two': -2.7449386, ' #': -5.190756, ' one': -5.3919115}
{' #': -5.241387, ' 1': -2.256976, ' 2': -0.20337388, ' one': -5.6285653, ' two': -2.7091243}
{' #': -5.236805, ' 1': -2.0927815, ' 2': -0.22311617, ' one': -5.505603, ' two': -2.7558274}
{' #': -5.269349, ' 1': -2.217268, ' 2': -0.20478265, ' one': -5.6490746, ' two': -2.7507555}
{' 2': -0.19327284, ' 1': -2.281171, ' two': -2.7789586, ' #': -5.2980156, ' one': -5.757597}
{' number': -5.715754, ' #': -5.2828674, ' 1': -2.3269405, ' 2': -0.18589586, ' two': -2.806423}
{' number': -5.672961, ' #': -5.2339272, ' 1': -2.3298428, ' 2': -0.18792082, ' two': -2.7834942}
{' 2': -0.1624239, ' 1': -2.5780466, ' two': -2.7772517, ' #': -5.2200418, ' number': -5.5934515}
{' number': -5.88425, ' #': -5.363798, ' 1': -2.5516312, ' 2': -0.15211226, ' two': -2.9319372}
{' #': -5.9196186, ' 1': -2.1304338, ' 2': -0.20064895, ' one': -5.758105, ' two': -2.9081683}
{' #': -5.949949, ' 1': -2.2228692, ' 2': -0.18529071, ' one': -5.8773174, ' two': -2.9401026}
{' number': -5.960569, ' #': -5.8500037, ' 1': -2.2572403, ' 2': -0.18148991, ' two': -2.9361858}
{' #': -5.885507, ' 1': -2.1293416, ' 2': -0.1955629, ' one': -5.8387856, ' two': -2.9867957}
{' 2': -0.14077182, ' 1': -2.6486397, ' two': -2.9334087, ' #': -5.92817, ' number': -5.9411635}
{' #': -5.905657, ' 1': -1.8432493, ' 2': -0.24885657, ' one': -5.49654, ' two': -2.9454412}
{' #': -5.8043985, ' 1': -2.0556276, ' 2': -0.21001604, ' one': -5.7965546, ' two': -2.9501662}
{' #': -5.7721405, ' 1': -1.7132841, ' 2': -0.27287552, ' one': -5.4616933, ' two': -3.0303483}
{' #': -5.7670555, ' 1': -2.0687962, ' 2': -0.20874788, ' one': -5.7406936, ' two': -2.9415586}
{' #': -5.774991, ' 1': -1.789192, ' 2': -0.2562578, ' one': -5.5426784, ' two': -3.0151975}
{' #': -5.813431, ' 1': -1.7946968, ' 2': -0.2610322, ' one': -5.423813, ' two': -2.9301376}
{' 2': -0.22180122, ' 1': -1.9741055, ' two': -2.982301, ' one': -5.6665993, ' #': -5.772185}
{' 2': -0.20429537, ' 1': -2.106027, ' two': -2.9272356, ' #': -5.6941323, ' one': -5.758531}
{' #': -5.7521005, ' 1': -2.0882268, ' 2': -0.20346323, ' one': -5.773173, ' two': -2.97675}
{' number': -5.872403, ' #': -5.743735, ' 1': -2.378872, ' 2': -0.16697311, ' two': -2.9472537}
{' #': -5.85703, ' 1': -2.2743864, ' 2': -0.18395898, ' one': -5.8286166, ' two': -2.8690155}
{' #': -5.709529, ' 1': -2.049933, ' 2': -0.20827928, ' one': -5.8218555, ' two': -2.9959683}
{' 2': -0.20479523, ' 1': -2.0863068, ' two': -2.9621727, ' #': -5.732855, ' one': -5.798613}
{' #': -5.7284937, ' 1': -1.9268935, ' 2': -0.22904438, ' one': -5.65996, ' two': -3.0052724}
{' #': -5.735449, ' 1': -1.8439919, ' 2': -0.24357387, ' one': -5.5986247, ' two': -3.032926}
{' #': -5.787809, ' 1': -1.9718864, ' 2': -0.22323106, ' one': -5.658602, ' two': -2.965121}
{' #': -5.722455, ' 1': -2.004427, ' 2': -0.21693042, ' one': -5.7071896, ' two': -2.9802701}
{' number': -5.907115, ' #': -5.768855, ' 1': -2.2985916, ' 2': -0.176674, ' two': -2.938255}
{' #': -5.7707415, ' 1': -2.2828865, ' 2': -0.17842281, ' one': -5.966192, ' two': -2.936769}
{' 2': -0.15951806, ' 1': -2.4414015, ' two': -2.9553096, ' #': -5.72201, ' number': -5.915676}
{' #': -5.8508472, ' 1': -2.421591, ' 2': -0.16640331, ' one': -6.0074053, ' two': -2.8718457}
{' 2': -0.15707926, ' 1': -2.4864442, ' two': -2.9204628, ' #': -5.727817, ' number': -5.917673}
{' number': -5.88111, ' #': -5.6974154, ' 1': -2.3180957, ' 2': -0.17882308, ' two': -2.8773036}
{' number': -5.9432, ' #': -5.7112103, ' 1': -2.5120797, ' 2': -0.15635155, ' two': -2.895056}
{' 2': -0.17540972, ' 1': -2.3228974, ' two': -2.9121745, ' #': -5.7413535, ' one': -5.9686975}
{' number': -5.948835, ' #': -5.734491, ' 1': -2.5103488, ' 2': -0.15652427, ' two': -2.8936}
{' number': -6.0288, ' #': -5.7594137, ' 1': -2.515215, ' 2': -0.15325177, ' two': -2.9307272}
{' number': -5.9047933, ' #': -5.6770525, ' 1': -2.5859606, ' 2': -0.14966977, ' two': -2.895235}
