{' number': -6.164637, ' 1': -1.2105025, ' 2': -0.41595247, ' one': -5.496359, ' two': -3.3839087}
{' number': -6.7720127, ' 1': -2.379713, ' 2': -0.13822569, ' one': -6.809533, ' two': -3.407698}
{' number': -7.01811, ' #': -7.028896, ' 1': -3.0088267, ' 2': -0.089475214, ' two': -3.389274}
{' number': -6.7408905, ' #': -6.8271832, ' 1': -2.676937, ' 2': -0.11076755, ' two': -3.4163096}
{' number': -6.8350563, ' #': -6.956006, ' 1': -2.8056006, ' 2': -0.107089624, ' two': -3.266094}
{' number': -6.819195, ' #': -6.9174623, ' 1': -2.5554802, ' 2': -0.12300041, ' two': -3.3557312}
{' number': -6.744115, ' 1': -2.490042, ' 2': -0.13325149, ' one': -6.822241, ' two': -3.2585032}
{' 2': -0.06306526, ' two': -3.2694805, ' 1': -3.877816, ' number': -6.8426814, ' #': -7.0123253}
{' number': -6.862416, ' #': -7.0785074, ' 1': -4.49829, ' 2': -0.052760527, ' two': -3.2680867}
{' number': -6.886289, ' #': -7.184393, ' 1': -3.7884462, ' 2': -0.06345348, ' two': -3.3061042}
{' number': -6.858264, ' #': -7.122811, ' 1': -3.6013486, ' 2': -0.06886463, ' two': -3.2991617}
{' 2': -0.084353454, ' 1': -3.091391, ' two': -3.418822, ' number': -6.768134, ' #': -7.048354}
{' number': -7.0933714, ' #': -7.228863, ' 1': -4.834834, ' 2': -0.04260376, ' two': -3.4423897}
{' number': -6.785381, ' #': -7.147243, ' 1': -4.6826143, ' 2': -0.043883584, ' two': -3.4570663}
{' number': -6.8433747, ' #': -7.0963244, ' 1': -4.0599546, ' 2': -0.06446939, ' two': -3.148858}
{' 2': -0.09976933, ' 1': -2.9405208, ' two': -3.235334, ' number': -6.8541965, ' #': -7.023373}
{' 2': -0.09809847, ' 1': -3.0019338, ' two': -3.1981328, ' number': -6.7710037, ' #': -6.9742985}
{' number': -6.821694, ' 1': -2.565926, ' 2': -0.12690029, ' one': -6.828272, ' two': -3.2428746}
{' 2': -0.04911346, ' two': -3.2734444, ' 1': -4.826537, ' number': -6.941679, ' #': -7.1050744}
{' 2': -0.084870644, ' two': -3.2235403, ' 1': -3.2501633, ' number': -6.7437263, ' #': -6.9209375}
{' number': -6.8238215, ' #': -7.043423, ' 1': -4.4589896, ' 2': -0.058095135, ' two': -3.1561444}
{' number': -6.749894, ' #': -6.9327846, ' 1': -3.1713588, ' 2': -0.08545387, ' two': -3.2942183}
{' number': -6.9304867, ' #': -7.0074697, ' 1': -3.102085, ' 2': -0.0869292, ' two': -3.3321586}
{' number': -6.5898123, ' 1': -2.1159644, ' 2': -0.17302462, ' one': -6.5645094, ' two': -3.3737996}
{' number': -6.79494, ' #': -6.9567637, ' 1': -3.1025164, ' 2': -0.09099606, ' two': -3.2381136}
{' number': -6.7528267, ' 1': -1.4762137, ' 2': -0.30828878, ' one': -6.0348477, ' two': -3.4396763}
{' number': -6.693269, ' 1': -0.59744465, ' 2': -0.8679392, ' one': -5.1060257, ' two': -3.842829}
{' number': -6.99789, ' 1': -2.701722, ' 2': -0.11769187, ' one': -6.9301724, ' two': -3.1923358}
{' #': -6.2399707, ' 1': -1.1018726, ' 2': -0.49694347, ' one': -5.129987, ' two': -2.9991846}
{' #': -6.2817388, ' 1': -0.6330215, ' 2': -0.8614856, ' one': -4.661874, ' two': -3.397416}
{' #': -6.2831516, ' 1': -0.5684991, ' 2': -0.95579207, ' one': -4.5034146, ' two': -3.3694708}
{' #': -6.281188, ' 1': -0.7192936, ' 2': -0.77019507, ' one': -4.775139, ' two': -3.270456}
{' #': -6.3405123, ' 1': -0.72886705, ' 2': -0.7632165, ' one': -4.8024926, ' two': -3.2280545}
{' #': -6.3260098, ' 1': -2.023228, ' 2': -0.2234711, ' one': -5.887741, ' two': -2.7825377}
{' 2': -0.14510204, ' 1': -2.671681, ' two': -2.7900202, ' #': -6.4854345, ' one': -6.530761}
{' #': -6.230321, ' 1': -1.069637, ' 2': -0.5139309, ' one': -5.0822253, ' two': -3.0195727}
{' #': -6.4963636, ' 1': -2.7722821, ' 2': -0.14663747, ' one': -6.5800323, ' two': -2.6663327}
{' #': -6.3749175, ' 1': -2.0069723, ' 2': -0.22399624, ' one': -5.887619, ' two': -2.8126247}
{' #': -6.5326777, ' 1': -2.7516685, ' 2': -0.13856089, ' one': -6.629278, ' two': -2.789949}
{' #': -6.391695, ' 1': -2.5759153, ' 2': -0.15492724, ' one': -6.405272, ' two': -2.7753096}
{' #': -6.440579, ' 1': -2.452573, ' 2': -0.17396863, ' one': -6.2901297, ' two': -2.6812527}
{' #': -6.445052, ' 1': -2.2589164, ' 2': -0.19265716, ' one': -6.029442, ' two': -2.7303672}
{' #': -6.353218, ' 1': -2.1493056, ' 2': -0.2157388, ' one': -5.9163847, ' two': -2.6427271}
{' number': -6.5162563, ' #': -6.522753, ' 1': -3.6001663, ' 2': -0.102363564, ' two': -2.7131824}
{' number': -6.566294, ' #': -6.624616, ' 1': -4.124002, ' 2': -0.09069991, ' two': -2.6989553}
{' number': -6.5534043, ' #': -6.691808, ' 1': -3.4416082, ' 2': -0.107412376, ' two': -2.7123852}
{' number': -6.490611, ' #': -6.6408086, ' 1': -3.3951263, ' 2': -0.11291701, ' two': -2.6660576}
{' number': -6.4225087, ' #': -6.4673448, ' 1': -2.9483418, ' 2': -0.12569086, ' two': -2.7925227}
{' number': -6.7802315, ' #': -6.7878795, ' 1': -4.3363686, ' 2': -0.07604224, ' two': -2.856247}
{' 2': -0.07975404, ' two': -2.8388824, ' 1': -4.19845, ' number': -6.4897823, ' #': -6.734619}
{' number': -6.544047, ' #': -6.640831, ' 1': -3.7966769, ' 2': -0.10713236, ' two': -2.5804675}
{' number': -6.554991, ' #': -6.58633, ' 1': -2.8035464, ' 2': -0.14369532, ' two': -2.6734803}
{' number': -6.435958, ' 1': -2.5195985, ' 2': -0.16824213, ' one': -6.333746, ' two': -2.6690319}
{' #': -6.5001674, ' 1': -2.587967, ' 2': -0.15923874, ' one': -6.3456016, ' two': -2.7011316}
{' number': -6.626273, ' #': -6.6528325, ' 1': -4.218459, ' 2': -0.089400716, ' two': -2.6927998}
{' number': -6.3955593, ' #': -6.4133105, ' 1': -2.981195, ' 2': -0.13363424, ' two': -2.661325}
{' number': -6.49622, ' #': -6.573751, ' 1': -4.526161, ' 2': -0.09240336, ' two': -2.6021402}
{' number': -6.451319, ' #': -6.499409, ' 1': -3.122215, ' 2': -0.12217699, ' two': -2.7071893}
{' number': -6.5953364, ' #': -6.5521483, ' 1': -3.2482991, ' 2': -0.113117814, ' two': -2.7434545}
{' number': -6.3186884, ' 1': -2.0387788, ' 2': -0.22068845, ' one': -5.917081, ' two': -2.7901406}
{' 2': -0.13499951, ' two': -2.6701863, ' 1': -2.9438636, ' number': -6.458183, ' #': -6.5087724}
{' #': -6.432708, ' 1': -1.3459355, ' 2': -0.38895184, ' one': -5.3610682, ' two': -2.9200416}
{' 1': -0.51767755, ' 2': -1.0370314, ' two': -3.3918364, ' one': -4.3925114, ' #': -6.357772}
{' 2': -0.17387734, ' 1': -2.4975219, ' two': -2.623836, ' one': -6.1755075, ' #': -6.6135983}
{' number': -5.4937024, ' #': -5.8130035, ' 1': -1.7721543, ' 2': -0.23614946, ' two': -3.5169399}
{' 2': -0.3412362, ' 1': -1.3794004, ' two': -3.6771314, ' number': -5.367556, ' one': -5.54834}
{' number': -5.5098, ' 1': -0.52680135, ' 2': -0.9804509, ' one': -4.572737, ' two': -4.121945}
{' number': -5.423521, ' 1': -1.2978299, ' 2': -0.37413904, ' one': -5.4527674, ' two': -3.6162996}
{' number': -5.3965716, ' 1': -1.3842196, ' 2': -0.34208822, ' one': -5.5721955, ' two': -3.59785}
{' number': -5.587385, ' #': -5.939398, ' 1': -2.9172864, ' 2': -0.099840716, ' two': -3.4130044}
{' number': -5.5007453, ' #': -6.0038424, ' 1': -3.7004645, ' 2': -0.0665364, ' two': -3.4408076}
{' number': -5.3947625, ' #': -5.8216057, ' 1': -1.8010068, ' 2': -0.23141138, ' two': -3.4951305}
{' 2': -0.07744719, ' two': -3.363183, ' 1': -3.434411, ' number': -5.521674, ' #': -6.0157766}
{' number': -5.3838825, ' #': -5.975017, ' 1': -2.8463306, ' 2': -0.10381146, ' two': -3.4530258}
{' 2': -0.06391181, ' two': -3.503647, ' 1': -3.681454, ' number': -5.6616106, ' #': -6.1356664}
{' number': -5.5001297, ' #': -5.963184, ' 1': -3.2057018, ' 2': -0.08232717, ' two': -3.4897997}
{' number': -5.4638853, ' #': -5.839897, ' 1': -2.4043512, ' 2': -0.14047326, ' two': -3.4629602}
{' number': -5.5049043, ' #': -6.0314274, ' 1': -3.3552852, ' 2': -0.07781971, ' two': -3.4343526}
{' number': -5.3595576, ' #': -5.967338, ' 1': -3.2185762, ' 2': -0.09020985, ' two': -3.283178}
{' number': -5.517802, ' #': -6.0134544, ' 1': -4.7694297, ' 2': -0.04862619, ' two': -3.4481127}
{' number': -5.4363723, ' #': -6.0248146, ' 1': -4.6334357, ' 2': -0.05505641, ' two': -3.315358}
{' number': -5.5438447, ' #': -6.138956, ' 1': -4.632002, ' 2': -0.05182454, ' two': -3.3821368}
{' number': -5.4465804, ' #': -5.921325, ' 1': -3.221912, ' 2': -0.08668886, ' two': -3.3580966}
{' number': -5.47556, ' #': -5.870938, ' 1': -2.883935, ' 2': -0.10151788, ' two': -3.4435167}
{' 2': -0.04333107, ' two': -3.4817522, ' 1': -5.199258, ' number': -5.653789, ' #': -6.1943035}
{' number': -5.429805, ' #': -6.0217776, ' 1': -4.7667723, ' 2': -0.048803672, ' two': -3.453154}
{' number': -5.4990897, ' #': -6.013678, ' 1': -4.424008, ' 2': -0.05712292, ' two': -3.317783}
{' number': -5.54741, ' #': -5.9400473, ' 1': -3.0638049, ' 2': -0.094795294, ' two': -3.3316767}
{' number': -5.455875, ' #': -5.8946915, ' 1': -2.880335, ' 2': -0.10639984, ' two': -3.3214226}
{' number': -5.591339, ' #': -6.1220336, ' 1': -3.7543411, ' 2': -0.06723244, ' two': -3.3626826}
{' number': -5.5590587, ' #': -6.1493397, ' 1': -5.5686502, ' 2': -0.043937203, ' two': -3.4219165}
{' number': -5.420472, ' #': -5.8496475, ' 1': -3.3507416, ' 2': -0.08378156, ' two': -3.3040705}
{' number': -5.580511, ' #': -5.994455, ' 1': -4.359724, ' 2': -0.05734887, ' two': -3.3258064}
{' number': -5.3837814, ' #': -5.908755, ' 1': -3.494827, ' 2': -0.07523544, ' two': -3.3932245}
{' number': -5.63435, ' #': -6.198765, ' 1': -4.776195, ' 2': -0.04610759, ' two': -3.4942353}
{' number': -5.339686, ' #': -5.7960906, ' 1': -2.0231755, ' 2': -0.19031669, ' two': -3.5009437}
{' number': -5.5163326, ' #': -6.132053, ' 1': -4.7983985, ' 2': -0.050500903, ' two': -3.3778095}
{' number': -5.5389814, ' #': -6.0725584, ' 1': -2.8481777, ' 2': -0.103169255, ' two': -3.435305}
{' number': -5.390207, ' 1': -1.275336, ' 2': -0.38567424, ' one': -5.352489, ' two': -3.5725546}
{' 2': -0.062219296, ' two': -3.3246455, ' 1': -4.003307, ' number': -5.76502, ' #': -6.202763}
{' #': -6.48875, ' 1': -1.2692858, ' 2': -0.37112302, ' one': -6.037782, ' two': -3.7512746}
{' 1': -0.51731545, ' 2': -0.9591529, ' two': -4.36826, ' one': -5.3336434, ' number': -6.494677}
{' 1': -0.4334051, ' 2': -1.1093503, ' two': -4.3633294, ' one': -5.13126, ' number': -6.4269204}
{' #': -6.505938, ' 1': -0.780065, ' 2': -0.6594461, ' one': -5.615498, ' two': -4.033944}
{' number': -6.430109, ' 1': -0.778413, ' 2': -0.6616526, ' one': -5.6448684, ' two': -4.011174}
{' number': -6.691971, ' #': -6.68333, ' 1': -2.5247145, ' 2': -0.11625957, ' two': -3.6403742}
{' number': -6.6075306, ' #': -6.696372, ' 1': -2.6778376, ' 2': -0.10228776, ' two': -3.6852648}
{' 2': -0.42073795, ' 1': -1.1501347, ' two': -3.863653, ' one': -5.9735913, ' number': -6.455789}
{' number': -6.636226, ' #': -6.680017, ' 1': -2.596912, ' 2': -0.111808375, ' two': -3.5827975}
{' number': -6.468426, ' 1': -1.7653424, ' 2': -0.22311932, ' one': -6.4481688, ' two': -3.7226405}
{' number': -6.8162446, ' #': -6.837334, ' 1': -3.2960231, ' 2': -0.066784754, ' two': -3.693387}
{' number': -6.5071826, ' #': -6.678197, ' 1': -2.8990943, ' 2': -0.087473616, ' two': -3.6807203}
{' 2': -0.15334368, ' 1': -2.1926157, ' two': -3.6282504, ' number': -6.508375, ' #': -6.674511}
{' 2': -0.15098825, ' 1': -2.20892, ' two': -3.6338353, ' number': -6.5663395, ' #': -6.7145505}
{' number': -6.3946877, ' 1': -1.9879756, ' 2': -0.18705508, ' one': -6.534707, ' two': -3.5421877}
{' number': -6.692077, ' #': -6.8439817, ' 1': -4.506523, ' 2': -0.039509002, ' two': -3.6839964}
{' 2': -0.04601522, ' two': -3.5933478, ' 1': -4.2168336, ' number': -6.6221313, ' #': -6.8369627}
{' 2': -0.057573106, ' 1': -3.6226575, ' two': -3.6321619, ' number': -6.6034007, ' #': -6.901671}
{' number': -6.591032, ' #': -6.889248, ' 1': -3.6868405, ' 2': -0.056805287, ' two': -3.5982995}
{' number': -6.5317326, ' #': -6.8127503, ' 1': -3.2037892, ' 2': -0.070799604, ' two': -3.7042947}
{' 2': -0.032283973, ' two': -3.7760468, ' 1': -5.0097675, ' number': -6.8203535, ' #': -7.0167093}
{' number': -6.616628, ' #': -7.0261083, ' 1': -4.959315, ' 2': -0.03228656, ' two': -3.8017967}
{' number': -6.6029305, ' #': -6.9248424, ' 1': -4.137247, ' 2': -0.048765182, ' two': -3.5415723}
{' number': -6.653329, ' #': -6.8742123, ' 1': -3.4387202, ' 2': -0.065698504, ' two': -3.5516489}
{' number': -6.5242085, ' #': -6.753609, ' 1': -3.021731, ' 2': -0.08486792, ' two': -3.529343}
{' number': -6.652857, ' #': -6.8135786, ' 1': -3.120609, ' 2': -0.07889741, ' two': -3.5511663}
{' number': -6.73623, ' #': -6.9224806, ' 1': -4.8447237, ' 2': -0.038784962, ' two': -3.5839946}
{' 2': -0.08262026, ' 1': -3.0565407, ' two': -3.5507445, ' number': -6.4130373, ' #': -6.6648984}
{' number': -6.547344, ' #': -6.8142853, ' 1': -4.566793, ' 2': -0.045264944, ' two': -3.471748}
{' number': -6.465238, ' #': -6.7914753, ' 1': -3.2768178, ' 2': -0.06921077, ' two': -3.654242}
{' number': -6.716569, ' #': -6.828963, ' 1': -3.4951663, ' 2': -0.060935438, ' two': -3.649007}
{' number': -6.388589, ' #': -6.6249504, ' 1': -2.165765, ' 2': -0.15647806, ' two': -3.6528676}
{' number': -6.6136184, ' #': -6.83316, ' 1': -3.7282822, ' 2': -0.056584883, ' two': -3.5699494}
{' number': -6.5332737, ' 1': -1.9145812, ' 2': -0.19584844, ' one': -6.5651484, ' two': -3.640848}
{' number': -6.4210863, ' 1': -0.788423, ' 2': -0.65738434, ' one': -5.482445, ' two': -3.9202187}
{' 2': -0.06997687, ' 1': -3.3511238, ' two': -3.507549, ' number': -6.8811426, ' #': -6.935122}
{' #': -6.3176875, ' 1': -1.5082531, ' 2': -0.29052737, ' one': -6.2607455, ' two': -3.6648197}
{' #': -6.3073416, ' 1': -0.7632505, ' 2': -0.67215747, ' one': -5.672082, ' two': -4.111664}
{' #': -6.2873564, ' 1': -0.7531006, ' 2': -0.6867497, ' one': -5.5589457, ' two': -3.9916356}
{' #': -6.332429, ' 1': -0.9374243, ' 2': -0.53925574, ' one': -5.86588, ' two': -3.961701}
{' #': -6.4108005, ' 1': -1.2108531, ' 2': -0.3934894, ' one': -6.1473947, ' two': -3.8173327}
{' number': -6.776891, ' #': -6.479303, ' 1': -2.6764762, ' 2': -0.10417621, ' two': -3.625647}
{' 2': -0.083383426, ' 1': -2.968944, ' two': -3.6748633, ' #': -6.5280704, ' number': -6.7427974}
{' #': -6.2670317, ' 1': -1.4781046, ' 2': -0.2969027, ' one': -6.3009763, ' two': -3.7506666}
{' number': -6.8528304, ' #': -6.596888, ' 1': -3.3799841, ' 2': -0.067265205, ' two': -3.5718274}
{' 2': -0.09050467, ' 1': -2.842229, ' two': -3.6936138, ' #': -6.5635705, ' number': -6.7052655}
{' number': -6.9623976, ' #': -6.719172, ' 1': -3.9548664, ' 2': -0.04800241, ' two': -3.6801336}
{' number': -6.697794, ' #': -6.5772505, ' 1': -3.3536675, ' 2': -0.06436285, ' two': -3.7184231}
{' 2': -0.07637152, ' 1': -3.1490145, ' two': -3.591821, ' #': -6.6105227, ' number': -6.75144}
{' 2': -0.07894378, ' 1': -3.0684457, ' two': -3.6379972, ' #': -6.608273, ' number': -6.7762814}
{' number': -6.5963664, ' #': -6.466037, ' 1': -2.7789538, ' 2': -0.09991884, ' two': -3.5323222}
{' 2': -0.038044106, ' two': -3.6790981, ' 1': -4.6633797, ' #': -6.650871, ' number': -6.801302}
{' number': -6.839514, ' #': -6.6867824, ' 1': -5.270529, ' 2': -0.037576806, ' two': -3.5323067}
{' number': -6.804894, ' #': -6.8121963, ' 1': -4.568869, ' 2': -0.03954013, ' two': -3.6514459}
{' number': -6.80602, ' #': -6.8091307, ' 1': -4.6772804, ' 2': -0.039438505, ' two': -3.614645}
{' number': -6.684239, ' #': -6.703607, ' 1': -3.5915382, ' 2': -0.056237306, ' two': -3.7197466}
{' number': -6.9748154, ' #': -6.9195433, ' 1': -5.5558987, ' 2': -0.029139005, ' two': -3.78183}
{' number': -6.767126, ' #': -6.854617, ' 1': -5.4038415, ' 2': -0.03102946, ' two': -3.7426953}
{' number': -6.783816, ' #': -6.7957873, ' 1': -5.2436533, ' 2': -0.03913455, ' two': -3.4848168}
{' number': -6.8188977, ' #': -6.763151, ' 1': -3.7794204, ' 2': -0.05487417, ' two': -3.577436}
{' number': -6.7325697, ' #': -6.6772766, ' 1': -3.5585237, ' 2': -0.061995026, ' two': -3.5493226}
{' number': -6.7505903, ' #': -6.6157885, ' 1': -3.2837367, ' 2': -0.07220225, ' two': -3.5374424}
{' 2': -0.030972654, ' two': -3.6440992, ' 1': -6.133084, ' #': -6.856282, ' number': -6.9051085}
{' number': -6.7202497, ' #': -6.6263704, ' 1': -4.3978543, ' 2': -0.044409607, ' two': -3.5633435}
{' 2': -0.036692396, ' two': -3.518279, ' 1': -5.5616136, ' number': -6.722922, ' #': -6.750611}
{' number': -6.743481, ' #': -6.7137675, ' 1': -4.51924, ' 2': -0.04055099, ' two': -3.6425083}
{' number': -6.924417, ' #': -6.763192, ' 1': -4.472481, ' 2': -0.039177075, ' two': -3.704771}
{' number': -6.553165, ' #': -6.4978557, ' 1': -2.7634108, ' 2': -0.09586941, ' two': -3.701786}
{' 2': -0.041855905, ' two': -3.586923, ' 1': -4.528714, ' #': -6.761787, ' number': -6.8118243}
{' number': -6.6943502, ' #': -6.5995193, ' 1': -2.2684648, ' 2': -0.1424312, ' two': -3.6646404}
{' #': -6.4142556, ' 1': -1.0658927, ' 2': -0.46882963, ' one': -5.8361425, ' two': -3.746221}
{' number': -7.0124936, ' #': -6.792288, ' 1': -3.5889904, ' 2': -0.06207804, ' two': -3.5039134}
{' #': -5.735359, ' 1': -1.2269502, ' 2': -0.41135833, ' one': -5.546175, ' two': -3.3600736}
{' #': -5.785913, ' 1': -0.5263391, ' 2': -0.97435427, ' one': -4.8984017, ' two': -3.96057}
{' #': -5.8014884, ' 1': -0.5071772, ' 2': -1.0133741, ' one': -4.7758136, ' two': -3.8635786}
{' #': -5.813095, ' 1': -0.7383688, ' 2': -0.7204493, ' one': -5.1700063, ' two': -3.702406}
{' 2': -0.6654965, ' 1': -0.80288094, ' two': -3.594669, ' one': -5.268308, ' #': -5.8273873}
{' number': -6.373126, ' #': -5.934476, ' 1': -2.3397698, ' 2': -0.15370977, ' two': -3.2146091}
{' number': -6.3368497, ' #': -5.956828, ' 1': -2.9469643, ' 2': -0.10418342, ' two': -3.1922703}
{' #': -5.724355, ' 1': -0.9574282, ' 2': -0.5520785, ' one': -5.3089447, ' two': -3.5156326}
{' 2': -0.13224548, ' 1': -2.574981, ' two': -3.166591, ' #': -6.0330873, ' number': -6.295916}
{' number': -6.150753, ' #': -5.9826183, ' 1': -2.0775614, ' 2': -0.18460377, ' two': -3.3052819}
{' number': -6.4425273, ' #': -6.1272435, ' 1': -3.1979709, ' 2': -0.08644455, ' two': -3.285213}
{' number': -6.242551, ' #': -6.0080457, ' 1': -3.0535994, ' 2': -0.09471233, ' two': -3.2728035}
{' number': -6.205331, ' #': -6.056849, ' 1': -2.4616897, ' 2': -0.14116754, ' two': -3.2042813}
{' number': -6.264647, ' #': -6.0680385, ' 1': -2.3653798, ' 2': -0.1484265, ' two': -3.2646565}
{' number': -6.115623, ' #': -5.911431, ' 1': -2.2413042, ' 2': -0.1735951, ' two': -3.0766368}
{' number': -6.392691, ' #': -6.1139083, ' 1': -4.0754843, ' 2': -0.06252565, ' two': -3.2363575}
{' number': -6.361435, ' #': -6.1494656, ' 1': -4.3474283, ' 2': -0.061667595, ' two': -3.1555834}
{' number': -6.341784, ' #': -6.2765603, ' 1': -4.176852, ' 2': -0.06257939, ' two': -3.1875813}
{' number': -6.274481, ' #': -6.204937, ' 1': -3.6031141, ' 2': -0.0779105, ' two': -3.1413221}
{' 2': -0.08557755, ' 1': -3.2410684, ' two': -3.2726102, ' #': -6.098156, ' number': -6.214202}
{' 2': -0.04917757, ' two': -3.309151, ' 1': -4.83705, ' #': -6.328024, ' number': -6.539194}
{' number': -6.2853937, ' #': -6.346948, ' 1': -4.9972043, ' 2': -0.04824924, ' two': -3.311307}
{' number': -6.27111, ' #': -6.268608, ' 1': -4.3582754, ' 2': -0.06434352, ' two': -3.0934725}
{' number': -6.296937, ' #': -6.15299, ' 1': -3.0126615, ' 2': -0.10386522, ' two': -3.1101573}
{' number': -6.2052455, ' #': -6.0628433, ' 1': -2.9411125, ' 2': -0.109849885, ' two': -3.0829046}
{' number': -6.355636, ' #': -6.134257, ' 1': -2.8288972, ' 2': -0.11564445, ' two': -3.1004407}
{' number': -6.4653654, ' #': -6.2368493, ' 1': -5.2539783, ' 2': -0.054851253, ' two': -3.1150851}
{' 2': -0.0827221, ' two': -3.1772444, ' 1': -3.4166265, ' #': -6.1228156, ' number': -6.1916904}
{' number': -6.2688565, ' #': -6.270054, ' 1': -5.1642966, ' 2': -0.056543067, ' two': -3.0964637}
{' 2': -0.07177284, ' two': -3.219203, ' 1': -3.6994276, ' #': -6.202089, ' number': -6.234108}
{' number': -6.364546, ' #': -6.1930676, ' 1': -3.4433973, ' 2': -0.07671706, ' two': -3.2830653}
{' number': -6.0877166, ' #': -5.9285874, ' 1': -2.2960052, ' 2': -0.15931702, ' two': -3.2191184}
{' number': -6.336047, ' #': -6.157298, ' 1': -3.459539, ' 2': -0.08260511, ' two': -3.139509}
{' #': -6.027573, ' 1': -1.7687489, ' 2': -0.24176385, ' one': -6.068236, ' two': -3.287243}
{' 1': -0.48190093, ' 2': -1.0580442, ' two': -3.864614, ' one': -4.7185535, ' #': -5.8231473}
{' number': -6.596429, ' #': -6.2317314, ' 1': -2.9641366, ' 2': -0.10666526, ' two': -3.0970292}
{' #': -6.2911654, ' 1': -0.92896193, ' 2': -0.5654994, ' one': -5.3597603, ' two': -3.5515127}
{' #': -6.4127965, ' 1': -0.48753178, ' 2': -1.0245534, ' one': -5.00523, ' two': -4.0768986}
{' #': -6.409826, ' 1': -0.47026256, ' 2': -1.0608044, ' one': -4.8994904, ' two': -4.006672}
{' #': -6.4149675, ' 1': -0.6168436, ' 2': -0.8436484, ' one': -5.1337085, ' two': -3.8635798}
{' #': -6.4607706, ' 1': -0.66006327, ' 2': -0.7919698, ' one': -5.249663, ' two': -3.827311}
{' 2': -0.18992071, ' 1': -2.042227, ' two': -3.2596762, ' one': -6.3248663, ' #': -6.4742227}
{' 2': -0.105958074, ' 1': -2.822644, ' two': -3.286313, ' #': -6.578273, ' number': -6.6127462}
{' #': -6.3228717, ' 1': -0.8846596, ' 2': -0.5929267, ' one': -5.3754416, ' two': -3.639439}
{' number': -6.6644363, ' #': -6.6050024, ' 1': -2.378257, ' 2': -0.14720662, ' two': -3.2150433}
{' number': -6.4738965, ' 1': -1.7437241, ' 2': -0.24094911, ' one': -6.147804, ' two': -3.384164}
{' number': -6.793969, ' #': -6.6607676, ' 1': -2.9268413, ' 2': -0.09698453, ' two': -3.3341656}
{' number': -6.5315037, ' #': -6.556022, ' 1': -2.7748108, ' 2': -0.10743526, ' two': -3.3335512}
{' 2': -0.1347768, ' 1': -2.494577, ' two': -3.2299802, ' number': -6.5593677, ' #': -6.595902}
{' 2': -0.15252629, ' 1': -2.297685, ' two': -3.3073244, ' #': -6.5289693, ' number': -6.565884}
{' 2': -0.12745588, ' 1': -2.6191301, ' two': -3.1553507, ' number': -6.4922495, ' #': -6.523613}
{' 2': -0.060238324, ' two': -3.311871, ' 1': -3.962572, ' #': -6.6398377, ' number': -6.6439395}
{' number': -6.7557764, ' #': -6.7948523, ' 1': -4.8348365, ' 2': -0.052947417, ' two': -3.192033}
{' number': -6.7222576, ' #': -6.900873, ' 1': -4.1753316, ' 2': -0.058401868, ' two': -3.2490427}
{' number': -6.6271486, ' #': -6.8069763, ' 1': -3.8475618, ' 2': -0.066479824, ' two': -3.2157927}
{' number': -6.5412407, ' #': -6.7177534, ' 1': -2.8753006, ' 2': -0.10054498, ' two': -3.331832}
{' 2': -0.05388904, ' two': -3.3227508, ' 1': -4.2773714, ' number': -6.7849407, ' #': -6.8260913}
{' number': -6.607486, ' #': -6.831344, ' 1': -4.5931344, ' 2': -0.050781745, ' two': -3.305264}
{' number': -6.614239, ' #': -6.7938533, ' 1': -4.245507, ' 2': -0.06493052, ' two': -3.085541}
{' number': -6.5927396, ' #': -6.661483, ' 1': -2.6057093, ' 2': -0.12656632, ' two': -3.188204}
{' number': -6.460667, ' #': -6.6199102, ' 1': -2.456656, ' 2': -0.14211132, ' two': -3.1591458}
{' 2': -0.13059531, ' 1': -2.5697832, ' two': -3.1764402, ' number': -6.5568776, ' #': -6.578357}
{' number': -6.8150163, ' #': -6.836612, ' 1': -5.257918, ' 2': -0.046250287, ' two': -3.2801042}
{' number': -6.5064425, ' #': -6.604517, ' 1': -3.3761804, ' 2': -0.08351107, ' two': -3.1583517}
{' number': -6.6264696, ' #': -6.757091, ' 1': -4.496818, ' 2': -0.05896706, ' two': -3.1389725}
{' number': -6.5163164, ' #': -6.6587963, ' 1': -3.358775, ' 2': -0.081415825, ' two': -3.2187736}
{' number': -6.6502256, ' #': -6.6337323, ' 1': -3.0724177, ' 2': -0.09272356, ' two': -3.2478063}
{' number': -6.3679824, ' 1': -2.0199888, ' 2': -0.19278312, ' one': -6.323667, ' two': -3.2825048}
{' number': -6.574818, ' #': -6.63277, ' 1': -3.059554, ' 2': -0.095975034, ' two': -3.1920118}
{' number': -6.475468, ' 1': -1.3175391, ' 2': -0.36529902, ' one': -5.796603, ' two': -3.4402235}
{' number': -6.4543204, ' 1': -0.41469073, ' 2': -1.1719158, ' one': -4.7573667, ' two': -4.0256433}
{' #': -6.6980696, ' 1': -2.6517034, ' 2': -0.12670785, ' one': -6.7583127, ' two': -3.1059446}
{' 2': -0.5325773, ' 1': -0.9673535, ' two': -3.6641386, ' one': -5.602857, ' #': -6.2945037}
{' #': -6.420421, ' 1': -0.43501836, ' 2': -1.1075913, ' one': -5.130729, ' two': -4.320686}
{' #': -6.4524746, ' 1': -0.38129574, ' 2': -1.2295585, ' one': -4.923631, ' two': -4.25924}
