{' No': -1.7681766, '\n': -6.35613, 'No': -5.675157, ' Yes': -0.20745045, 'Yes': -4.486917}
{' No': -1.2579911, '\n': -3.316554, 'No': -4.1595488, ' Yes': -0.454261, 'Yes': -3.575898}
{' No': -0.08988042, 'No': -2.8630798, '\n': -4.0354595, ' Yes': -4.609764, ' ': -7.9716916}
{' No': -0.43606392, ' Yes': -1.1799376, 'No': -3.4810429, 'Yes': -4.607649, '\n': -5.272173}
{' No': -2.3856387, '\n': -6.216123, 'No': -6.058446, ' Yes': -0.11665869, 'Yes': -4.30191}
{' No': -8.421332, '\n': -7.5300975, ' Yes': -0.013984285, ' yes': -8.827682, 'Yes': -4.3480887}
{' No': -1.0484091, '\n': -4.821572, 'No': -4.392836, ' Yes': -0.47998306, 'Yes': -4.6318293}
{' Yes': -0.042549025, ' No': -3.7829816, 'Yes': -4.1573963, '\n': -5.9922214, 'No': -7.521576}
{' No': -0.04074461, '\n': -5.804309, ' ': -8.985728, 'No': -3.4664874, ' Yes': -5.254469}
{' No': -0.21776854, ' Yes': -1.7693737, 'No': -3.9816766, 'Yes': -5.677832, '\n': -5.8871098}
{' No': -0.033475675, '\n': -5.8703055, ' ': -9.079427, 'No': -3.5844283, ' Yes': -6.1432076}
{' No': -0.102124296, '\n': -6.0447564, 'No': -3.3788767, ' Yes': -2.8326826, 'Yes': -6.440455}
{' No': -0.038476683, '\n': -5.656472, ' ': -8.588393, 'No': -3.408115, ' Yes': -7.019935}
{' No': -0.038208876, '\n': -5.3643007, ' ': -9.349501, 'No': -3.480288, ' Yes': -6.315645}
{' No': -0.0547575, '\n': -5.4235334, ' ': -8.698276, 'No': -3.0751069, ' Yes': -6.0597715}
{' No': -0.45599136, '\n': -6.1711516, 'No': -3.8205428, ' Yes': -1.0972991, 'Yes': -4.801069}
{' No': -0.28166646, '\n': -6.0810857, 'No': -4.6358705, ' Yes': -1.4649283, 'Yes': -6.1262417}
{' No': -3.1345284, '\n': -6.3733363, 'No': -7.002988, ' Yes': -0.06017255, 'Yes': -4.4348884}
{' No': -0.09443565, ' Yes': -2.7341583, 'No': -4.03274, '\n': -5.060366, 'Yes': -7.2328653}
{' No': -0.08649732, '\n': -4.6832075, 'No': -4.0032797, ' Yes': -2.9180286, 'Yes': -6.942973}
{' No': -0.027607238, '\n': -5.519823, ' ': -8.698879, 'No': -4.2162156, ' Yes': -4.8252225}
{' Yes': -0.23870149, ' No': -1.6526076, 'Yes': -4.351523, 'No': -5.306454, '\n': -5.9526577}
{' Yes': -0.0643537, 'Yes': -3.512035, '\n': -4.1630626, ' No': -4.1838813, 'No': -6.875293}
{' No': -4.0383744, '\n': -3.8263726, 'No': -7.0043206, ' Yes': -0.067410186, 'Yes': -3.723809}
{' No': -0.52719355, ' Yes': -1.2642847, '\n': -2.6055837, 'No': -3.1725163, 'Yes': -4.6040483}
{' No': -3.9700983, '\n': -3.1980758, 'No': -6.6996627, ' Yes': -0.10738549, 'Yes': -3.2188623}
{' No': -0.11626706, '\n': -3.4686801, ' ': -7.375061, 'No': -2.598561, ' Yes': -5.91755}
{' No': -0.28232124, '\n': -3.1354744, 'No': -2.9911225, ' Yes': -1.9322046, 'Yes': -5.1361837}
{' No': -7.5597672, '\n': -4.6823416, ' ': -8.051369, ' Yes': -0.037513003, 'Yes': -3.6357853}
{' Yes': -0.04005268, 'Yes': -3.5355358, '\n': -5.001749, ' No': -5.974651, 'No': -8.350847}
{' No': -4.7764187, '\n': -3.1775365, 'No': -6.976708, ' Yes': -0.08813139, 'Yes': -3.439459}
{' No': -7.6906233, '\n': -3.289838, ' ': -7.314645, ' Yes': -0.08226355, 'Yes': -3.216348}
{' No': -0.89308393, '\n': -1.9025654, 'No': -3.0503943, ' Yes': -1.0047382, 'Yes': -3.9986937}
{' No': -3.3195128, '\n': -3.3533378, 'No': -5.6766777, ' Yes': -0.11984607, 'Yes': -3.2982213}
{' No': -4.7515903, '\n': -5.1854033, 'No': -7.357076, ' Yes': -0.043777343, 'Yes': -3.6070669}
{' Yes': -0.04673645, ' No': -3.9566824, 'Yes': -4.21468, '\n': -4.648413, 'No': -6.8123875}
{' No': -0.4854274, '\n': -3.1813006, 'No': -2.8563988, ' Yes': -1.3058945, 'Yes': -4.286676}
{' Yes': -0.40694052, ' No': -1.2773992, '\n': -3.6082535, 'Yes': -4.2668133, 'No': -4.37278}
{' No': -2.8066924, '\n': -4.652458, 'No': -5.752554, ' Yes': -0.0996936, 'Yes': -3.9093952}
{' Yes': -0.29523548, ' No': -1.5634105, '\n': -4.050433, 'Yes': -4.15503, 'No': -4.5025697}
{' Yes': -0.18153973, ' No': -2.4130614, '\n': -2.957306, 'Yes': -4.0367813, 'No': -5.2899265}
{' Yes': -0.03875745, 'Yes': -3.9730775, '\n': -4.003418, ' No': -7.8110447, ' ': -8.485072}
{' No': -1.0547385, '\n': -2.785146, 'No': -3.9348178, ' Yes': -0.6008581, 'Yes': -4.057168}
{' No': -1.2199951, '\n': -3.625013, 'No': -4.121959, ' Yes': -0.4452148, 'Yes': -4.0331664}
{' No': -9.257338, '\n': -8.114929, ' Yes': -0.012485791, ' yes': -8.960119, 'Yes': -4.4378376}
{' Yes': -0.017497042, 'Yes': -4.189744, ' No': -6.6737185, '\n': -7.505908, ' yes': -8.32096}
{' No': -8.512546, '\n': -7.0400267, ' Yes': -0.01501744, ' yes': -8.587844, 'Yes': -4.312716}
{' Yes': -0.073402345, ' No': -2.9709547, 'Yes': -4.092397, 'No': -6.4468613, '\n': -7.022743}
{' Yes': -0.015055681, 'Yes': -4.5769296, ' No': -5.477679, '\n': -8.365695, ' yes': -9.09784}
{' No': -0.044344053, 'No': -3.5581722, ' Yes': -4.440975, '\n': -5.9433537, 'Yes': -8.339546}
{' No': -0.10161975, '\n': -5.037275, 'No': -3.395912, ' Yes': -2.9016364, 'Yes': -6.7991405}
{' No': -0.09172331, '\n': -4.5270486, 'No': -3.3285642, ' Yes': -3.2296894, 'Yes': -7.200817}
{' No': -0.5064894, ' Yes': -1.0076624, 'No': -4.195399, '\n': -4.516846, 'Yes': -5.2015862}
{' Yes': -0.14272828, ' No': -2.1778576, 'Yes': -4.3475375, 'No': -5.7832804, '\n': -5.804822}
{' No': -0.71103954, ' Yes': -0.7326536, 'No': -4.423133, 'Yes': -4.781144, '\n': -4.930043}
{' No': -2.1194947, '\n': -6.604592, 'No': -6.2465043, ' Yes': -0.14217673, 'Yes': -4.793008}
{' No': -0.04538357, '\n': -6.1474724, 'No': -3.985363, ' Yes': -3.7677994, 'Yes': -8.393929}
{' No': -2.6697361, '\n': -5.549474, ' Yes': -0.10139392, ' Sur': -4.628419, 'Yes': -4.4979563}
{' No': -0.16983874, ' Yes': -2.1017501, 'No': -3.6187315, '\n': -5.4130826, 'Yes': -6.018382}
{' Yes': -0.02371775, 'Yes': -4.183988, '\n': -4.9006457, ' ': -8.262094, ' No': -8.742686}
{' Yes': -0.070796855, '\n': -3.5623167, 'Yes': -3.5728374, ' No': -4.6580863, ' The': -7.1853666}
{' Yes': -0.13845252, '\n': -2.5648098, ' No': -3.466156, 'Yes': -4.053625, 'No': -6.360124}
{' Yes': -0.12525374, '\n': -2.5355034, 'Yes': -3.3278503, ' No': -6.8022184, ' ': -7.098207}
{' No': -1.5284193, '\n': -2.1154249, 'No': -4.711412, ' Yes': -0.45683268, 'Yes': -4.3956485}
{' No': -0.15834115, '\n': -5.338845, 'No': -3.8535466, ' Yes': -2.1387508, 'Yes': -6.062994}
{' No': -0.05142436, '\n': -5.4160275, 'No': -3.4355984, ' Yes': -4.3506417, 'Yes': -8.127695}
{' No': -0.089881204, 'No': -3.2908776, '\n': -3.614446, ' Yes': -3.8992302, ' ': -7.0034704}
{' No': -2.0227747, '\n': -3.0948417, 'No': -5.109463, ' Yes': -0.23476711, 'Yes': -3.7537944}
{' No': -0.041386265, 'No': -3.5566258, '\n': -4.842919, ' Yes': -5.6464157, ' ': -8.317078}
{' No': -0.3212829, ' Yes': -1.4638649, 'No': -3.8818085, '\n': -4.0898337, 'Yes': -5.2074156}
{' No': -0.3043347, ' Yes': -1.4707413, 'No': -4.0381145, '\n': -4.581995, 'Yes': -5.4188347}
{' Yes': -0.035573415, ' No': -4.087743, 'Yes': -4.1578937, '\n': -6.3851995, 'No': -7.6548815}
{' No': -0.067603275, ' Yes': -3.5352585, 'No': -3.630359, '\n': -4.7322493, 'Yes': -7.8220124}
{' Yes': -0.17288326, ' No': -2.7638044, '\n': -2.7915337, 'Yes': -4.049531, ' Sur': -4.321275}
{' No': -0.019676449, 'No': -4.1858635, '\n': -6.0426116, ' Yes': -6.411341, ' Not': -9.252594}
{' No': -0.02465886, '\n': -6.918366, 'No': -4.364821, ' Yes': -4.5706983, 'Yes': -8.854153}
{' No': -0.04479258, '\n': -4.577601, ' ': -8.009121, 'No': -3.458851, ' Yes': -6.4131074}
{' No': -0.049052484, '\n': -6.0059457, 'No': -3.4921658, ' Yes': -4.242572, 'Yes': -7.8992352}
{' No': -0.066908255, 'No': -3.090153, '\n': -4.024334, ' ': -7.0070977, ' Yes': -7.9817677}
{' No': -0.07202846, '\n': -3.8431654, ' ': -7.934304, 'No': -3.0643435, ' Yes': -7.0236917}
{' No': -0.07620542, '\n': -3.922614, ' ': -7.2585893, 'No': -2.9711163, ' Yes': -6.5460234}
{' No': -0.08379867, '\n': -5.2773123, 'No': -3.5011914, ' Yes': -3.1356232, 'Yes': -6.591067}
{' No': -0.2875617, ' Yes': -1.4596922, 'No': -4.6323376, '\n': -5.261524, 'Yes': -6.0500417}
{' Yes': -0.08462217, ' No': -2.6834686, 'Yes': -4.640412, '\n': -6.4215283, 'No': -6.77249}
{' No': -0.048528075, ' Yes': -3.8430762, 'No': -4.0837564, '\n': -4.785873, ' ': -7.856149}
{' No': -0.12758046, '\n': -3.032623, ' Yes': -3.1042497, 'No': -3.8533208, ' Sur': -5.7891474}
{' No': -0.020229658, 'No': -4.249563, '\n': -5.777251, ' Yes': -6.091139, ' ': -8.736146}
{' No': -0.4492133, '\n': -5.8839493, 'No': -4.719511, ' Yes': -1.0630324, 'Yes': -5.429014}
{' No': -3.8028355, '\n': -3.5455585, 'No': -6.457526, ' Yes': -0.086355194, 'Yes': -3.540844}
{' Yes': -0.104479946, '\n': -3.142478, 'Yes': -3.3873265, ' No': -3.9559488, 'No': -6.5609574}
{' No': -0.6293302, '\n': -2.2617958, 'No': -3.3366456, ' Yes': -1.1588275, 'Yes': -4.5505223}
{' No': -3.1223657, '\n': -2.3601742, 'No': -5.611406, ' Yes': -0.21147536, 'Yes': -3.0720918}
{' No': -0.12429488, '\n': -3.0553842, ' ': -6.860453, 'No': -2.7342875, ' Yes': -5.881384}
{' No': -0.5914221, '\n': -3.1597261, 'No': -3.5485637, ' Yes': -1.0184107, 'Yes': -4.4107785}
{' No': -7.549503, '\n': -4.356551, ' ': -7.5050955, ' Yes': -0.039222013, 'Yes': -3.7236261}
{' Yes': -0.04066875, 'Yes': -3.5381927, '\n': -4.723566, ' No': -6.86367, ' ': -7.937116}
{' No': -4.386934, '\n': -2.6934278, ' ': -6.163761, ' Yes': -0.12703699, 'Yes': -3.363884}
{' No': -7.743818, '\n': -3.0954473, ' ': -6.8295016, ' Yes': -0.09367565, 'Yes': -3.1685028}
{' No': -0.76673764, '\n': -1.8113678, 'No': -2.9960446, ' Yes': -1.2243963, 'Yes': -4.295811}
{' Yes': -0.20566237, ' No': -2.3564095, 'Yes': -3.2342038, '\n': -3.24745, 'No': -4.5637474}
{' No': -4.2014008, '\n': -4.6067524, 'No': -6.8563457, ' Yes': -0.055463962, 'Yes': -3.6127775}
{' No': -2.677458, '\n': -3.7864914, 'No': -5.540377, ' Yes': -0.11950512, 'Yes': -4.177519}
{' Yes': -0.58841974, ' No': -1.0726001, '\n': -3.000697, 'No': -3.6175106, 'Yes': -3.688319}
{' No': -1.0308801, '\n': -4.2816434, 'No': -4.321348, ' Yes': -0.5069334, 'Yes': -4.4201317}
{' No': -1.5528193, '\n': -3.7751114, 'No': -4.686206, ' Yes': -0.3055163, 'Yes': -4.1192694}
{' No': -2.0781002, '\n': -3.2275734, 'No': -4.946462, ' Yes': -0.21458064, 'Yes': -4.0067825}
{' Yes': -0.27040914, '\n': -2.0976129, ' No': -2.4957967, 'Yes': -3.8265786, 'No': -5.090004}
{' No': -8.089691, '\n': -2.9077835, ' ': -7.7289433, ' Yes': -0.08629633, 'Yes': -3.6189673}
{' Yes': -0.8859009, ' No': -0.9500774, '\n': -1.8677411, 'No': -3.9129395, 'Yes': -4.4323945}
{' Yes': -0.41373372, ' No': -1.5661099, '\n': -2.419389, 'Yes': -3.8406057, 'No': -4.385892}
{' No': -7.860328, '\n': -7.399894, ' Yes': -0.01027669, ' yes': -8.856476, 'Yes': -4.7112403}
{' No': -7.593281, '\n': -7.2056994, ' Yes': -0.015571404, ' yes': -8.204523, 'Yes': -4.2817035}
{' No': -7.6374965, '\n': -6.3045764, ' Yes': -0.019513851, ' Sur': -6.7124743, 'Yes': -4.18679}
{' Yes': -0.1763129, ' No': -1.9410435, 'Yes': -4.4827433, 'No': -5.83841, '\n': -6.399104}
{' Yes': -0.009197402, 'Yes': -4.871813, ' No': -7.0940876, '\n': -8.264235, ' yes': -8.382343}
{' No': -0.03412994, '\n': -5.9591303, ' ': -8.536211, 'No': -3.804176, ' Yes': -4.7945385}
{' No': -0.20446676, '\n': -5.070784, 'No': -3.753138, ' Yes': -1.8832195, 'Yes': -5.9871736}
{' No': -0.07727763, '\n': -4.5921736, 'No': -3.5931964, ' Yes': -3.3443844, 'Yes': -7.5585985}
{' No': -1.1777654, '\n': -5.3170514, 'No': -5.098944, ' Yes': -0.39855623, 'Yes': -4.7174306}
{' Yes': -0.14533472, ' No': -2.1700919, 'Yes': -4.350689, '\n': -5.5136476, 'No': -5.8609347}
{' No': -0.18414405, '\n': -3.9904375, 'No': -3.6560886, ' Yes': -2.1247816, 'Yes': -5.772452}
{' No': -0.3441405, ' Yes': -1.3424106, 'No': -4.3214526, '\n': -4.4927554, 'Yes': -5.728742}
{' No': -0.046331134, '\n': -4.2312274, 'No': -4.0949283, ' Yes': -4.488214, ' Hospital': -6.4798765}
{' No': -1.3895205, '\n': -3.692728, ' Yes': -0.5226153, ' Sur': -2.208828, 'Yes': -4.494877}
{' No': -0.079257496, ' Yes': -3.0422587, 'No': -4.018502, '\n': -4.7345595, 'Yes': -6.952655}
{' Yes': -0.03704509, 'Yes': -3.9001944, '\n': -4.213242, ' ': -7.640825, ' No': -8.022924}
{' Yes': -0.07066238, '\n': -3.484303, 'Yes': -3.6925972, ' No': -4.6296716, ' The': -6.987042}
{' No': -3.0876474, '\n': -3.4928026, 'No': -5.9710774, ' Yes': -0.1038506, 'Yes': -4.0692606}
{' No': -7.1090255, '\n': -3.0852122, ' ': -7.283214, ' Yes': -0.08927122, 'Yes': -3.2959054}
{' No': -1.0295266, '\n': -2.414645, 'No': -4.2516603, ' Yes': -0.66077894, 'Yes': -4.546767}
{' No': -0.14196602, ' Yes': -2.3994026, 'No': -3.4604473, '\n': -4.9581814, 'Yes': -5.848762}
{' No': -0.057153337, '\n': -5.8274493, 'No': -3.1413207, ' Yes': -4.717256, 'Yes': -8.162242}
{' No': -0.10046338, '\n': -3.6879036, ' ': -7.486427, 'No': -2.854589, ' Yes': -4.432775}
{' No': -1.2714989, '\n': -2.6678498, 'No': -4.2750406, ' Yes': -0.50198096, 'Yes': -3.7363157}
{' No': -0.046840634, '\n': -4.4716697, ' ': -8.2082815, 'No': -3.4867609, ' Yes': -5.7318993}
{' No': -0.12671217, '\n': -5.161962, 'No': -3.4329026, ' Yes': -2.5461323, 'Yes': -6.0663157}
{' No': -1.6216007, '\n': -5.405727, 'No': -5.215627, ' Yes': -0.25241816, 'Yes': -4.1812835}
{' No': -6.4654627, '\n': -6.6381273, ' Yes': -0.018525764, ' yes': -8.261666, 'Yes': -4.19523}
{' No': -0.40091845, ' Yes': -1.2088218, 'No': -4.149034, '\n': -4.4780383, 'Yes': -5.6786413}
{' No': -3.281415, '\n': -3.9194405, ' Yes': -0.08262168, ' Sur': -6.3869925, 'Yes': -3.9803572}
{' No': -0.03266331, 'No': -3.6457725, '\n': -5.6344886, ' Yes': -6.1601505, ' ': -8.956434}
{' No': -0.09393863, ' Yes': -2.7287881, 'No': -4.02923, '\n': -5.4030356, 'Yes': -6.6132984}
{' No': -0.037458673, 'No': -3.5773203, '\n': -5.3533955, ' Yes': -5.58379, ' ': -8.531273}
{' No': -0.12541771, '\n': -4.7885127, 'No': -2.9545648, ' Yes': -2.9049375, 'Yes': -6.0485034}
{' No': -0.058542285, '\n': -4.1772475, ' ': -7.7117767, 'No': -3.2052534, ' Yes': -7.719007}
{' No': -0.06444034, '\n': -4.2485337, ' ': -8.399416, 'No': -3.0555537, ' Yes': -7.270132}
{' No': -0.047451075, 'No': -3.2052705, '\n': -5.4047275, ' Yes': -6.8980913, ' ': -8.582548}
{' No': -0.43119904, ' Yes': -1.1872338, 'No': -3.5084236, 'Yes': -4.486832, '\n': -5.600767}
{' No': -0.17849177, '\n': -6.5665894, 'No': -4.7648315, ' Yes': -1.883194, 'Yes': -6.677878}
{' Yes': -0.04628138, ' No': -3.46252, 'Yes': -4.469371, '\n': -6.5360727, 'No': -7.3973575}
{' No': -0.049947787, ' Yes': -3.6763628, 'No': -3.992664, '\n': -5.5031734, ' ': -7.887414}
{' No': -0.024728261, '\n': -5.468713, ' ': -9.117345, 'No': -4.264703, ' Yes': -5.140193}
{' No': -0.022037357, '\n': -6.109319, ' ': -8.616677, 'No': -4.090801, ' Yes': -6.0000486}
{' Yes': -0.6112342, ' No': -0.8190399, 'Yes': -4.8754287, 'No': -4.884876, '\n': -6.899385}
{' Yes': -0.25742626, ' No': -1.859826, '\n': -3.4256198, 'Yes': -3.6057613, 'No': -4.5654325}
{' No': -2.8842573, '\n': -3.4140182, 'No': -5.6075125, ' Yes': -0.13242863, 'Yes': -3.4912047}
{' No': -0.5330439, ' Yes': -1.210906, '\n': -2.694272, 'No': -3.3137884, 'Yes': -4.65437}
{' No': -1.7247256, '\n': -2.6465645, 'No': -4.289747, ' Yes': -0.35990724, 'Yes': -3.2704122}
{' No': -0.11174178, '\n': -3.6645827, ' ': -7.426379, 'No': -2.5583513, ' Yes': -6.559789}
{' No': -0.22882129, ' Yes': -2.0426087, 'No': -3.1064532, '\n': -3.7250428, 'Yes': -5.3347263}
{' Yes': -0.04761871, 'Yes': -3.7496216, '\n': -3.9525049, ' No': -5.980888, ' ': -7.4142413}
{' No': -6.106338, '\n': -4.462668, ' ': -7.937021, ' Yes': -0.046114393, 'Yes': -3.4957697}
{' No': -4.624293, '\n': -2.8000836, ' ': -6.3585625, ' Yes': -0.10917708, 'Yes': -3.5322382}
{' Yes': -0.12597992, '\n': -2.5806975, 'Yes': -3.265346, ' No': -6.187944, ' ': -6.473487}
{' No': -0.6961367, ' Yes': -1.4602226, '\n': -1.6615031, 'No': -2.8983536, 'Yes': -4.44948}
{' No': -3.0980747, '\n': -3.2786415, 'No': -5.4004064, ' Yes': -0.13460447, 'Yes': -3.3046765}
{' No': -2.7768872, '\n': -4.9018316, 'No': -5.670095, ' Yes': -0.10084649, 'Yes': -3.8220208}
{' Yes': -0.1627331, ' No': -2.269432, '\n': -3.7802582, 'Yes': -4.2008533, 'No': -5.0773067}
{' No': -0.35117614, '\n': -3.3799045, 'No': -3.0405185, ' Yes': -1.5849292, 'Yes': -4.771584}
{' No': -0.6115293, '\n': -4.128524, 'No': -3.8346796, ' Yes': -0.89537907, 'Yes': -4.691394}
{' No': -1.1456668, '\n': -4.025218, 'No': -4.1420503, ' Yes': -0.4622352, 'Yes': -4.1546636}
{' Yes': -0.70153546, ' No': -0.84381604, 'No': -3.540376, '\n': -3.5827, 'Yes': -4.2697573}
{' Yes': -0.2510924, ' No': -2.2908566, '\n': -2.395658, 'Yes': -3.8982923, 'No': -5.0005655}
{' Yes': -0.0797778, '\n': -3.0305755, 'Yes': -3.620494, ' No': -7.254089, ' ': -7.8405247}
{' No': -1.0398321, '\n': -2.264983, 'No': -3.881171, ' Yes': -0.6943673, 'Yes': -4.082518}
{' Yes': -0.66061056, ' No': -0.9836182, '\n': -2.7071347, 'No': -3.8308868, 'Yes': -4.103401}
{' Yes': -0.015076737, 'Yes': -4.3238287, ' No': -6.931303, '\n': -7.638827, ' yes': -8.791225}
{' No': -7.07806, '\n': -7.383095, ' Yes': -0.018800918, ' yes': -8.276655, 'Yes': -4.087591}
{'\n': -7.0399604, ' Yes': -0.018470876, ' yes': -8.2087, ' Sur': -7.469017, 'Yes': -4.124672}
{' No': -3.7611225, '\n': -7.400246, 'No': -7.556771, ' Yes': -0.03846052, 'Yes': -4.372887}
{' No': -4.2920237, '\n': -8.343707, 'No': -8.363719, ' Yes': -0.02405484, 'Yes': -4.6712604}
{' No': -0.031853396, 'No': -3.7837338, ' Yes': -5.1147523, '\n': -6.0850625, ' ': -8.690443}
{' No': -0.056623485, '\n': -5.440325, 'No': -3.2286775, ' Yes': -4.5524597, 'Yes': -8.225441}
{' No': -0.058151294, 'No': -3.4484978, ' Yes': -4.1620116, '\n': -4.7906055, ' ': -7.8871703}
{' No': -0.29719555, '\n': -5.1553707, 'No': -4.1908646, ' Yes': -1.4598504, 'Yes': -5.718891}
{' No': -0.461741, ' Yes': -1.0737826, 'No': -4.1321487, '\n': -5.186932, 'Yes': -5.1944947}
{' No': -0.15594415, '\n': -4.7817945, 'No': -3.590543, ' Yes': -2.2521946, 'Yes': -5.922282}
{' Yes': -0.673911, ' No': -0.77008516, 'No': -4.471625, 'Yes': -4.842595, '\n': -5.2801824}
{' No': -0.042902485, '\n': -5.234749, ' ': -7.9297905, 'No': -3.879225, ' Yes': -4.195103}
{' Yes': -0.80723685, ' No': -1.0177624, ' Sur': -1.865598, '\n': -4.0748262, 'No': -4.6286325}
{' No': -0.0679539, '\n': -5.9265294, 'No': -3.765107, ' Yes': -3.2521732, 'Yes': -7.124779}
{' Yes': -0.026848722, 'Yes': -4.029195, '\n': -4.876189, ' No': -7.8510404, ' ': -8.171409}
{' No': -4.4351573, '\n': -3.6389043, ' Yes': -0.06748951, ' The': -7.049985, 'Yes': -3.7069263}
{' No': -2.568599, '\n': -3.3730764, 'No': -5.4627233, ' Yes': -0.145074, 'Yes': -4.0576177}
{' Yes': -0.11018649, '\n': -2.7180834, 'Yes': -3.3848162, ' No': -5.943188, ' ': -7.3094354}
{' No': -1.447342, '\n': -2.2065144, 'No': -4.194414, ' Yes': -0.4941484, 'Yes': -3.8575802}
{' No': -0.34566066, ' Yes': -1.3636566, 'No': -3.6836426, 'Yes': -5.059652, '\n': -5.3489394}
{' No': -0.053069662, 'No': -3.395036, ' Yes': -4.362352, '\n': -5.323447, 'Yes': -8.221442}
{' No': -0.09275665, '\n': -3.5090926, ' ': -7.3097787, 'No': -3.0244298, ' Yes': -4.712815}
{' No': -2.41894, '\n': -2.0770593, ' Yes': -0.3120922, ' Sur': -4.3818455, 'Yes': -3.4196723}
{' No': -0.073947124, 'No': -3.083741, '\n': -3.7564707, ' Yes': -6.435891, ' ': -7.897137}
{' No': -0.1069793, '\n': -5.1750793, 'No': -3.4257238, ' Yes': -2.795242, 'Yes': -6.3426223}
{' Yes': -0.23498957, ' No': -1.7384952, 'Yes': -4.0700035, '\n': -4.5978513, 'No': -5.121237}
{' No': -5.503292, '\n': -6.327091, ' Yes': -0.020669991, ' yes': -8.29801, 'Yes': -4.2612705}
{' No': -0.27005377, ' Yes': -1.6432132, 'No': -3.6714227, '\n': -4.26362, 'Yes': -5.83612}
{' Yes': -0.119078815, '\n': -2.969844, 'Yes': -3.8402796, ' No': -3.9471924, ' Sur': -4.0446234}
{' No': -0.032943368, 'No': -3.632938, '\n': -5.4033465, ' Yes': -6.864228, ' Not': -8.699204}
{' No': -0.080608055, ' Yes': -2.9568806, 'No': -3.9717023, '\n': -5.345739, 'Yes': -6.8371177}
{' No': -0.03703971, '\n': -5.172658, ' ': -8.387741, 'No': -3.545712, ' Yes': -6.4805913}
{' No': -0.10316073, '\n': -4.550333, 'No': -3.076103, ' Yes': -3.2337282, 'Yes': -6.5076885}
{' No': -0.056769896, '\n': -4.201343, ' ': -7.625615, 'No': -3.2374816, ' Yes': -7.8836093}
{' No': -0.059172567, 'No': -3.231543, '\n': -4.066512, ' Yes': -7.887728, ' ': -7.9898663}
{' No': -0.04547738, '\n': -4.526112, ' ': -8.017091, 'No': -3.4417806, ' Yes': -6.786734}
{' No': -0.06158778, '\n': -5.118646, 'No': -3.5588546, ' Yes': -3.719634, 'Yes': -7.1960363}
{' No': -0.2710411, '\n': -6.1283255, 'No': -4.8999395, ' Yes': -1.4876186, 'Yes': -6.4135594}
{' Yes': -0.051993735, ' No': -3.3443136, 'Yes': -4.4402285, '\n': -6.0544996, 'No': -7.299252}
{' No': -0.050573125, ' Yes': -3.5393348, 'No': -4.246635, '\n': -5.28787, ' ': -7.754162}
{' No': -0.28286454, ' Yes': -1.8718691, '\n': -2.8455818, 'No': -4.020068, ' Sur': -4.501935}
{' No': -0.015733605, 'No': -4.3643513, '\n': -6.14715, ' Yes': -7.780517, ' ': -8.694286}
{' Yes': -0.30271226, ' No': -1.4153259, 'Yes': -4.483441, 'No': -5.3340764, '\n': -6.304217}
{' No': -2.8378034, '\n': -3.6577744, 'No': -5.3328977, ' Yes': -0.13640459, 'Yes': -3.2899194}
{' Yes': -0.07119858, 'Yes': -3.275636, '\n': -4.1309743, ' No': -4.352515, 'No': -6.8784184}
{' No': -0.7398161, ' Yes': -0.9838156, '\n': -2.448871, 'No': -3.149173, 'Yes': -4.0785594}
{' No': -2.795874, '\n': -2.287566, 'No': -5.1509347, ' Yes': -0.25025058, 'Yes': -2.9789987}
{' No': -0.16526881, '\n': -3.1583185, ' ': -7.0348744, 'No': -2.2498405, ' Yes': -5.922953}
{' No': -0.5479734, '\n': -3.08106, 'No': -2.9829993, ' Yes': -1.1805664, 'Yes': -4.1185603}
{' Yes': -0.052575495, 'Yes': -3.4573107, '\n': -4.069192, ' No': -6.5874166, ' ': -7.37266}
{' Yes': -0.04977117, 'Yes': -3.4335392, '\n': -4.552554, ' No': -5.4167967, 'No': -7.7178807}
{' No': -3.6463456, '\n': -2.4340427, 'No': -5.652273, ' Yes': -0.16926844, 'Yes': -3.3533196}
{' No': -6.0567956, '\n': -2.907033, ' ': -6.464595, ' Yes': -0.117322154, 'Yes': -2.9759626}
{' No': -0.61031526, '\n': -1.5750712, 'No': -2.5121896, ' Yes': -1.9257601, 'Yes': -4.6670704}
{' No': -2.68895, '\n': -2.782847, 'No': -4.6919026, ' Yes': -0.2082945, 'Yes': -3.0672705}
{' Yes': -0.118786916, ' No': -2.6029236, 'Yes': -3.7469735, '\n': -4.7901673, 'No': -5.3296275}
{' Yes': -0.117866814, ' No': -2.8115482, '\n': -3.6273866, 'Yes': -4.029894, 'No': -5.4542127}
{' No': -0.28731945, '\n': -2.88011, 'No': -2.5468943, ' Yes': -2.2293818, 'Yes': -5.02532}
{' No': -0.37892953, ' Yes': -1.4542108, 'No': -3.288544, '\n': -3.3906903, 'Yes': -4.9272485}
{' No': -0.7597998, '\n': -3.4123266, 'No': -3.5166798, ' Yes': -0.79542136, 'Yes': -4.2464504}
{' No': -1.328737, '\n': -3.18984, 'No': -3.8201385, ' Yes': -0.43513456, 'Yes': -3.851932}
{' Yes': -0.2957359, '\n': -2.1667132, ' No': -2.2116637, 'Yes': -3.9125974, 'No': -4.8067865}
{' No': -7.5348887, '\n': -2.3315802, ' ': -7.0276003, ' Yes': -0.14556427, 'Yes': -3.3168707}
