{' B': -0.23135017, ' A': -1.5809976, ' "': -7.9659996, ' (': -9.101056, ' b': -9.176633}
{' A': -0.072045304, 'A': -9.580164, ' B': -2.6733675, ' (': -9.108442, ' "': -8.495954}
{' A': -0.027004987, 'A': -9.539313, ' B': -3.6414537, ' (': -9.098953, ' "': -8.707466}
{' A': -0.048766308, 'A': -9.602273, ' B': -3.0543563, ' (': -9.285997, ' "': -8.557933}
{' A': -0.0047279494, 'A': -9.52348, ' B': -5.446218, ' (': -9.153562, ' "': -8.743453}
{' b': -9.592336, ' A': -3.2691257, 'B': -10.343083, ' B': -0.039149426, ' "': -8.718419}
{' b': -9.674493, ' A': -2.1250463, ' B': -0.12764426, ' (': -10.169043, ' "': -8.569384}
{' b': -9.583131, ' A': -2.8693879, ' B': -0.0588185, ' "': -8.613477, " '": -10.207877}
{' b': -9.622441, ' A': -2.1778026, ' B': -0.12074042, ' (': -9.93975, ' "': -8.485243}
{' B': -0.09183732, ' A': -2.4376376, ' "': -8.686872, ' b': -9.532123, 'B': -10.282839}
{' b': -9.459572, ' A': -1.9302617, ' B': -0.15731831, ' (': -10.032217, ' "': -8.440804}
{' b': -9.692498, ' A': -1.7468139, ' B': -0.19206536, ' (': -10.044812, ' "': -8.585507}
{' b': -9.764649, ' A': -1.4591246, ' B': -0.26521215, ' (': -9.801692, ' "': -8.294449}
{' b': -9.624621, ' A': -2.276215, ' B': -0.108818434, ' "': -8.480717, " '": -9.9994755}
{' b': -9.693518, ' A': -1.7828065, ' B': -0.1846925, ' "': -8.38772, " '": -9.91086}
{' B': -0.211769, ' A': -1.6590632, ' "': -8.26569, ' b': -9.46791, ' (': -9.730683}
{' b': -9.701015, ' A': -1.5845042, ' B': -0.2300599, ' (': -9.969979, ' "': -8.429441}
{' B': -0.22822082, ' A': -1.5916756, ' "': -8.395083, ' b': -9.672623, " '": -10.049583}
{' b': -9.721576, ' A': -1.6004457, ' B': -0.2260294, ' (': -9.873549, ' "': -8.332776}
{' b': -9.452368, ' A': -3.8371727, 'B': -10.408179, ' B': -0.022094145, ' "': -9.013551}
{' A': -0.7544762, ' B': -0.6365677, ' (': -9.530468, ' "': -8.029225, " '": -9.6688595}
{' B': -0.6065997, ' A': -0.7889899, ' "': -8.341942, ' (': -9.844362, ' b': -10.031015}
{' A': -0.46061006, ' B': -0.9982897, ' "': -8.137369, ' (': -9.4411745, " '": -9.783342}
{' B': -0.3182415, ' A': -1.3018917, ' "': -8.195147, ' b': -9.674738, ' (': -9.739329}
{' A': -0.7638496, ' B': -0.62826, ' (': -9.416691, ' "': -8.129229, " '": -9.692972}
{' A': -0.28857592, ' B': -1.3861787, ' (': -9.25038, ' "': -8.066836, " '": -9.632132}
{' A': -0.31751692, 'A': -9.696745, ' B': -1.3039385, ' (': -9.410575, ' "': -8.185689}
{' A': -0.18402848, 'A': -9.635902, ' B': -1.7862431, ' (': -9.689754, ' "': -8.331907}
{' A': -0.13863923, ' B': -2.0486143, ' "': -8.252969, ' (': -9.51692, 'A': -9.591603}
{' A': -0.42255935, 'A': -9.792166, ' B': -1.0668654, ' (': -9.59637, ' "': -8.232991}
{' A': -0.014491902, 'A': -9.726816, ' B': -4.265873, ' (': -9.766097, ' "': -8.753421}
{' A': -0.05468573, 'A': -9.561516, ' B': -2.94063, ' (': -9.843993, ' "': -8.683001}
{' A': -0.061121386, 'A': -9.565479, ' B': -2.833767, ' (': -9.424997, ' "': -8.38135}
{' A': -0.11503667, 'A': -9.574853, ' B': -2.2240663, ' (': -9.557597, ' "': -8.374408}
{' A': -0.045468956, 'A': -9.559872, ' B': -3.123773, ' (': -9.451259, ' "': -8.499778}
{' A': -0.040554527, 'A': -9.617545, ' B': -3.2376862, ' (': -9.427276, ' "': -8.400662}
{' A': -0.073631674, 'A': -9.590486, ' B': -2.6523917, ' (': -9.446537, ' "': -8.366213}
{' A': -0.073323704, 'A': -9.54861, ' B': -2.656551, ' (': -9.465812, ' "': -8.3364725}
{' A': -0.031191356, ' B': -3.4979806, ' "': -8.527153, ' (': -9.3946085, 'A': -9.566718}
{' A': -0.065153345, 'A': -9.568608, ' B': -2.7708132, ' (': -9.575033, ' "': -8.4391575}
{' A': -0.0056578354, 'A': -9.552933, ' B': -5.245909, ' (': -9.637784, ' "': -8.731074}
{' b': -9.687382, ' A': -3.5112162, ' B': -0.03061786, ' (': -10.564044, ' "': -8.917859}
{' b': -9.697594, ' A': -2.1821294, ' B': -0.12007389, ' (': -10.236755, ' "': -8.764946}
{' B': -0.058442116, ' A': -2.8743312, ' "': -8.856887, ' b': -9.680783, ' (': -10.443925}
{' b': -9.697356, ' A': -2.2746434, ' B': -0.10891778, ' (': -10.019356, ' "': -8.721947}
{' b': -9.618502, ' A': -2.3756027, 'B': -10.491509, ' B': -0.097913936, ' "': -8.89517}
{' b': -9.836168, ' A': -2.0763505, ' B': -0.13439125, ' (': -10.134672, ' "': -8.6411}
{' b': -9.836341, ' A': -1.7876221, ' B': -0.1835497, ' (': -10.204394, ' "': -8.8390045}
{' b': -9.802839, ' A': -1.5667969, ' B': -0.23459978, ' (': -9.93714, ' "': -8.595127}
{' b': -9.695032, ' A': -2.5208905, ' B': -0.08416871, ' (': -10.216737, ' "': -8.80353}
{' b': -9.761944, ' A': -1.9684509, ' B': -0.15088879, ' (': -9.906318, ' "': -8.65272}
{' b': -9.830737, ' A': -1.7987348, ' B': -0.18145955, ' (': -9.780006, ' "': -8.420589}
{' b': -9.825069, ' A': -1.7032692, ' B': -0.20145732, ' (': -10.100561, ' "': -8.649649}
{' B': -0.23142941, ' A': -1.5788683, ' "': -8.63652, ' b': -9.695966, ' (': -10.045623}
{' b': -9.751832, ' A': -1.6643912, ' B': -0.21036406, ' (': -10.032953, ' "': -8.56144}
{' b': -9.534347, ' A': -3.6825576, 'B': -10.597073, ' B': -0.025739307, ' "': -9.201531}
{' A': -0.5689836, 'A': -10.06564, ' B': -0.8361669, ' (': -9.490917, ' "': -8.254804}
{' A': -0.6516724, ' B': -0.7373564, ' "': -8.476755, ' (': -9.683741, 'A': -10.121534}
{' A': -0.3807965, ' B': -1.1514779, ' "': -8.346387, ' (': -9.324776, 'A': -9.882296}
{' b': -9.799262, ' A': -1.0871291, ' B': -0.41199824, ' (': -9.563756, ' "': -8.385073}
{' b': -10.053189, ' A': -0.7322499, ' B': -0.6565816, ' (': -9.318587, ' "': -8.230744}
{' A': -0.2904472, 'A': -9.893226, ' B': -1.3804072, ' (': -9.095504, ' "': -8.144033}
{' A': -0.20928942, 'A': -9.82091, ' B': -1.6693113, ' (': -9.429751, ' "': -8.451362}
{' A': -0.23302299, 'A': -9.831658, ' B': -1.573105, ' (': -9.518608, ' "': -8.423513}
{' A': -0.09731034, 'A': -9.749496, ' B': -2.3827145, ' (': -9.51706, ' "': -8.533674}
{' A': -0.48687074, 'A': -10.018842, ' B': -0.95453167, ' (': -9.626593, ' "': -8.424506}
{' A': -0.010064493, 'A': -9.851282, ' B': -4.639861, ' (': -9.391695, ' "': -8.750982}
{' A': -0.040936217, 'A': -9.707518, ' B': -3.2244344, ' (': -9.723482, ' "': -8.892348}
{' A': -0.0375976, 'A': -9.706316, ' B': -3.3099422, ' (': -9.45208, ' "': -8.741266}
{' A': -0.09298538, 'A': -9.733798, ' B': -2.426285, ' (': -9.43785, ' "': -8.565457}
{' A': -0.027389685, 'A': -9.71554, ' B': -3.6244009, ' (': -9.45824, ' "': -8.864885}
{' A': -0.044422254, 'A': -9.7299, ' B': -3.145933, ' (': -9.352139, ' "': -8.570155}
{' A': -0.05609665, 'A': -9.717734, ' B': -2.916183, ' (': -9.375721, ' "': -8.645159}
{' A': -0.053923827, 'A': -9.712464, ' B': -2.954854, ' (': -9.410215, ' "': -8.638574}
{' A': -0.018075086, 'A': -9.708598, ' B': -4.0412416, ' (': -9.5051775, ' "': -8.903089}
{' A': -0.040497173, ' B': -3.2359507, ' "': -8.742409, ' (': -9.556833, 'A': -9.763844}
{' A': -0.0053939386, 'A': -9.7325735, ' B': -5.290525, ' (': -9.379533, ' "': -8.879834}
{' b': -9.684518, ' A': -3.4498694, 'B': -10.592813, ' B': -0.032526236, ' "': -9.134223}
{' b': -9.8372, ' A': -2.1040714, ' B': -0.13039103, ' (': -10.340945, ' "': -8.969309}
{' b': -9.742538, ' A': -2.8355362, ' B': -0.06076181, ' (': -10.555821, ' "': -9.071087}
{' b': -9.771545, ' A': -2.1908698, ' B': -0.11893056, ' (': -10.172705, ' "': -8.894151}
{' b': -9.707729, ' A': -2.2336886, 'B': -10.520155, ' B': -0.11362487, ' "': -9.052965}
{' b': -9.884502, ' A': -1.8630912, ' B': -0.16904524, ' (': -10.137626, ' "': -8.728979}
{' b': -9.828483, ' A': -1.7667403, ' B': -0.18775332, ' (': -10.283605, ' "': -9.024015}
{' B': -0.20081389, ' A': -1.7058892, ' "': -8.843666, ' b': -9.914909, ' (': -10.099943}
{' b': -9.767489, ' A': -2.4553795, ' B': -0.09005356, ' (': -10.372933, ' "': -8.981661}
{' b': -9.849685, ' A': -2.0291994, ' B': -0.14127909, ' (': -10.117728, ' "': -8.893144}
{' b': -9.906201, ' A': -1.7551842, ' B': -0.19024272, ' (': -9.932304, ' "': -8.632319}
{' b': -9.874877, ' A': -1.5632873, ' B': -0.23541796, ' (': -10.18344, ' "': -8.904898}
{' b': -9.823091, ' A': -1.7737856, ' B': -0.18633373, ' (': -10.254554, ' "': -8.893517}
{' b': -9.796895, ' A': -1.6983848, ' B': -0.20250499, ' (': -10.110482, ' "': -8.79768}
{' b': -9.595711, ' A': -3.530706, 'B': -10.614593, ' B': -0.029948816, ' "': -9.373861}
{' A': -0.49016172, ' B': -0.9491994, ' "': -8.527609, ' (': -9.6498995, 'A': -10.031569}
{' A': -0.6394793, 'A': -10.122717, ' B': -0.75063187, ' (': -9.847029, ' "': -8.755624}
{' A': -0.41641247, 'A': -9.924423, ' B': -1.0783103, ' (': -9.464061, ' "': -8.606523}
{' b': -9.8907795, ' A': -1.1999437, ' B': -0.35897645, ' (': -9.744941, ' "': -8.631837}
{' b': -10.0869055, ' A': -0.77631956, ' B': -0.6171647, ' (': -9.582495, ' "': -8.519553}
{' A': -0.43374717, 'A': -10.022708, ' B': -1.0457677, ' (': -9.298286, ' "': -8.319398}
{' A': -0.20265074, 'A': -9.850804, ' B': -1.697909, ' (': -9.605675, ' "': -8.725827}
{' A': -0.2416651, 'A': -9.867365, ' B': -1.5403633, ' (': -9.702427, ' "': -8.674728}
{' A': -0.1374345, 'A': -9.78566, ' B': -2.0555615, ' (': -9.596832, ' "': -8.649402}
{' A': -0.3748506, 'A': -9.983202, ' B': -1.1639894, ' (': -9.79329, ' "': -8.686846}
{' A': -0.01866895, 'A': -9.888587, ' B': -4.007654, ' (': -9.525068, ' "': -8.850908}
{' A': -0.06058296, 'A': -9.765087, ' B': -2.838791, ' (': -9.842511, ' "': -9.05771}
{' A': -0.07011004, 'A': -9.779608, ' B': -2.69795, ' (': -9.472087, ' "': -8.767205}
{' A': -0.10158993, 'A': -9.7692375, ' B': -2.3407753, ' (': -9.620851, ' "': -8.829634}
{' A': -0.041468147, 'A': -9.765113, ' B': -3.211008, ' (': -9.598569, ' "': -9.02611}
{' A': -0.054182347, ' B': -2.9495165, ' "': -8.678677, ' (': -9.461192, 'A': -9.798615}
{' A': -0.069368936, ' B': -2.708098, ' "': -8.807197, ' (': -9.539624, 'A': -9.765731}
{' A': -0.051084246, 'A': -9.7431135, ' B': -3.0064447, ' (': -9.6105385, ' "': -8.869138}
{' A': -0.022791192, 'A': -9.76134, ' B': -3.8057845, ' (': -9.614967, ' "': -9.083632}
{' A': -0.07862436, 'A': -9.799717, ' B': -2.5867362, ' (': -9.6329, ' "': -8.75506}
{' A': -0.005869758, 'A': -9.747806, ' B': -5.193871, ' (': -9.473109, ' "': -9.022878}
{' b': -9.563895, ' A': -3.4692616, ' B': -0.03196607, ' (': -10.200067, ' "': -8.879516}
{' b': -9.708941, ' A': -2.0104442, ' B': -0.14424096, ' (': -9.795531, ' "': -8.638634}
{' B': -0.060501587, ' A': -2.840958, ' "': -8.801915, ' b': -9.598925, ' (': -10.138714}
{' b': -9.6314335, ' A': -2.111608, ' B': -0.12949534, ' (': -9.638509, ' "': -8.586598}
{' b': -9.593861, ' A': -2.238947, ' B': -0.113082916, ' (': -10.175222, ' "': -8.761729}
{' b': -9.744655, ' A': -1.9067993, ' B': -0.16131583, ' (': -9.740064, ' "': -8.506988}
{' b': -9.734285, ' A': -1.7779325, ' B': -0.18556349, ' (': -9.77005, ' "': -8.746393}
{' b': -9.811727, ' A': -1.5586977, ' B': -0.23681186, ' (': -9.55825, ' "': -8.480844}
{' B': -0.087246284, ' A': -2.4868395, ' "': -8.709328, ' b': -9.575175, ' (': -9.874201}
{' b': -9.732524, ' A': -1.8891239, ' B': -0.16443835, ' (': -9.564445, ' "': -8.560883}
{' b': -9.719181, ' A': -1.6890731, ' B': -0.20481081, ' (': -9.357923, ' "': -8.321557}
{' b': -9.729949, ' A': -1.5581211, ' B': -0.23693518, ' (': -9.683601, ' "': -8.552629}
{' b': -9.673718, ' A': -1.4569962, ' B': -0.26576346, ' (': -9.659784, ' "': -8.518387}
{' B': -0.2182077, ' A': -1.6317495, ' "': -8.481165, ' (': -9.59245, ' b': -9.648574}
{' b': -9.519334, ' A': -3.434122, 'B': -10.545315, ' B': -0.03307372, ' "': -9.089615}
{' A': -0.5688873, ' B': -0.8363872, ' (': -9.164676, ' "': -8.215322, " '": -10.040628}
{' b': -10.094229, ' A': -0.6340564, ' B': -0.75698316, ' (': -9.337933, ' "': -8.450839}
{' A': -0.3337946, 'A': -9.848111, ' B': -1.2615062, ' (': -8.96416, ' "': -8.287591}
{' b': -9.787132, ' A': -1.0824486, ' B': -0.4144761, ' (': -9.180584, ' "': -8.300208}
{' b': -9.815748, ' A': -0.921892, ' B': -0.50807947, ' (': -9.054819, ' "': -8.236343}
{' A': -0.32803747, ' B': -1.2765086, ' "': -8.096695, ' (': -8.79277, " '": -9.929406}
{' A': -0.2043856, ' B': -1.6909502, ' "': -8.410197, ' (': -9.094235, 'A': -9.8083315}
{' A': -0.2390025, 'A': -9.841775, ' B': -1.550833, ' (': -9.166872, ' "': -8.359787}
{' A': -0.09156777, 'A': -9.755285, ' B': -2.441303, ' (': -9.213121, ' "': -8.534362}
{' A': -0.43476745, 'A': -10.000706, ' B': -1.0439059, ' (': -9.262081, ' "': -8.366289}
{' A': -0.016863022, 'A': -9.813851, ' B': -4.116352, ' (': -9.034788, ' "': -8.646361}
{' A': -0.05998216, 'A': -9.736511, ' B': -2.850439, ' (': -9.257023, ' "': -8.737387}
{' A': -0.037648108, ' B': -3.3101394, ' "': -8.661846, ' (': -9.0437975, 'A': -9.724203}
{' A': -0.09054649, 'A': -9.749299, ' B': -2.4524353, ' (': -9.070802, ' "': -8.488541}
{' A': -0.03587054, 'A': -9.737439, ' B': -3.3579624, ' (': -9.040622, ' "': -8.693982}
{' A': -0.044018302, ' B': -3.1562197, ' "': -8.503672, ' (': -8.97329, 'A': -9.781567}
{' A': -0.06554086, ' B': -2.7652898, ' "': -8.524355, ' (': -8.988692, 'A': -9.764428}
{' A': -0.04655872, 'A': -9.7444105, ' B': -3.1001456, ' (': -9.084926, ' "': -8.5875845}
{' A': -0.020451263, 'A': -9.752017, ' B': -3.9191864, ' (': -9.129865, ' "': -8.806772}
{' A': -0.0339606, 'A': -9.751791, ' B': -3.411686, ' (': -9.245679, ' "': -8.653754}
{' A': -0.0051615085, 'A': -9.70621, ' B': -5.350216, ' (': -8.978089, ' "': -8.784095}
{' b': -9.582015, ' A': -3.1860287, ' B': -0.042524025, ' (': -10.336928, ' "': -8.983983}
{' b': -9.724105, ' A': -1.8584625, ' B': -0.16991712, ' (': -10.016565, ' "': -8.764955}
{' b': -9.67249, ' A': -2.6899846, ' B': -0.07062093, ' (': -10.267665, ' "': -8.942385}
{' B': -0.15054402, ' A': -1.9706047, ' "': -8.658202, ' b': -9.675018, ' (': -9.808987}
{' b': -9.4631405, ' A': -2.2168229, ' B': -0.11576764, ' (': -10.332413, ' "': -8.69715}
{' b': -9.734605, ' A': -1.567425, ' B': -0.23445337, ' (': -9.800258, ' "': -8.538037}
{' B': -0.2401526, ' A': -1.5457498, ' "': -8.863357, ' b': -9.823668, ' (': -9.955018}
{' b': -9.875286, ' A': -1.331811, ' B': -0.30709368, ' (': -9.684267, ' "': -8.569726}
{' b': -9.672566, ' A': -2.3416166, ' B': -0.10149677, ' (': -10.069028, ' "': -8.782525}
{' B': -0.21286504, ' A': -1.6536208, ' "': -8.700422, ' (': -9.743123, ' b': -9.839316}
{' b': -9.775797, ' A': -1.3264258, ' B': -0.30912614, ' (': -9.442762, ' "': -8.375751}
{' B': -0.2954784, ' A': -1.3647343, ' "': -8.725329, ' b': -9.792547, ' (': -9.873099}
{' b': -9.783329, ' A': -1.2504724, ' B': -0.3379664, ' (': -9.767068, ' "': -8.604661}
{' B': -0.2739466, ' A': -1.4304711, ' "': -8.5308485, ' b': -9.7043085, ' (': -9.744247}
{' b': -9.530367, ' A': -3.419134, 'B': -10.580485, ' B': -0.033555802, ' "': -9.180726}
{' A': -0.5793759, ' B': -0.8226927, ' "': -8.374006, ' (': -9.33356, ' b': -10.039642}
{' A': -0.55566865, ' B': -0.8535774, ' "': -8.62911, ' (': -9.535032, 'A': -10.022998}
{' A': -0.30005896, 'A': -9.855327, ' B': -1.3520247, ' (': -9.160295, ' "': -8.393363}
{' b': -9.787483, ' A': -1.0793692, ' B': -0.41599336, ' (': -9.407966, ' "': -8.362334}
{' A': -0.51711446, ' B': -0.9081857, ' "': -8.404663, ' (': -9.204762, 'A': -10.079854}
{' A': -0.25753108, ' B': -1.4851387, ' "': -8.246466, ' (': -8.957859, 'A': -9.891324}
{' A': -0.17089786, 'A': -9.809734, ' B': -1.8538202, ' (': -9.287398, ' "': -8.503274}
{' A': -0.16254528, 'A': -9.8155155, ' B': -1.8997239, ' (': -9.446616, ' "': -8.614053}
{' A': -0.0926088, 'A': -9.732276, ' B': -2.4301143, ' (': -9.299987, ' "': -8.62923}
{' A': -0.45866102, 'A': -10.018754, ' B': -1.0012598, ' (': -9.484816, ' "': -8.485492}
{' A': -0.016916426, 'A': -9.794084, ' B': -4.111843, ' (': -9.143876, ' "': -8.688283}
{' A': -0.05380135, ' B': -2.9557328, ' "': -8.907433, ' (': -9.517256, 'A': -9.754171}
{' A': -0.046364903, 'A': -9.760975, ' B': -3.103406, ' (': -9.189418, ' "': -8.703423}
{' A': -0.06808374, 'A': -9.773514, ' B': -2.7270193, ' (': -9.357935, ' "': -8.661034}
{' A': -0.02475722, 'A': -9.757243, ' B': -3.7254102, ' (': -9.325123, ' "': -8.914472}
{' A': -0.032729395, 'A': -9.761358, ' B': -3.4491436, ' (': -9.12157, ' "': -8.6296625}
{' A': -0.051695608, 'A': -9.767626, ' B': -2.9963136, ' (': -9.228429, ' "': -8.673194}
{' A': -0.0491936, 'A': -9.763208, ' B': -3.044837, ' (': -9.274104, ' "': -8.701331}
{' A': -0.021101933, 'A': -9.753713, ' B': -3.8865116, ' (': -9.211306, ' "': -8.877413}
{' A': -0.03931779, 'A': -9.77027, ' B': -3.2655425, ' (': -9.359924, ' "': -8.718836}
{' A': -0.0042204685, ' B': -5.5579386, ' "': -8.944947, ' (': -9.094738, 'A': -9.762993}
{' B': -0.063432656, ' A': -2.7937906, ' "': -9.1920185, ' b': -9.642482, ' (': -10.255964}
{' b': -9.535364, ' A': -1.5268489, ' B': -0.24540827, ' (': -9.740559, ' "': -8.781387}
{' b': -9.412472, ' A': -2.2059734, ' B': -0.11708719, ' (': -9.936139, ' "': -8.965653}
{' b': -9.512544, ' A': -1.4863206, ' B': -0.2570154, ' (': -9.406107, ' "': -8.709602}
{' b': -9.372412, ' A': -1.9905074, ' B': -0.14731435, ' (': -10.113164, ' "': -8.927403}
{' B': -0.33753738, ' A': -1.2514683, ' "': -8.840737, ' (': -9.580942, ' b': -9.629538}
{' b': -9.613952, ' A': -1.2625284, ' B': -0.3331271, ' (': -9.663223, ' "': -8.891633}
{' b': -9.714417, ' A': -0.950332, ' B': -0.48951277, ' (': -9.3786545, ' "': -8.63448}
{' b': -9.431379, ' A': -1.8786032, ' B': -0.16628103, ' (': -9.678995, ' "': -8.852821}
{' b': -9.644386, ' A': -1.1564324, ' B': -0.37840763, ' (': -9.365978, ' "': -8.705839}
{' b': -9.615803, ' A': -1.030728, ' B': -0.441937, ' (': -9.227541, ' "': -8.672047}
{' B': -0.4727326, ' A': -0.97744757, ' "': -8.693168, ' (': -9.553055, ' b': -9.65513}
{' b': -9.591402, ' A': -0.914337, ' B': -0.51287264, ' (': -9.489169, ' "': -8.722361}
{' b': -9.559779, ' A': -0.99227613, ' B': -0.46392706, ' (': -9.442631, ' "': -8.663713}
{' b': -9.541789, ' A': -2.7259254, 'B': -10.577416, ' B': -0.06799129, ' "': -9.3925295}
{' A': -0.37540698, 'A': -9.862771, ' B': -1.1629188, ' (': -9.393575, ' "': -8.701675}
{' A': -0.34792253, 'A': -9.81739, ' B': -1.2261193, ' (': -9.37021, ' "': -8.829117}
{' A': -0.14386179, ' B': -2.0128841, ' "': -8.895011, ' (': -9.238994, 'A': -9.696669}
{' A': -0.5667265, 'A': -10.014487, ' B': -0.8388957, ' (': -9.279727, ' "': -8.747468}
{' A': -0.3782698, 'A': -9.929358, ' B': -1.1566931, ' (': -9.243299, ' "': -8.729587}
{' A': -0.13238074, 'A': -9.753446, ' B': -2.0911152, ' (': -9.001897, ' "': -8.760316}
{' A': -0.1113307, 'A': -9.733678, ' B': -2.253863, ' (': -9.362752, ' "': -8.930969}
{' A': -0.10355816, 'A': -9.724521, ' B': -2.3229795, ' (': -9.277347, ' "': -8.857734}
{' A': -0.05263568, 'A': -9.691674, ' B': -2.9781268, ' (': -9.245608, ' "': -8.899151}
{' A': -0.17620683, 'A': -9.761875, ' B': -1.8254834, ' (': -9.32468, ' "': -8.750989}
{' A': -0.007130996, ' B': -4.996684, ' (': -9.085175, ' "': -9.094368, 'A': -9.810356}
{' A': -0.022288186, 'A': -9.730977, ' B': -3.8265467, ' (': -9.694809, ' "': -9.427497}
{' A': -0.022869978, 'A': -9.733745, ' B': -3.803252, ' (': -9.336643, ' "': -9.218254}
{' A': -0.04249181, 'A': -9.721791, ' B': -3.1873224, ' (': -9.427803, ' "': -9.142112}
{' A': -0.011283121, 'A': -9.734533, ' B': -4.5152845, ' (': -9.413786, ' "': -9.398225}
{' A': -0.0186044, 'A': -9.72505, ' B': -4.0118446, ' (': -9.28485, ' "': -9.07015}
{' A': -0.031283475, 'A': -9.699295, ' B': -3.4922879, ' (': -9.181131, ' "': -9.008484}
{' A': -0.03449419, 'A': -9.686321, ' B': -3.395492, ' (': -9.163938, ' "': -8.952274}
{' A': -0.0096333185, 'A': -9.712828, ' B': -4.683233, ' (': -9.116656, ' "': -9.207003}
{' A': -0.024314418, 'A': -9.726815, ' B': -3.743684, ' (': -9.26056, ' "': -8.986649}
{' A': -0.0022540619, ' B': -6.2341566, ' (': -9.22412, ' "': -9.440494, 'A': -9.675488}
{' b': -9.353096, ' A': -3.089909, 'B': -10.438153, ' B': -0.046896785, ' "': -9.057415}
{' b': -9.467631, ' A': -1.9212234, ' B': -0.15872844, ' (': -10.208586, ' "': -8.928972}
{' b': -9.35841, ' A': -2.6172087, ' B': -0.07615313, ' (': -10.39327, ' "': -9.027819}
{' b': -9.384032, ' A': -2.0376625, ' B': -0.14006253, ' (': -10.036154, ' "': -8.900063}
{' b': -9.345912, ' A': -2.232409, 'B': -10.424986, ' B': -0.11382342, ' "': -9.073363}
{' b': -9.214488, ' A': -1.5320125, ' B': -0.24401806, ' (': -9.78844, ' "': -8.768865}
{' b': -9.464591, ' A': -1.6569892, ' B': -0.21202397, ' (': -10.134685, ' "': -9.007427}
{' b': -9.519884, ' A': -1.420818, ' B': -0.27697536, ' (': -9.912111, ' "': -8.7112665}
{' b': -9.528705, ' A': -2.3533595, ' B': -0.10021608, ' (': -10.323855, ' "': -9.062624}
{' B': -0.18144839, ' A': -1.7981628, ' "': -8.961977, ' b': -9.623328, ' (': -10.094746}
{' b': -9.367588, ' A': -1.3530271, ' B': -0.29961178, ' (': -9.68236, ' "': -8.700994}
{' B': -0.28645086, ' A': -1.3914427, ' "': -8.922378, ' b': -9.500571, ' (': -10.100528}
{' b': -9.425312, ' A': -1.4798911, ' B': -0.25881597, ' (': -10.075207, ' "': -8.900688}
{' B': -0.2695349, ' A': -1.4443225, ' "': -8.893303, ' b': -9.608207, ' (': -10.065183}
{' b': -9.226623, ' A': -3.278782, 'B': -10.472886, ' B': -0.038682915, ' "': -9.354462}
{' b': -9.478572, ' A': -0.608015, ' B': -0.78726196, ' (': -9.512846, ' "': -8.661317}
{' A': -0.6439214, ' B': -0.74569756, ' "': -8.914727, ' (': -9.867312, 'A': -9.957709}
{' A': -0.3967492, 'A': -9.779611, ' B': -1.1177422, ' (': -9.378267, ' "': -8.567425}
{' b': -9.5085745, ' A': -1.1109436, ' B': -0.40003836, ' (': -9.640648, ' "': -8.613393}
{' b': -9.764501, ' A': -0.6781133, ' B': -0.7094129, ' (': -9.46097, ' "': -8.496722}
{' A': -0.36621025, ' B': -1.1838602, ' "': -8.424695, ' (': -9.105881, 'A': -9.838043}
{' A': -0.20870294, ' B': -1.6716524, ' "': -8.707159, ' (': -9.44273, 'A': -9.67015}
{' A': -0.23086396, 'A': -9.711003, ' B': -1.5811943, ' (': -9.54971, ' "': -8.696987}
{' A': -0.13986973, 'A': -9.619865, ' B': -2.039354, ' (': -9.479576, ' "': -8.727277}
{' A': -0.4190632, 'A': -9.858477, ' B': -1.0731465, ' (': -9.680342, ' "': -8.765177}
{' A': -0.014553467, 'A': -9.699035, ' B': -4.26051, ' (': -9.43191, ' "': -8.995147}
{' A': -0.07092655, ' B': -2.6860006, ' "': -9.066776, 'A': -9.609141, ' (': -9.79543}
{' A': -0.051623613, 'A': -9.614837, ' B': -2.9965582, ' (': -9.552346, ' "': -8.914222}
{' A': -0.1017871, 'A': -9.65253, ' B': -2.3394732, ' (': -9.507087, ' "': -8.762114}
{' A': -0.027741067, ' B': -3.6096902, ' "': -9.194765, 'A': -9.621813, ' (': -9.646056}
{' A': -0.032155756, 'A': -9.617302, ' B': -3.4646316, ' (': -9.4496565, ' "': -8.955838}
{' A': -0.052379444, 'A': -9.605722, ' B': -2.9819963, ' (': -9.593012, ' "': -8.996819}
{' A': -0.06906962, ' B': -2.7129638, ' "': -8.795691, ' (': -9.426126, 'A': -9.596932}
{' A': -0.02322069, 'A': -9.556418, ' B': -3.7876115, ' (': -9.620645, ' "': -9.180191}
{' A': -0.05748024, 'A': -9.610249, ' B': -2.8908274, ' (': -9.717964, ' "': -8.972361}
{' A': -0.0046514133, 'A': -9.55677, ' B': -5.442807, ' (': -9.387914, ' "': -9.210997}
{' b': -9.409618, ' A': -2.8296998, ' B': -0.06155145, ' (': -9.041727, ' "': -8.156047}
{' b': -9.493131, ' A': -1.8261198, ' B': -0.17655493, ' (': -8.755409, ' "': -7.907185}
{' b': -9.411642, ' A': -2.4840965, ' B': -0.08782022, ' (': -8.930667, ' "': -8.18829}
{' b': -9.514364, ' A': -1.917453, ' B': -0.15988861, ' (': -8.635636, ' "': -8.037205}
{' b': -9.305644, ' A': -2.003604, ' B': -0.14573574, ' (': -8.965493, ' "': -7.980494}
{' B': -0.14601678, ' A': -2.001884, ' "': -7.989084, ' (': -8.806277, " '": -9.356826}
{' b': -9.677147, ' A': -1.9888428, ' B': -0.14788513, ' (': -8.980482, ' "': -8.299639}
