{' No': -0.04760396, ' Yes': -3.703295, 'No': -4.0001245, '\n': -5.8247437, 'Yes': -7.8260674}
{' No': -1.1298506, '\n': -1.0114025, 'No': -3.047667, ' Yes': -1.5839618, ' Unfortunately': -3.7277167}
{' Yes': -0.4404792, '\n': -1.4980582, ' No': -2.812952, 'Yes': -2.9703672, 'No': -4.721032}
{' No': -0.62813926, '\n': -1.5266721, ' Yes': -2.2323148, 'No': -2.5510118, ' Unfortunately': -3.2401273}
{' Yes': -1.0626714, '\n': -1.2397783, ' No': -1.2557352, 'No': -3.2984576, 'Yes': -3.8020775}
{' No': -1.906566, '\n': -0.44769612, ' ': -4.1348734, 'No': -3.5626614, ' Yes': -1.9754118}
{'\n': -4.1901183, ' ': -7.406511, ' Yes': -0.045713194, ' The': -7.3078337, 'Yes': -3.5907168}
{' No': -4.030218, '\n': -3.1630135, ' Yes': -0.09866748, ' The': -5.0805535, 'Yes': -3.7559683}
{' Hospital': -1.0425898, '\n': -1.2908274, ' No': -1.324429, ' Yes': -2.9869044, 'No': -4.284534}
{'\n': -1.2596676, ' ': -3.7490513, ' Yes': -0.602134, ' Sur': -2.2470734, 'Yes': -3.9985125}
{' No': -0.13156812, '\n': -2.5168543, 'No': -3.6358693, ' Unfortunately': -5.055507, ' Yes': -5.2149305}
{' No': -1.3415606, '\n': -1.2496455, ' Yes': -1.000334, ' The': -3.8453293, 'Yes': -4.113964}
{' No': -0.18357031, '\n': -2.4563096, 'No': -3.8248093, ' Yes': -2.9534807, ' The': -5.436607}
{' Yes': -0.1413765, '\n': -2.6224422, 'Yes': -3.2964475, ' No': -4.038124, 'No': -6.4786544}
{'\n': -0.43496662, ' Yes': -1.6068414, ' No': -2.36161, ' Hospital': -3.7456753, ' ': -4.4640207}
{' Yes': -0.34244442, '\n': -1.4243366, 'Yes': -3.5894535, ' No': -4.3505716, ' ': -5.28559}
{' No': -0.32601666, '\n': -1.6209595, 'No': -3.1936734, ' Yes': -3.483472, ' ': -5.6300726}
{' Yes': -0.60478914, '\n': -1.2885869, ' No': -2.1064522, 'Yes': -3.9179032, ' Patient': -3.980815}
{' Yes': -0.7257026, '\n': -0.91563636, ' No': -2.3672202, 'Yes': -4.374583, 'No': -5.5196266}
{' No': -6.463537, '\n': -2.5433888, ' ': -6.3845935, ' Yes': -0.1160262, 'Yes': -3.6179774}
{'\n': -0.36783206, ' No': -1.6856116, ' Unfortunately': -3.0043237, 'No': -3.6752832, ' Yes': -3.870342}
{' Yes': -0.37025288, '\n': -1.2786982, 'Yes': -3.7932928, ' ': -5.4481106, ' No': -6.1716805}
{' No': -0.61497337, '\n': -1.096083, 'No': -3.1887705, ' Yes': -3.2244112, ' Unfortunately': -3.5249732}
{' Yes': -0.7528272, '\n': -1.2082182, ' No': -1.6643968, 'Yes': -4.198836, 'No': -4.562136}
{' No': -2.3339548, '\n': -0.6991739, 'No': -5.1178885, ' Yes': -0.9773092, 'Yes': -4.37687}
{' Yes': -0.03841691, 'Yes': -3.6368892, '\n': -4.574033, ' ': -7.462842, ' yes': -8.735537}
{'\n': -4.42475, ' ': -7.307313, ' Yes': -0.04307435, ' The': -6.924334, 'Yes': -3.612946}
{'\n': -3.5265372, ' ': -5.9304256, ' Yes': -0.08317788, ' Sur': -4.250736, 'Yes': -3.4544048}
{' No': -0.27357894, '\n': -2.0180418, ' ': -5.066758, 'No': -3.1785815, ' Yes': -3.0046294}
{' Yes': -0.07181652, '\n': -3.2399797, 'Yes': -4.100909, ' No': -5.0835447, ' Patient': -5.8520875}
{' No': -2.4379454, '\n': -2.847312, ' Yes': -0.1802855, ' The': -5.3013277, 'Yes': -4.53551}
{' Yes': -0.39605728, ' No': -1.5076677, '\n': -2.5408156, 'Yes': -4.1448727, 'No': -4.8006344}
{' No': -3.999824, '\n': -3.7698803, ' Yes': -0.07305334, ' The': -6.715854, 'Yes': -3.691862}
{'\n': -0.763991, ' Yes': -1.0338064, ' No': -2.1575704, ' Hospital': -3.3559327, ' ': -4.7400303}
{' No': -0.17800395, '\n': -2.3265157, 'No': -3.4592254, ' Yes': -3.5634792, ' ': -6.3355703}
{' Yes': -0.42170373, ' No': -1.9051708, '\n': -1.9201968, ' Patient': -3.839537, 'Yes': -4.3985424}
{' No': -0.45769188, '\n': -1.5460556, ' Yes': -2.0679252, 'No': -4.042889, ' The': -5.4300466}
{' Yes': -0.44875842, ' No': -1.6325408, ' Nurse': -2.6309578, 'Yes': -3.2731085, '\n': -3.3109045}
{' Doctor': -0.6267682, ' Yes': -1.0334512, ' No': -2.8911915, '\n': -3.6028178, 'Doctor': -4.6275063}
{' Hospital': -0.27662137, ' No': -1.5282102, '\n': -5.023886, 'No': -5.155066, ' Yes': -5.5052075}
{' No': -2.495828, '\n': -4.0865607, ' Yes': -1.2119592, ' Sur': -0.5557721, 'Yes': -4.708993}
{' No': -0.20582837, ' Patient': -2.575816, '\n': -3.2820268, 'Pat': -3.6682346, 'No': -3.9762826}
{' No': -0.018641016, '\n': -6.6950707, ' ': -7.951981, 'No': -4.39901, ' Yes': -5.4531617}
{'\n': -3.4491415, ' ': -6.6056085, ' Yes': -0.062175084, ' The': -7.8372135, 'Yes': -3.638482}
{' Yes': -0.09063544, '\n': -3.090355, 'Yes': -3.391081, ' ': -5.943058, ' No': -6.07238}
{' No': -1.6099728, '\n': -0.6917848, ' ': -3.9630077, 'No': -3.9810815, ' Yes': -1.502015}
{' No': -4.688612, '\n': -1.895119, ' Yes': -0.22538388, ' The': -5.418955, 'Yes': -3.4629707}
{' No': -0.70920056, '\n': -1.0197704, ' Unfortunately': -2.932467, 'No': -3.2185962, ' Yes': -3.3859448}
{' No': -1.6619394, '\n': -1.0111159, 'No': -4.261041, ' Yes': -0.90802175, 'Yes': -4.1440372}
{' No': -5.7715335, '\n': -4.280924, ' ': -7.7111588, ' Yes': -0.043972082, 'Yes': -3.6912324}
{' No': -5.5538907, '\n': -4.4715466, ' Yes': -0.08586211, 'Yes': -3.7017086, ' Doctor': -3.2358062}
{' No': -0.42861432, '\n': -1.7361703, ' Hospital': -2.1744316, 'No': -3.4783885, ' Yes': -4.3226056}
{' No': -1.6013045, '\n': -1.9322487, ' Yes': -0.6681514, ' Sur': -2.40056, 'Yes': -4.1890674}
{' No': -0.060701642, 'No': -3.1932046, '\n': -4.172316, ' Yes': -6.8092904, ' ': -7.259439}
{' No': -0.22208506, ' Yes': -2.7326174, '\n': -3.012637, ' Patient': -3.1531284, 'No': -3.5654457}
{' No': -0.7465113, ' Yes': -0.81612945, '\n': -3.138597, 'No': -3.7830596, 'Yes': -4.276424}
{' No': -0.09803601, 'No': -3.400385, ' Yes': -3.4793665, '\n': -3.7266772, ' Not': -6.388942}
{' No': -0.07246592, '\n': -3.2994518, 'No': -3.627699, ' Not': -6.3159747, ' ': -6.5793047}
{' No': -0.595427, '\n': -1.3183961, 'No': -3.96963, ' Yes': -1.9716876, ' Sur': -4.82473}
{' No': -0.02389257, ' Not': -7.976703, '\n': -6.1801004, 'No': -3.8995848, ' Yes': -7.4266214}
{' No': -0.0976321, ' Not': -6.261707, '\n': -3.9652123, 'No': -3.658545, ' Yes': -3.267197}
{' No': -0.067402475, 'No': -3.2978177, '\n': -3.9393697, ' Yes': -4.9241567, ' ': -7.661079}
{' No': -0.31533322, ' Yes': -1.7091377, '\n': -3.0926728, 'No': -3.4100366, 'Yes': -5.0862393}
{' No': -0.28152758, ' Yes': -2.0518236, '\n': -2.7700264, 'No': -3.579217, ' Doctor': -4.1141863}
{' No': -0.37461382, '\n': -1.9137679, ' Hospital': -2.410607, 'No': -3.0815113, ' Not': -4.6054907}
{' No': -0.7486551, '\n': -1.0303305, 'No': -3.7161918, ' Yes': -2.3662698, ' Sur': -3.3465993}
{' No': -0.05261734, 'No': -3.3385499, '\n': -4.3269625, ' Yes': -7.322144, ' Not': -7.402587}
{' No': -0.08625702, 'No': -3.2498674, '\n': -3.4209414, ' Yes': -6.2805405, ' Pat': -6.3775487}
{' No': -0.038067326, '\n': -4.447363, ' ': -7.9133987, 'No': -3.9948444, ' Yes': -5.0993214}
{' No': -0.034190077, 'No': -3.4462194, '\n': -6.5141244, ' Yes': -8.796372, ' ': -9.578536}
{' No': -0.040345, '\n': -6.0198593, ' ': -9.09648, 'No': -3.335549, ' Yes': -6.674206}
{' No': -0.08076914, 'No': -2.8465712, '\n': -4.0266747, ' Not': -7.5814447, ' ': -7.6486464}
{' No': -0.06253047, '\n': -3.5028532, ' ': -6.928368, 'No': -3.5496175, ' Yes': -8.373722}
{' No': -0.026659064, 'No': -3.6816216, '\n': -7.164934, ' Yes': -8.826708, ' Not': -9.504337}
{' No': -0.043399796, 'No': -3.270456, '\n': -5.6264687, ' Yes': -7.6509495, ' ': -9.137062}
{' No': -0.03729724, 'No': -3.3347957, '\n': -7.1341767, ' Yes': -9.361678, ' ': -9.844326}
{' No': -0.039815117, 'No': -3.9783275, ' Yes': -4.1545286, '\n': -5.5023413, 'Yes': -8.271453}
{' No': -0.045828875, ' Yes': -3.8719833, 'No': -4.1826406, '\n': -4.9722013, ' Doctor': -7.426836}
{' No': -0.13402665, ' Hospital': -2.9463203, '\n': -2.989627, 'No': -4.192889, ' ': -5.6251264}
{' No': -0.3984075, '\n': -1.5558344, ' Sur': -2.723597, ' Yes': -3.6076283, 'No': -4.21855}
{' No': -0.015589689, '\n': -6.036652, ' ': -8.637772, 'No': -4.382069, ' Yes': -8.184681}
{' No': -0.02074575, '\n': -5.3629026, ' ': -8.239885, 'No': -4.30759, ' Yes': -6.640353}
{' No': -0.031331502, 'No': -3.6680522, '\n': -5.4363494, ' Yes': -7.5101976, ' ': -8.800228}
{' No': -0.3226184, ' Yes': -1.797611, 'No': -2.908592, '\n': -3.0578363, 'Yes': -5.0165024}
{' No': -0.3657741, ' Yes': -1.7990131, 'No': -2.6423721, '\n': -2.857149, 'Yes': -4.7271285}
{' No': -0.18550263, '\n': -2.384645, 'No': -2.637239, ' ': -6.1079082, ' Unfortunately': -6.8136215}
{' No': -0.25104636, '\n': -2.1003582, 'No': -2.8878298, ' Yes': -3.2706785, 'Yes': -6.0323358}
{' No': -0.14170253, '\n': -4.4247456, ' ': -7.951418, 'No': -2.1409357, ' Unfortunately': -6.3012843}
{' No': -0.098338544, '\n': -3.8441155, 'No': -2.738664, ' Yes': -5.4100637, ' Unfortunately': -6.649896}
{' No': -0.219242, '\n': -3.4350681, 'No': -1.8697278, ' Yes': -4.9910865, ' Unfortunately': -6.4592505}
{' No': -2.256049, '\n': -3.1933482, 'No': -4.1241646, ' Yes': -0.24312463, 'Yes': -2.9628832}
{' Yes': -0.20307662, ' No': -2.4749844, 'Yes': -2.8477526, '\n': -3.6675136, 'No': -4.32137}
{' No': -0.6096974, '\n': -1.7643224, 'No': -2.0758078, ' Yes': -2.0759277, 'Yes': -4.392824}
{' No': -1.708866, '\n': -2.1789033, 'No': -3.1953464, ' Yes': -0.5561847, 'Yes': -2.4897115}
{' No': -0.49903122, 'No': -1.5123693, '\n': -2.3081725, ' Yes': -3.13838, ' Unfortunately': -4.305481}
{' No': -0.4123636, 'No': -1.908259, ' Yes': -2.363934, '\n': -2.5846982, 'Yes': -4.367932}
{' No': -0.45339575, '\n': -2.3210962, 'No': -1.6412237, ' Yes': -2.94293, 'Yes': -4.713814}
{' Yes': -0.6849208, ' No': -0.9153057, '\n': -2.9327595, 'No': -3.7926953, 'Yes': -4.036767}
{' No': -0.214231, ' Yes': -2.5172114, '\n': -2.723636, 'No': -3.2456903, 'Yes': -6.0588818}
{' No': -0.06520309, '\n': -3.488974, 'No': -3.4915872, ' ': -7.0006213, ' Yes': -7.516639}
{' No': -0.21647957, '\n': -2.0876896, ' ': -5.565865, 'No': -3.467704, ' Yes': -3.4431603}
{' No': -0.110912986, '\n': -4.682503, 'No': -2.372441, ' Yes': -7.5317974, ' Unfortunately': -6.833412}
{' No': -0.16520377, '\n': -2.6348503, 'No': -2.763123, ' Yes': -4.6338277, ' Unfortunately': -6.414887}
{' No': -0.08260686, 'No': -2.9279914, '\n': -3.854362, ' Yes': -5.772233, ' ': -7.6960983}
{' No': -1.5166166, '\n': -3.6543746, 'No': -3.860359, ' Yes': -0.35548374, 'Yes': -3.4899976}
{' No': -0.7516681, '\n': -0.8540947, 'No': -2.739564, ' Yes': -4.258048, ' Hospital': -4.60369}
{' No': -0.6766701, '\n': -1.484867, ' Yes': -1.66078, 'No': -2.9181192, 'Yes': -4.343899}
{' No': -0.1198749, ' Not': -6.7634983, '\n': -3.5229526, 'No': -2.543472, ' Yes': -6.1557703}
{' No': -0.28673014, '\n': -2.7624266, 'No': -2.989781, ' Yes': -2.0806754, 'Yes': -5.4212475}
{' No': -0.2746417, '\n': -2.1736667, 'No': -2.890221, ' Yes': -2.721234, 'Yes': -5.7231007}
{' No': -1.588829, '\n': -2.0240116, 'No': -3.9103773, ' Yes': -0.49829492, 'Yes': -3.4216897}
{' No': -0.7322451, '\n': -0.8763988, ' ': -4.901999, 'No': -2.5500455, ' Unfortunately': -4.6599407}
{'\n': -0.97374046, ' Yes': -1.0618734, ' No': -1.4984978, 'Yes': -3.7651377, 'No': -3.8979366}
{' No': -0.3877674, '\n': -1.7364308, ' ': -5.807529, 'No': -2.1457324, ' Unfortunately': -3.9259183}
{' No': -0.49810213, '\n': -1.4429377, ' Yes': -2.3477857, 'No': -3.1084423, 'Yes': -5.3893504}
{' No': -0.5751221, '\n': -1.2086365, 'No': -2.7165806, ' Yes': -2.7824183, 'Yes': -5.310148}
{' No': -5.7963524, '\n': -5.6958103, ' ': -8.185726, ' Yes': -0.021273252, 'Yes': -4.2645383}
{' No': -6.255404, '\n': -5.33413, ' Yes': -0.030781718, 'Yes': -3.889098, ' Doctor': -6.296089}
{' Yes': -0.83759344, ' Sur': -1.054707, ' No': -2.0978148, '\n': -2.9475043, 'Yes': -3.9351122}
{' No': -0.0806465, 'No': -2.9171753, '\n': -3.9674184, ' Yes': -6.294607, ' ': -6.6126156}
{' No': -1.5916975, '\n': -2.3680167, ' Yes': -0.51255, ' Patient': -2.7935634, 'Yes': -3.9422965}
{' No': -0.17474058, '\n': -3.9797997, 'No': -3.7742107, ' Yes': -2.1671112, 'Yes': -5.9477882}
{' No': -0.12113145, '\n': -3.234399, 'No': -3.461305, ' Yes': -3.2099183, 'Yes': -6.498225}
{' No': -0.51677215, ' Yes': -1.3750199, '\n': -2.532363, 'No': -2.9766436, 'Yes': -4.567387}
{' No': -0.54921734, '\n': -1.1622087, 'No': -2.9106655, ' Yes': -4.5736256, ' Hospital': -3.545418}
{' No': -0.09300368, 'No': -2.978183, '\n': -3.382949, ' Yes': -6.6064043, ' ': -6.8393226}
{' No': -0.24157023, '\n': -2.078404, 'No': -3.1170146, ' Yes': -3.4334512, ' Patient': -4.9935308}
{' No': -0.058277834, '\n': -3.7075164, ' ': -7.3738275, 'No': -3.5617929, ' Yes': -5.916849}
{' No': -0.051471677, 'No': -3.3703976, ' Yes': -4.782701, '\n': -4.9856567, 'Yes': -8.482653}
{' No': -0.058074664, '\n': -4.825628, ' ': -7.9984536, 'No': -3.218719, ' Yes': -4.946527}
{' No': -0.029842818, '\n': -5.2390275, ' ': -7.7745743, 'No': -3.7817633, ' Hospital': -7.7575245}
{' No': -0.18749274, '\n': -2.8758605, 'No': -3.6547546, ' Yes': -2.68619, ' Sur': -4.1507626}
{' No': -0.01602024, '\n': -6.745505, ' ': -9.432438, 'No': -4.252806, ' Yes': -8.218862}
{' No': -0.013844788, 'No': -4.343511, '\n': -7.5806265, ' Yes': -8.993457, ' ': -9.817737}
{' No': -6.833393, '\n': -4.1850395, ' Yes': -0.048444737, ' The': -7.8371296, 'Yes': -3.5090559}
{' Yes': -0.20078962, '\n': -2.6381311, ' No': -2.676547, 'Yes': -3.5856276, 'No': -5.206458}
{' No': -0.7680546, '\n': -0.8145558, 'No': -3.0178258, ' Unfortunately': -4.11515, ' Yes': -4.4160743}
{' No': -0.9933344, '\n': -1.0960146, ' Yes': -1.4508902, 'No': -3.4343247, 'Yes': -4.273267}
{' No': -0.34325743, '\n': -1.9087424, 'No': -2.2940156, ' Yes': -5.378925, ' Unfortunately': -3.6134372}
{' No': -0.5408176, '\n': -1.2559475, ' Yes': -2.718884, 'No': -2.915129, ' Unfortunately': -5.5342374}
{' No': -0.28426376, ' Yes': -1.671322, '\n': -3.6098573, 'No': -3.6261845, 'Yes': -5.356045}
{' No': -0.113010496, '\n': -3.7222116, 'No': -3.219656, ' Yes': -3.2353706, 'Yes': -6.7751513}
{' No': -0.1301166, '\n': -2.7310839, 'No': -3.0210066, ' Hospital': -5.6562085, ' ': -6.1798234}
{' No': -0.06920853, '\n': -3.361464, 'No': -3.5072653, ' ': -6.976331, ' Yes': -7.0018463}
{' No': -0.07016815, 'No': -2.80333, '\n': -5.056927, ' ': -8.169081, ' Not': -8.720749}
{' No': -0.08507978, 'No': -3.135632, '\n': -3.352557, ' Yes': -6.869166, ' ': -7.243245}
{' No': -0.05460648, '\n': -5.195056, 'No': -3.6369064, ' Yes': -3.8934145, 'Yes': -7.4490266}
{' No': -0.052962434, 'No': -3.5552795, ' Yes': -3.9717932, '\n': -5.8046026, 'Yes': -8.114748}
{' No': -0.06956356, '\n': -4.1150327, 'No': -3.586615, ' Yes': -4.447438, ' Hospital': -4.8466973}
{' No': -0.3846949, ' Yes': -1.3028315, '\n': -3.947609, 'No': -4.1173916, 'Yes': -5.1454716}
{' No': -0.03376626, 'No': -3.557646, '\n': -5.840814, ' Yes': -6.5952506, ' ': -9.15153}
{' No': -0.09066264, '\n': -5.819359, 'No': -4.06712, ' Yes': -2.7387607, 'Yes': -7.094076}
{' No': -0.027215907, 'No': -4.0106616, ' Yes': -4.9861774, '\n': -6.4222956, 'Yes': -8.7967}
{' No': -0.226509, ' Yes': -2.0010488, 'No': -3.1700287, '\n': -4.003837, 'Yes': -5.20842}
{' No': -1.0297847, '\n': -3.257024, 'No': -4.1734424, ' Yes': -0.9490885, ' Doctor': -1.6791683}
{' No': -0.09848363, '\n': -3.7865462, 'No': -4.2732787, ' Yes': -4.738889, ' Hospital': -3.108354}
{' Yes': -0.6223008, ' No': -0.99858445, '\n': -3.3822074, ' Sur': -3.387508, 'Yes': -4.3834395}
{' Band': -8.480085, ' No': -0.023628771, '\n': -5.9438257, 'No': -3.9435277, ' Yes': -7.1478276}
{'Pat': -4.5388055, ' No': -0.07305635, '\n': -3.7936065, 'No': -4.2373433, ' Pat': -4.5150537}
{' No': -0.04038267, '\n': -5.6655927, 'No': -4.052429, ' Yes': -4.0101647, 'Yes': -7.847912}
{' No': -0.02593393, 'No': -3.7476535, '\n': -6.509199, ' Yes': -7.7271075, ' ': -9.79912}
{' No': -0.034707997, 'No': -3.700155, ' Yes': -5.0860443, '\n': -6.1266804, ' Doctor': -7.2278457}
{' No': -0.028724993, 'No': -4.180765, ' Yes': -5.1309185, '\n': -5.4234295, ' Hospital': -6.4102135}
{' No': -0.044242434, '\n': -4.7138724, 'No': -3.7469552, ' Yes': -4.688434, ' Sur': -7.2857676}
{' No': -0.02917816, 'No': -3.7023444, '\n': -6.208688, ' Yes': -6.3252254, ' ': -9.076786}
{'Pat': -7.364492, ' No': -0.03343543, '\n': -4.8832297, 'No': -4.1653247, ' Yes': -4.8723044}
{' No': -0.018133413, '\n': -7.714782, ' ': -10.461686, 'No': -4.0611744, ' Yes': -8.316856}
{' No': -0.059399113, ' Yes': -3.3552706, 'No': -4.045115, '\n': -5.433638, 'Yes': -7.40353}
{' Yes': -0.5692241, ' No': -0.9338158, ' Doctor': -4.1619973, 'No': -4.6233945, 'Yes': -4.8432126}
{' No': -0.08252639, '\n': -4.8612466, 'No': -4.254264, ' Yes': -3.9397082, ' Hospital': -3.3528318}
{' No': -0.21485288, '\n': -3.4627602, 'No': -4.1665587, ' Yes': -2.2595363, ' Sur': -3.3061461}
{' Band': -8.632076, ' No': -0.019630311, '\n': -6.3744617, 'No': -4.1249156, ' Yes': -6.88257}
{' No': -0.07803435, ' Yes': -3.4159746, '\n': -3.9832428, 'No': -4.460784, 'Pat': -5.433959}
{' No': -0.027939823, 'No': -4.304921, ' Yes': -4.4708605, '\n': -6.113196, 'Yes': -8.592669}
{' No': -0.29669976, ' Yes': -1.5116732, 'No': -3.9343455, '\n': -4.4185925, 'Yes': -5.489052}
{' No': -0.1780442, ' Yes': -2.140517, 'No': -3.5703816, '\n': -4.2478185, 'Yes': -6.016802}
{' No': -0.09073796, '\n': -3.1461122, ' ': -6.66188, 'No': -3.2974162, ' Hospital': -6.079916}
{' No': -0.14000198, '\n': -2.6126583, ' ': -6.537546, 'No': -3.5320022, ' Yes': -3.6932778}
{' No': -0.06417407, '\n': -5.338462, 'No': -2.877954, ' Yes': -7.9759784, ' Unfortunately': -8.037291}
{' No': -0.086137794, 'No': -2.9244077, '\n': -3.8779027, ' Yes': -5.246067, ' Unfortunately': -7.3492603}
{' No': -0.09893921, '\n': -3.6935148, 'No': -2.8565893, ' Yes': -4.5728045, 'Yes': -7.654656}
{' No': -5.2071304, '\n': -4.0949554, 'No': -7.3161807, ' Yes': -0.07153727, 'Yes': -3.090923}
{' No': -2.7806814, '\n': -4.478479, 'No': -4.810022, ' Yes': -0.1406136, 'Yes': -3.0392778}
{' No': -0.7103576, '\n': -3.0434284, 'No': -2.341566, ' Yes': -1.0920048, 'Yes': -3.9057424}
{' No': -4.4266877, '\n': -4.55378, 'No': -6.442541, ' Yes': -0.0989369, 'Yes': -2.6864345}
{' No': -0.38862702, ' Yes': -1.6558867, 'No': -2.3514526, '\n': -4.070361, 'Yes': -4.5976186}
{' Yes': -0.7495346, ' No': -0.8061733, 'No': -3.0263214, 'Yes': -3.729004, '\n': -5.274063}
{' No': -0.83087575, '\n': -1.4307331, ' Yes': -1.7977812, 'No': -2.0776296, 'Yes': -3.7520907}
{' Yes': -0.049264606, ' No': -3.5435195, 'Yes': -4.2092814, '\n': -5.770513, 'No': -7.2025123}
{' No': -0.3762321, ' Yes': -1.347267, '\n': -3.6939657, 'No': -4.014517, ' Doctor': -5.200937}
{' No': -0.06806146, '\n': -4.8185477, 'No': -4.6592917, ' Yes': -3.4141726, ' Hospital': -4.330299}
{' No': -1.3027506, '\n': -4.295104, ' Yes': -0.37156594, ' Sur': -5.185998, 'Yes': -4.396134}
{' No': -0.024520801, 'No': -3.8979013, '\n': -5.872663, ' Yes': -7.1603675, ' ': -8.626843}
{' No': -0.21683304, ' Yes': -2.2009735, '\n': -3.5513115, 'No': -4.0838923, 'Pat': -4.343242}
{' No': -0.022669977, '\n': -6.452521, 'No': -4.349305, ' Yes': -4.8693724, 'Yes': -9.085825}
{' Yes': -0.095447354, ' No': -3.1289499, 'Yes': -3.4307835, '\n': -4.6509356, 'No': -5.503818}
{' No': -0.6583682, '\n': -1.4608679, ' Hospital': -2.4220037, ' Yes': -2.4728136, 'No': -2.7613401}
{' Yes': -0.4197456, ' No': -1.715709, '\n': -2.396083, 'Yes': -3.2842093, 'No': -3.7056224}
{' No': -0.11809753, 'No': -2.4913483, '\n': -3.8098087, ' Yes': -5.868929, ' Not': -6.730795}
{' No': -0.8358189, '\n': -2.7186348, 'No': -3.588218, ' Yes': -0.8051543, 'Yes': -4.3914847}
{' No': -1.0491748, '\n': -4.575845, 'No': -4.6935034, ' Yes': -0.4773897, 'Yes': -4.684421}
{' No': -0.7662475, ' Yes': -0.84626275, '\n': -2.8667076, 'No': -3.4418302, 'Yes': -4.1594434}
{' No': -0.20218404, '\n': -3.1085732, 'No': -2.8520727, ' Yes': -3.335044, ' Hospital': -4.050096}
{' No': -4.664621, '\n': -4.9328566, ' Yes': -0.04468668, ' Sur': -6.431241, 'Yes': -3.7309885}
{' No': -0.09275972, '\n': -4.062698, 'No': -2.8342662, ' Yes': -5.4737086, ' Unfortunately': -5.2827067}
{' No': -0.28298697, '\n': -4.2382903, 'No': -3.5379934, ' Yes': -1.6684642, ' Patient': -5.167554}
{' No': -0.52918243, '\n': -1.8328438, 'No': -2.917135, ' Yes': -1.7112808, 'Yes': -4.6808047}
{' Yes': -0.01277052, 'Yes': -4.491917, '\n': -7.4606705, ' No': -7.461972, ' Nurse': -8.567415}
{' Yes': -0.0218151, 'Yes': -4.039473, ' Doctor': -6.564376, '\n': -6.791079, ' No': -7.127831}
{' Yes': -0.34770223, ' Sur': -1.370516, 'Yes': -3.756012, ' No': -4.8280315, '\n': -5.914402}
{' No': -0.05507367, '\n': -5.609544, ' ': -8.076213, 'No': -3.038354, ' Yes': -6.651883}
{' Yes': -0.045040146, ' Patient': -4.068737, 'Yes': -4.192957, ' No': -4.85812, '\n': -6.130642}
{' No': -0.06821735, '\n': -6.491334, 'No': -4.4763308, ' Yes': -2.9503164, 'Yes': -7.4763856}
{' No': -0.027212478, '\n': -6.7271347, 'No': -4.229309, ' Yes': -4.526514, 'Yes': -8.671635}
{' No': -0.26599067, '\n': -5.668262, 'No': -3.763322, ' Yes': -1.6107781, ' Doctor': -5.672534}
{' No': -0.09624216, '\n': -4.035739, 'No': -3.5436542, ' Yes': -4.7139616, ' Hospital': -3.4064589}
{' No': -0.043529715, 'No': -3.319645, '\n': -5.4128933, ' Yes': -6.67102, ' ': -8.262989}
{' No': -0.113158934, ' Yes': -3.106239, 'No': -3.5396402, '\n': -3.8152385, ' Patient': -4.7744327}
{' No': -0.019546244, '\n': -6.1004634, ' ': -9.077411, 'No': -4.1904464, ' Yes': -6.3426476}
{' No': -0.034527138, '\n': -5.5981364, ' ': -8.973184, 'No': -3.5414164, ' Yes': -6.9067802}
{' No': -0.25588775, '\n': -3.9757648, 'No': -3.7364156, ' Yes': -2.389593, ' Doctor': -2.4479997}
{' No': -0.026170384, '\n': -5.593379, 'No': -3.9975832, ' Yes': -6.3165483, ' Hospital': -6.641625}
{' No': -0.2411818, '\n': -4.102887, 'No': -3.9556098, ' Yes': -1.7547183, 'Yes': -5.8827014}
{' No': -0.043348253, ' Yes': -3.9663067, 'No': -4.136364, '\n': -5.0757117, 'Yes': -8.195081}
{' No': -0.010853407, '\n': -7.8207054, ' ': -10.008694, 'No': -4.593222, ' Yes': -8.548883}
{' Yes': -0.04752539, 'Yes': -3.3739183, '\n': -4.567894, ' No': -6.727749, ' ': -8.6047945}
{' Yes': -0.1503923, 'Yes': -3.0147984, ' No': -3.127668, '\n': -3.2725902, 'No': -5.231302}
{' No': -0.16850904, 'No': -2.3975797, '\n': -3.5745604, ' Yes': -4.172198, ' Unfortunately': -4.4744473}
{' Yes': -0.65526116, ' No': -0.95175284, '\n': -3.3950016, 'No': -3.506286, 'Yes': -3.7489576}
{' No': -0.14406176, '\n': -4.8903365, 'No': -2.2007346, ' Yes': -5.7896094, ' Unfortunately': -4.7612395}
{' No': -0.42274004, '\n': -1.984996, ' Yes': -2.1746645, 'No': -2.5607674, 'Yes': -4.648324}
