{' No': -0.018724639, 'No': -4.150448, '\n': -6.2535415, ' Yes': -7.238859, ' ': -9.299589}
{' No': -0.081742026, 'No': -3.3944268, '\n': -3.524508, ' Yes': -4.629737, ' Unfortunately': -5.656403}
{' No': -1.1833273, '\n': -1.7323842, 'No': -4.54773, ' Yes': -0.75180304, ' Patient': -4.2192464}
{' No': -0.23385637, '\n': -1.910862, 'No': -4.0522976, ' Yes': -3.2616713, ' The': -6.33025}
{' No': -0.15698686, ' Yes': -2.5498283, 'No': -3.022656, '\n': -4.3614454, 'Yes': -5.617956}
{' No': -1.1420726, 'No': -4.316482, ' Yes': -0.69780904, 'Yes': -4.428003, ' Doctor': -1.957897}
{' No': -0.54511726, ' Hospital': -1.0068921, ' Yes': -3.405961, 'No': -4.3632784, '\n': -5.318095}
{' Sur': -0.82922274, ' No': -0.99843895, ' Yes': -1.990121, '\n': -3.8362377, 'No': -4.5788636}
{' No': -0.100277364, ' Patient': -3.2464526, '\n': -3.7815363, 'No': -4.160877, 'Pat': -4.8702493}
{' No': -0.016975049, 'No': -4.3637385, ' Yes': -6.120019, '\n': -6.794608, ' ': -7.594074}
{' No': -3.806599, '\n': -2.3538039, ' ': -5.9326057, ' Yes': -0.15930387, 'Yes': -3.7921965}
{' No': -5.8538, '\n': -3.638594, ' ': -6.6858063, ' Yes': -0.060215533, 'Yes': -3.6573646}
{'\n': -0.7187964, ' No': -1.0220762, ' Yes': -2.7716336, ' Unfortunately': -3.1942143, 'No': -3.5467076}
{' No': -4.7077436, '\n': -0.9528971, ' ': -5.403018, ' Yes': -0.55432606, 'Yes': -3.822892}
{' No': -0.34048256, '\n': -1.6959933, 'No': -3.6249902, ' Yes': -3.8601966, ' Unfortunately': -2.9976556}
{'\n': -1.0248069, ' Yes': -1.1485443, ' No': -1.2744807, 'No': -4.0695705, 'Yes': -4.5463595}
{' No': -0.15410604, '\n': -2.6460416, 'No': -3.3523023, ' Yes': -3.3876758, 'Yes': -6.7769856}
{' No': -3.2321057, '\n': -4.02879, 'No': -6.360913, ' Yes': -0.085720666, 'Yes': -3.8563828}
{' No': -0.31346145, '\n': -1.7924348, ' ': -5.511983, 'No': -3.2980137, ' Hospital': -3.027811}
{' No': -0.109681726, '\n': -2.6183715, ' ': -6.408963, 'No': -3.8535016, ' Yes': -5.120954}
{' No': -0.04548917, '\n': -4.8710427, ' ': -8.153729, 'No': -3.3760839, ' Yes': -6.4247026}
{' No': -0.09618448, '\n': -3.3885086, 'No': -3.507283, ' Yes': -3.8589082, ' Patient': -6.2963405}
{' No': -0.07265786, 'No': -3.24978, '\n': -3.6941102, ' Yes': -5.34525, ' Unfortunately': -7.4722137}
{' No': -0.070904724, ' Not': -7.2408576, '\n': -4.5002084, 'No': -3.2942894, ' Yes': -3.9976666}
{' No': -0.0902816, '\n': -3.2813327, 'No': -3.7025917, ' Yes': -5.0444536, ' Hospital': -4.5437956}
{' No': -0.08363082, '\n': -2.9254773, 'No': -3.808179, ' Yes': -6.362971, ' ': -6.7211833}
{' No': -0.04235369, '\n': -4.9116125, ' ': -8.444934, 'No': -3.4664333, ' Yes': -6.072907}
{' No': -0.036495846, ' Not': -8.989464, '\n': -6.661832, 'No': -3.4901662, ' Yes': -5.612767}
{' No': -0.049373686, ' Not': -7.85162, '\n': -4.337984, 'No': -3.4286802, ' Yes': -6.3866096}
{' No': -0.050428245, '\n': -4.011154, ' ': -7.728827, 'No': -3.652681, ' Yes': -5.579061}
{' No': -0.22517236, ' Yes': -1.9872344, '\n': -3.4338324, 'No': -3.6832736, 'Yes': -5.893259}
{' No': -0.13002671, ' Hospital': -3.2589557, '\n': -3.2963169, 'No': -3.4035232, ' Yes': -5.373061}
{' No': -0.17151615, '\n': -2.141157, ' ': -6.400887, 'No': -3.7574482, ' Yes': -4.5854125}
{' No': -0.05949096, '\n': -4.141206, 'No': -3.4030638, ' Yes': -6.2988935, ' Unfortunately': -5.4352674}
{' No': -0.030634392, 'No': -3.776154, '\n': -5.4542465, ' Unfortunately': -6.144539, ' Not': -8.165119}
{' No': -0.021531623, '\n': -5.309028, ' ': -8.41328, 'No': -4.1834617, ' Yes': -7.602292}
{' No': -0.034083996, 'No': -3.5560222, '\n': -5.4556465, ' Yes': -7.562469, ' ': -9.277292}
{' No': -0.08196248, 'No': -2.864927, '\n': -4.4896007, ' Yes': -4.631723, 'Yes': -7.966022}
{' No': -0.042486895, '\n': -4.8669934, 'No': -3.460343, ' Yes': -7.008088, ' Hospital': -7.3633924}
{' No': -0.044292964, ' Not': -9.072824, '\n': -3.8688474, ' ': -7.960301, 'No': -3.8315413}
{' No': -0.024908392, 'No': -3.7643034, '\n': -6.9716854, ' Yes': -8.510942, ' Not': -9.035746}
{' No': -0.06231635, 'No': -2.9567559, '\n': -5.016399, ' Yes': -7.122178, ' Unfortunately': -7.6680384}
{' No': -0.017105702, 'No': -4.120074, '\n': -7.4690065, ' Yes': -9.598409, ' ': -9.950443}
{' No': -0.028055733, '\n': -5.1101995, ' ': -8.688694, 'No': -3.8932977, ' Yes': -7.073823}
{' No': -0.10854693, ' Yes': -2.8913684, 'No': -3.755323, '\n': -3.9584138, ' Doctor': -6.3199735}
{' No': -0.16772334, ' Hospital': -2.2865818, '\n': -3.527329, 'No': -4.5664735, ' Yes': -4.969229}
{' No': -0.03852395, '\n': -3.7551682, ' ': -7.686718, 'No': -4.3214808, ' Unfortunately': -8.100685}
{' No': -0.009366451, '\n': -7.2886214, 'No': -4.8023314, ' Yes': -9.039662, ' Unfortunately': -8.716472}
{' No': -0.015997104, '\n': -6.0315714, 'No': -4.476431, ' Yes': -7.763741, ' Unfortunately': -6.9853516}
{' No': -0.020007193, '\n': -6.297196, ' ': -9.22229, 'No': -4.043164, ' Yes': -8.748019}
{' No': -0.11611522, 'No': -2.5097597, '\n': -3.693376, ' Unfortunately': -6.145456, ' ': -7.180982}
{' No': -0.16707103, 'No': -2.4014382, '\n': -3.0849636, ' Yes': -4.3002496, ' Unfortunately': -6.488822}
{' No': -0.15783675, '\n': -2.9176118, ' ': -6.5468984, 'No': -2.4684122, ' Unfortunately': -5.4413314}
{' No': -0.20552312, '\n': -2.4278703, 'No': -2.435206, ' Unfortunately': -5.1648445, ' Yes': -6.302136}
{' No': -0.111056246, '\n': -4.1526213, 'No': -2.5276728, ' Yes': -7.3080583, ' Unfortunately': -4.8683653}
{' No': -0.09259252, 'No': -2.7171004, '\n': -4.0826206, ' Unfortunately': -5.6271987, ' Yes': -6.9843674}
{' No': -0.18127576, '\n': -3.5570102, ' ': -6.962532, 'No': -2.022609, ' Unfortunately': -5.9351697}
{' No': -0.26178384, 'No': -2.0366821, '\n': -2.9333804, ' Yes': -3.3643954, ' Unfortunately': -5.145752}
{' Yes': -0.5871613, ' No': -1.1018766, 'No': -3.1923113, 'Yes': -3.3691456, '\n': -3.4463742}
{' No': -0.47554648, '\n': -1.5308197, 'No': -2.2546716, ' Yes': -3.5377316, ' Unfortunately': -4.1111073}
{' No': -0.5619512, '\n': -1.6220096, 'No': -2.0152037, ' Yes': -2.725129, ' Unfortunately': -4.203091}
{' No': -0.27533317, 'No': -1.9003503, '\n': -2.8791254, ' Unfortunately': -3.93477, ' Yes': -4.628877}
{' No': -0.28019726, 'No': -1.9901296, '\n': -2.8031788, ' Yes': -3.439165, ' Unfortunately': -4.8991146}
{' No': -0.31686974, '\n': -2.8330135, 'No': -1.7194937, ' Yes': -3.8814867, ' Unfortunately': -5.0341735}
{' No': -0.12381081, '\n': -3.3603125, 'No': -2.924245, ' Yes': -3.6823323, 'Yes': -6.807167}
{' No': -0.48857844, '\n': -2.9181721, 'No': -3.501764, ' Yes': -1.2399079, 'Yes': -4.760446}
{' No': -0.14624698, '\n': -2.5340703, 'No': -3.2830513, ' Unfortunately': -5.530204, ' Hospital': -4.9200697}
{' No': -0.12880166, '\n': -2.4784472, 'No': -3.614027, ' Yes': -5.0854034, ' ': -6.454822}
{' No': -0.06436781, '\n': -4.7760963, 'No': -3.0333562, ' Yes': -6.2278156, ' Unfortunately': -5.8569646}
{' No': -0.061517734, '\n': -4.3029823, 'No': -3.16115, ' Yes': -6.3848376, ' Unfortunately': -6.577104}
{' No': -0.06656481, '\n': -4.1925545, ' ': -7.9688835, 'No': -3.042246, ' Yes': -7.4174495}
{' No': -0.3384126, '\n': -3.6994276, 'No': -2.7073796, ' Yes': -1.6844953, 'Yes': -4.7711535}
{' No': -0.72969127, '\n': -1.331557, ' Yes': -1.7746189, 'No': -2.9588513, ' Hospital': -4.0183706}
{' No': -0.92256916, ' Yes': -1.1213359, '\n': -1.4467657, 'No': -3.7658706, 'Yes': -4.4646893}
{' No': -0.10168322, '\n': -3.759259, 'No': -2.7289205, ' Yes': -5.6027565, ' Unfortunately': -6.1724153}
{' No': -0.21902911, ' Yes': -2.5563855, '\n': -2.733399, 'No': -3.0318322, 'Yes': -5.9455094}
{' No': -0.17902951, '\n': -2.5342007, 'No': -3.1177764, ' Yes': -3.2847173, 'Yes': -6.4738503}
{' No': -0.71794564, ' Yes': -1.4868703, '\n': -1.5050149, 'No': -3.0664122, 'Yes': -4.4063706}
{'\n': -0.7503766, ' No': -0.9089574, 'No': -2.944146, ' Yes': -2.9967105, ' Unfortunately': -4.8592324}
{' No': -1.5040178, '\n': -0.59449875, 'No': -3.9378576, ' Yes': -1.6936159, 'Yes': -4.384803}
{' No': -0.25324407, '\n': -2.0085905, 'No': -2.9701307, ' Unfortunately': -3.4803846, ' Yes': -5.800119}
{' No': -0.28141472, '\n': -1.8581339, 'No': -2.732539, ' Yes': -4.2440476, ' Unfortunately': -5.2141614}
{' No': -0.42839992, '\n': -1.3509519, ' ': -6.1105337, 'No': -2.8435245, ' Yes': -3.6882396}
{' Yes': -0.054186244, 'Yes': -3.884411, '\n': -4.09977, ' No': -4.312939, ' ': -7.192913}
{' No': -4.296449, '\n': -4.9715514, ' Yes': -0.043902766, 'Yes': -3.9119925, ' Doctor': -7.3339577}
{' Yes': -0.43362504, '\n': -2.0867393, ' No': -2.172322, ' Sur': -2.5742881, 'Yes': -3.8077934}
{' No': -0.04067216, 'No': -3.4793506, '\n': -5.031696, ' Yes': -6.4347715, ' ': -8.005694}
{' No': -1.7663214, '\n': -4.224373, ' Yes': -0.23624821, ' Patient': -5.1601872, 'Yes': -4.349327}
{' No': -0.0499622, '\n': -4.5208826, ' ': -7.3160386, 'No': -4.0627794, ' Yes': -3.9446042}
{' No': -0.085492626, ' Yes': -3.3486702, '\n': -3.686317, 'No': -3.9187255, ' ': -7.1614714}
{' No': -0.19324422, '\n': -3.2526104, 'No': -3.1162636, ' Yes': -2.4494848, 'Yes': -5.982711}
{' No': -0.1440667, '\n': -2.7511184, 'No': -3.4393187, ' Yes': -3.475577, ' Unfortunately': -6.25388}
{' No': -0.06690513, 'No': -3.2126114, '\n': -4.0119467, ' Yes': -5.7184377, ' Unfortunately': -6.5628686}
{' No': -0.24114852, '\n': -2.1144185, 'No': -3.0962856, ' Yes': -3.254109, ' Patient': -5.527159}
{' No': -0.03672455, '\n': -4.1624074, ' ': -7.1574306, 'No': -4.0175915, ' Yes': -6.6125607}
{' No': -0.054563664, 'No': -3.2426357, '\n': -4.590824, ' Yes': -5.6935954, ' ': -8.318642}
{' No': -0.10143746, 'No': -3.284438, ' Yes': -3.4370906, '\n': -3.7327125, 'Yes': -7.172972}
{' No': -0.060569152, '\n': -4.379249, 'No': -3.3211322, ' Yes': -6.0405188, ' Hospital': -5.157878}
{' No': -0.059118878, '\n': -3.4304547, 'No': -4.056111, ' Yes': -5.0985513, ' ': -7.047932}
{' No': -0.039003152, ' Not': -7.8397565, '\n': -4.6877284, 'No': -3.6648881, ' Yes': -6.194385}
{' No': -0.012547351, '\n': -6.810479, ' ': -9.030886, 'No': -4.509644, ' Yes': -8.738588}
{' No': -0.31562418, '\n': -2.0946121, 'No': -2.9743724, ' Yes': -2.4638977, ' Unfortunately': -5.3691974}
{' No': -1.9492893, '\n': -2.98201, 'No': -4.5045815, ' Yes': -0.2728901, 'Yes': -3.590143}
{' No': -1.1799139, '\n': -0.55324495, 'No': -3.81903, ' Yes': -2.8174126, ' Unfortunately': -4.3041544}
{' Yes': -0.874189, '\n': -1.0860687, ' No': -1.618734, 'Yes': -3.9736705, 'No': -4.3216395}
{' No': -0.20261352, '\n': -2.6538138, 'No': -2.965898, ' Unfortunately': -3.131496, ' Yes': -4.731502}
{' No': -0.2397536, '\n': -2.0194833, 'No': -2.8449247, ' Yes': -4.2967124, ' Unfortunately': -5.4428515}
{' No': -0.06717794, '\n': -3.7868874, ' ': -7.7699437, 'No': -3.2781804, ' Yes': -5.5881314}
{' No': -0.12236491, '\n': -4.499301, 'No': -3.4817874, ' Yes': -2.644448, 'Yes': -6.4617767}
{' No': -0.07486902, '\n': -3.430227, ' ': -6.9671607, 'No': -3.4058168, ' Hospital': -5.855316}
{' No': -0.05021732, '\n': -3.641791, 'No': -3.8309925, ' ': -7.684764, ' Yes': -8.300256}
{' No': -0.042732146, 'No': -3.30957, '\n': -5.4427586, ' Unfortunately': -7.911316, ' ': -8.553034}
{' No': -0.04634624, '\n': -4.412135, 'No': -3.4474063, ' Yes': -7.8143334, ' Unfortunately': -7.915101}
{' No': -0.045409393, 'No': -3.5339975, '\n': -4.7608976, ' Yes': -5.0944242, ' ': -8.583627}
{' No': -0.036998946, '\n': -5.941557, ' ': -8.834, 'No': -3.4404793, ' Yes': -6.657089}
{' No': -0.062238894, 'No': -3.6295931, ' Yes': -4.1461277, '\n': -4.586966, ' Hospital': -5.2257195}
{' No': -0.06616112, 'No': -3.6453276, ' Yes': -3.8993442, '\n': -4.1490045, 'Yes': -7.4218125}
{' No': -0.032425016, 'No': -3.6534746, ' Yes': -5.7205024, '\n': -6.0418224, ' ': -9.0157995}
{' No': -0.059867293, ' Yes': -3.496877, 'No': -3.9244263, '\n': -5.064376, 'Yes': -7.610462}
{' No': -0.016371893, 'No': -4.1942835, ' Yes': -7.460651, '\n': -7.5613465, ' ': -10.742621}
{' No': -0.054327074, 'No': -3.6104372, ' Yes': -4.1807804, '\n': -4.6235504, 'Yes': -7.844427}
{' No': -0.053328525, '\n': -6.001927, 'No': -3.7906332, ' Yes': -3.6491306, 'Yes': -7.771449}
{' No': -0.06863516, ' Yes': -3.803363, 'No': -4.131896, ' Hospital': -4.2053366, '\n': -4.5219107}
{' No': -0.099967584, '\n': -3.874805, 'No': -3.8524413, ' Yes': -3.047733, ' Sur': -5.7903037}
{' No': -0.024265869, 'No': -3.8220885, '\n': -6.6143284, ' Yes': -7.5232353, ' ': -9.339286}
{'Pat': -5.044015, ' No': -0.051423293, '\n': -4.696351, 'No': -4.086957, ' Pat': -4.907121}
{' No': -0.01451234, '\n': -6.863957, ' ': -10.082349, 'No': -4.4313006, ' Yes': -6.602705}
{' No': -0.032983102, 'No': -3.5852575, '\n': -5.5432158, ' Yes': -7.350835, ' ': -9.1952505}
{' No': -0.032060046, '\n': -6.765326, ' ': -9.874612, 'No': -3.551944, ' Yes': -6.4349833}
{' No': -0.04414357, 'No': -3.935541, ' Yes': -4.428783, '\n': -5.1743903, ' Hospital': -5.373039}
{' No': -0.04553695, 'No': -3.7238414, '\n': -4.4504004, ' Yes': -4.91734, ' Sur': -7.795151}
{' No': -0.026102286, 'No': -3.7792146, '\n': -6.5290375, ' Yes': -6.766256, ' ': -8.929186}
{' No': -0.063186266, ' Yes': -3.6595187, 'No': -3.7713027, '\n': -4.734113, ' Patient': -6.889632}
{' No': -0.011324173, '\n': -8.104765, ' ': -10.57307, 'No': -4.5273094, ' Yes': -9.15391}
{' No': -0.020850973, 'No': -4.312061, ' Yes': -5.575755, '\n': -5.7379775, ' ': -9.010415}
{' No': -0.16020526, ' Yes': -2.1305728, 'No': -3.896209, '\n': -5.1930685, 'Yes': -6.3551164}
{' No': -0.088829726, '\n': -5.210425, 'No': -4.43088, ' Yes': -4.013987, ' Hospital': -3.0606558}
{' No': -0.061102062, '\n': -4.0800705, 'No': -4.147455, ' Yes': -3.8641205, ' Sur': -5.616159}
{' No': -0.017735023, 'No': -4.3188844, '\n': -6.5728536, ' Yes': -6.6561704, ' Band': -6.7375283}
{' No': -0.054153275, ' Yes': -3.6759944, 'No': -4.2116413, '\n': -5.101228, ' Patient': -6.1535506}
{' No': -0.01115063, '\n': -7.2024174, ' ': -9.797066, 'No': -4.613419, ' Yes': -8.021793}
{' No': -0.06709831, 'No': -3.1842017, '\n': -3.9472766, ' Yes': -5.7206144, ' ': -7.74113}
{' No': -0.1134313, ' Yes': -2.8352044, 'No': -3.3502152, '\n': -4.483714, 'Yes': -6.437522}
{' No': -0.0809833, '\n': -3.468467, ' ': -7.2559595, 'No': -3.1336126, ' Yes': -6.4333715}
{' No': -0.08183342, '\n': -3.4611971, ' ': -7.6797853, 'No': -3.117394, ' Yes': -6.38715}
{' No': -0.048002288, 'No': -3.216566, '\n': -5.5554295, ' Yes': -6.2514377, ' Unfortunately': -7.513372}
{' No': -0.0493864, 'No': -3.2128136, '\n': -5.455129, ' Yes': -5.8173647, ' Unfortunately': -8.073077}
{' No': -0.059301015, '\n': -4.1015067, ' ': -8.271143, 'No': -3.2875934, ' Yes': -5.8288436}
{' No': -0.44676542, ' Yes': -1.8517206, '\n': -2.2033916, 'No': -2.605102, 'Yes': -4.678308}
{' Yes': -0.21156122, ' No': -2.1575472, 'Yes': -3.3184242, '\n': -3.6965466, 'No': -4.462572}
{' No': -0.7373671, '\n': -3.2284923, 'No': -2.6288657, ' Yes': -0.96805704, 'Yes': -3.8743472}
{' No': -0.7256249, ' Yes': -1.0593653, 'No': -2.3047895, 'Yes': -3.152682, '\n': -3.8552005}
{' No': -0.5124732, '\n': -4.215804, 'No': -2.7211256, ' Yes': -1.2171699, 'Yes': -4.322486}
{' No': -0.68137157, ' Yes': -0.9026354, 'No': -2.8927057, 'Yes': -3.862581, '\n': -4.7170143}
{' No': -0.4717567, '\n': -1.8285472, 'No': -2.118035, ' Yes': -2.5518692, 'Yes': -4.83536}
{' No': -0.10747018, '\n': -4.5789056, 'No': -3.970408, ' Yes': -2.642773, 'Yes': -6.672968}
{' No': -0.48222345, '\n': -4.613949, 'No': -4.197984, ' Yes': -1.0475787, 'Yes': -5.202625}
{' No': -0.22502007, ' Yes': -2.3425736, ' Hospital': -2.4557729, 'No': -4.5902047, '\n': -5.1673036}
{' No': -0.17721972, ' Yes': -2.045027, 'No': -4.3439045, '\n': -4.5630765, ' Sur': -5.156803}
{' No': -0.027492115, 'No': -3.7618692, '\n': -5.881055, ' Yes': -7.110601, ' ': -8.755829}
{' No': -0.036071293, 'No': -4.3862395, ' Yes': -4.564916, '\n': -4.5906477, ' Pat': -7.376307}
{' No': -0.013525498, 'No': -4.579373, ' Yes': -6.3466783, '\n': -6.6346, ' ': -10.036483}
{' No': -0.44022423, '\n': -4.3466725, 'No': -2.906756, ' Yes': -1.2840525, 'Yes': -4.5803876}
{' No': -0.7590249, ' Yes': -1.0561993, '\n': -2.1283963, 'No': -3.243789, ' Hospital': -4.364665}
{' No': -1.0036502, '\n': -1.5150638, 'No': -3.3641028, ' Yes': -1.0633923, 'Yes': -4.0963664}
{' No': -0.08765559, 'No': -2.8559718, '\n': -4.125198, ' Yes': -5.480581, ' Unfortunately': -5.5938177}
{' No': -0.19590439, '\n': -3.3804708, 'No': -3.021052, ' Yes': -2.4728684, ' Patient': -5.0910916}
{' No': -0.22449902, ' Yes': -1.7999556, 'No': -3.9340572, '\n': -4.368553, 'Yes': -5.798513}
{' No': -0.7756943, ' Yes': -0.81949466, '\n': -3.2561648, 'No': -3.2811415, 'Yes': -4.1265163}
{' No': -0.33574054, '\n': -3.1292663, 'No': -2.683477, ' Yes': -1.8511308, 'Yes': -5.2519603}
{' Yes': -0.28248805, ' No': -1.7223666, '\n': -3.4486277, 'Yes': -3.9599497, 'No': -4.9574704}
{' No': -0.15233567, 'No': -2.5902283, '\n': -3.5709355, ' Unfortunately': -3.7803757, ' Yes': -4.707889}
{' No': -0.24826778, 'No': -2.4142206, '\n': -2.5992236, ' Yes': -3.182966, ' Unfortunately': -4.754066}
{' No': -0.22758152, '\n': -2.2614007, 'No': -2.7951548, ' Yes': -3.4605467, ' Unfortunately': -5.763792}
{' Yes': -0.033718538, ' No': -3.931088, 'Yes': -4.590435, '\n': -6.017, 'No': -7.6361713}
{' No': -3.0561876, '\n': -6.348992, 'No': -6.6231728, ' Yes': -0.0653182, 'Yes': -4.4228125}
{' No': -2.9469368, '\n': -4.280034, ' Yes': -0.7633278, ' Sur': -0.81350815, 'Yes': -4.2470255}
{' No': -0.019326, 'No': -4.0611615, '\n': -6.806727, ' Yes': -7.3288255, ' ': -9.384872}
{' Yes': -0.033377435, 'Yes': -4.4444604, ' No': -4.665538, ' Patient': -4.9155126, '\n': -5.819102}
{' No': -0.016179062, '\n': -7.077403, 'No': -4.630505, ' Yes': -5.239766, 'Yes': -9.711179}
{' No': -0.025482414, '\n': -6.4903107, 'No': -4.055439, ' Yes': -5.094654, 'Yes': -9.190697}
{' No': -0.036730178, '\n': -6.968281, 'No': -3.7142546, ' Yes': -4.568238, 'Yes': -8.764729}
{' No': -0.032593295, '\n': -5.20731, ' ': -8.604048, 'No': -3.769438, ' Yes': -5.8057766}
{' No': -0.01977724, 'No': -4.00811, '\n': -7.176933, ' Yes': -7.604324, ' Not': -10.147544}
{' No': -0.037124697, 'No': -3.9577215, ' Yes': -4.6768646, '\n': -5.105858, ' Patient': -6.598505}
{' No': -0.011356543, 'No': -4.594385, '\n': -7.245791, ' Yes': -7.8629775, ' ': -9.995841}
{' No': -0.035836563, '\n': -4.817451, ' ': -8.760568, 'No': -3.6569283, ' Yes': -6.891505}
{' No': -0.026211808, 'No': -4.1348963, ' Yes': -4.823596, '\n': -6.5984197, ' Doctor': -8.461527}
{' No': -0.06158835, '\n': -4.8432693, 'No': -3.6926956, ' Yes': -3.8068807, ' Hospital': -5.7201056}
{' No': -0.13971907, ' Yes': -2.3713894, 'No': -3.795187, '\n': -4.534878, 'Yes': -6.3551536}
{'Pat': -6.752984, ' No': -0.09351098, '\n': -4.9979777, 'No': -3.8284352, ' Yes': -2.8616307}
{' No': -0.010076895, 'No': -4.6631627, '\n': -7.7643833, ' Yes': -9.296343, ' ': -10.004763}
{' No': -0.3643531, '\n': -2.7615697, 'No': -2.7853124, ' Yes': -1.79459, 'Yes': -4.93952}
{' No': -2.2328975, '\n': -3.6410356, 'No': -4.47679, ' Yes': -0.20991589, 'Yes': -3.2066638}
{' No': -0.34962717, '\n': -2.1651466, 'No': -2.2419362, ' Yes': -3.114504, ' Unfortunately': -3.8714452}
{' No': -0.4335889, ' Yes': -1.4108056, 'No': -3.0543392, '\n': -3.3377523, 'Yes': -4.5382905}
{' No': -0.19077088, '\n': -4.032642, 'No': -2.1819742, ' Yes': -4.656923, ' Unfortunately': -3.6906676}
{' No': -0.1662103, 'No': -2.4401894, '\n': -2.9869957, ' Yes': -4.5638657, ' Unfortunately': -5.9222198}
{' No': -0.020510701, '\n': -6.0519967, 'No': -4.5697145, ' Yes': -4.904858, 'Yes': -9.554}
{' No': -1.4546199, '\n': -6.509761, 'No': -5.6021338, ' Yes': -0.28258085, 'Yes': -4.9787097}
{' No': -0.09330935, ' Hospital': -2.743721, 'No': -4.6926193, '\n': -4.9227676, ' Yes': -4.974521}
{' No': -0.029165272, '\n': -4.7915726, 'No': -4.2538815, ' Yes': -5.8185287, ' Sur': -6.083425}
{' No': -0.021472001, '\n': -6.5628996, ' ': -9.757459, 'No': -3.9312673, ' Yes': -9.234772}
{' No': -0.023285478, 'No': -4.3392243, ' Yes': -5.254124, ' Patient': -6.0041313, '\n': -6.2714143}
{' No': -0.04582314, 'No': -3.667327, ' Yes': -4.2806807, '\n': -5.3284426, 'Yes': -7.9485807}
{' No': -0.06724034, '\n': -5.7361417, 'No': -3.2261834, ' Yes': -3.856686, 'Yes': -7.525419}
{' No': -0.03471688, 'No': -3.6233304, '\n': -5.164993, ' Yes': -6.8448663, ' Not': -8.444629}
{' No': -0.049551677, 'No': -3.5451856, '\n': -4.0845723, ' Yes': -6.2247834, ' ': -8.56603}
{' No': -0.043813273, 'No': -3.578256, ' Yes': -4.425117, '\n': -6.033405, 'Yes': -8.488122}
{' No': -0.0476244, '\n': -6.117784, 'No': -3.4708138, ' Yes': -4.40575, 'Yes': -7.9840393}
{' No': -0.03033145, '\n': -6.711605, ' ': -9.826555, 'No': -3.5917213, ' Yes': -6.944653}
{' No': -0.057464585, '\n': -4.831072, 'No': -3.5754411, ' Yes': -3.9558523, 'Yes': -7.7485256}
{' Yes': -0.28954628, ' No': -1.4857647, 'Yes': -4.344766, 'No': -4.9532027, '\n': -5.4320383}
{' No': -0.029969515, ' Not': -8.317912, '\n': -4.7508307, 'No': -3.9765196, ' Yes': -6.633554}
{' No': -0.060880456, '\n': -3.8935237, 'No': -3.603685, ' Yes': -4.581535, 'Yes': -8.112959}
{' No': -0.0363792, '\n': -6.0906615, 'No': -3.6982732, ' Yes': -4.81683, ' Unfortunately': -8.188631}
{' No': -0.017618606, 'No': -4.352177, ' Yes': -5.569227, '\n': -7.747765, ' Unfortunately': -8.724142}
{' No': -0.017998857, '\n': -6.548335, ' ': -9.816408, 'No': -4.277549, ' Yes': -6.049903}
{' No': -0.028390735, '\n': -5.292089, ' ': -9.304391, 'No': -3.8332574, ' Yes': -6.748143}
{' No': -0.04796908, 'No': -3.2792733, ' Yes': -4.98364, '\n': -6.2047625, 'Yes': -8.606229}
{' No': -0.03682225, 'No': -3.5407605, '\n': -5.2176347, ' Yes': -6.7708077, ' ': -8.577232}
{' No': -0.03171294, '\n': -5.5837946, ' ': -9.577642, 'No': -3.6161244, ' Yes': -7.9060225}
{' No': -0.028777681, '\n': -6.612306, ' ': -9.34527, 'No': -3.684877, ' Yes': -6.3781714}
{' No': -0.03398878, '\n': -6.651668, 'No': -3.6212, ' Yes': -5.2647758, 'Yes': -8.990273}
{' No': -0.01495742, '\n': -7.113588, ' ': -9.763493, 'No': -4.2904167, ' Yes': -8.301677}
{' No': -0.017071992, '\n': -6.420575, ' ': -9.733544, 'No': -4.590022, ' Yes': -5.2982993}
{' No': -0.19595595, ' Yes': -1.8514696, 'No': -4.188378, '\n': -5.712439, 'Yes': -6.2673364}
