{' No': -0.09881018, ' Yes': -2.6181371, 'No': -4.0900593, '\n': -5.7983394, 'Yes': -6.7311544}
{' No': -0.07042061, '\n': -6.633837, 'No': -3.7812266, ' Yes': -3.14673, 'Yes': -7.323033}
{' No': -0.0574976, 'No': -3.4576023, ' Yes': -3.9885812, '\n': -5.2487817, 'Yes': -8.063573}
{' No': -0.723481, '\n': -3.8386674, 'No': -3.9382274, ' Yes': -0.7810544, 'Yes': -4.2141805}
{' No': -0.046305165, '\n': -5.5348797, 'No': -3.436434, ' Yes': -4.7531457, 'Yes': -8.660671}
{' No': -0.66793114, ' Yes': -0.78678566, 'No': -4.0302815, 'Yes': -4.5075, '\n': -5.857197}
{' No': -0.28281352, ' Yes': -1.631143, 'No': -3.565963, '\n': -4.0883417, 'Yes': -5.2830157}
{' Yes': -0.018545255, 'Yes': -4.265817, ' No': -5.9351645, '\n': -6.5917435, ' yes': -8.645443}
{' No': -0.18418683, '\n': -3.9646451, 'No': -3.3865755, ' Yes': -2.1837559, 'Yes': -6.23777}
{' No': -2.9248867, '\n': -3.356403, ' Yes': -0.12659243, ' Sur': -5.24214, 'Yes': -3.8155267}
{' No': -0.038224857, ' Not': -8.3476095, '\n': -5.517715, 'No': -3.6501327, ' Yes': -4.9784427}
{' No': -0.40984628, ' Yes': -1.2032499, 'No': -3.962302, '\n': -4.810025, 'Yes': -4.9389634}
{' No': -0.030236287, 'No': -3.7249858, '\n': -5.429879, ' Yes': -6.7945485, ' ': -9.0804825}
{' No': -0.1176338, ' Yes': -2.6637192, 'No': -3.3429658, '\n': -5.557182, 'Yes': -6.2825484}
{' No': -0.026561981, '\n': -6.5594807, ' ': -9.327108, 'No': -3.7591877, ' Yes': -6.609228}
{' No': -0.030792903, '\n': -5.5132947, ' ': -9.656174, 'No': -3.6956007, ' Yes': -6.6326203}
{' No': -0.046175502, '\n': -5.5942006, ' ': -8.820335, 'No': -3.3521063, ' Yes': -5.11491}
{' No': -0.060359187, '\n': -5.526878, 'No': -3.4797258, ' Yes': -3.7682183, 'Yes': -7.503874}
{' No': -0.042497404, '\n': -5.9345584, 'No': -4.3598247, ' Yes': -3.6585634, 'Yes': -8.185125}
{' No': -2.2653275, '\n': -6.084855, 'No': -6.337959, ' Yes': -0.12641513, 'Yes': -4.5648365}
{' No': -0.046844132, '\n': -5.8474874, 'No': -4.2836146, ' Yes': -3.5525928, 'Yes': -8.286838}
{' No': -0.052461356, ' Yes': -3.4992785, 'No': -4.1871943, '\n': -5.3319964, 'Yes': -7.702486}
{' No': -0.019688485, '\n': -5.934361, ' ': -9.074957, 'No': -4.453915, ' Yes': -5.315768}
{' No': -0.8952397, '\n': -6.802546, 'No': -5.119515, ' Yes': -0.54941833, 'Yes': -4.97593}
{' No': -0.74072945, '\n': -2.3901854, 'No': -3.3392112, ' Yes': -0.9710018, 'Yes': -4.1380568}
{' No': -2.4726815, '\n': -3.1826959, 'No': -5.277577, ' Yes': -0.1728158, 'Yes': -3.6208005}
{' No': -0.17464547, '\n': -2.6258535, 'No': -2.9231253, ' Yes': -3.4552505, 'Yes': -6.801593}
{' No': -0.8502261, '\n': -2.0372322, 'No': -3.3463311, ' Yes': -0.95905375, 'Yes': -3.8089128}
{' No': -0.12883848, 'No': -2.5957801, '\n': -3.218978, ' Yes': -5.436652, ' ': -7.1971803}
{' No': -0.26503432, '\n': -3.1260989, 'No': -2.953057, ' Yes': -2.0426412, 'Yes': -5.202079}
{' Yes': -0.058329076, 'Yes': -3.5081007, '\n': -3.8974705, ' No': -5.2678814, 'No': -7.6217575}
{' Yes': -0.05456109, 'Yes': -3.4018643, '\n': -4.6915298, ' No': -4.7217627, 'No': -7.03444}
{' No': -2.7643619, '\n': -2.2342849, 'No': -4.6673365, ' Yes': -0.25117823, 'Yes': -3.213712}
{' No': -7.198074, '\n': -3.1364517, ' ': -7.4207025, ' Yes': -0.09153766, 'Yes': -3.1673505}
{' No': -0.67853636, '\n': -1.8208227, 'No': -2.8913238, ' Yes': -1.3804922, 'Yes': -4.3825116}
{' No': -3.9168446, '\n': -3.402099, 'No': -6.0013185, ' Yes': -0.11017731, 'Yes': -3.0551274}
{' Yes': -0.038409665, 'Yes': -3.7998936, ' No': -4.6890655, '\n': -5.3295984, 'No': -7.493541}
{' No': -2.3069901, '\n': -3.4016953, 'No': -5.0909333, ' Yes': -0.16910791, 'Yes': -4.2162423}
{' No': -0.67910755, ' Yes': -0.9802073, '\n': -2.651735, 'No': -3.4332483, 'Yes': -4.310795}
{' No': -0.09464137, 'No': -3.2679317, '\n': -3.3781784, ' Yes': -4.2069993, ' Unfortunately': -6.6847253}
{' Yes': -0.07215145, ' No': -3.480425, 'Yes': -3.93257, '\n': -4.1800447, 'No': -6.475569}
{' No': -1.4746399, '\n': -3.6700382, 'No': -4.5536003, ' Yes': -0.33093452, 'Yes': -4.1874003}
{' No': -1.4144367, '\n': -1.9316944, 'No': -4.1875515, ' Yes': -0.546141, 'Yes': -4.2637787}
{' No': -4.743962, '\n': -2.9382482, ' ': -7.777909, ' Yes': -0.08699839, 'Yes': -3.903948}
{' No': -0.20631184, '\n': -2.3185136, 'No': -3.1140397, ' Yes': -3.466243, ' Unfortunately': -4.8753386}
{' Yes': -0.39200556, ' No': -1.4233338, '\n': -3.0000892, 'Yes': -4.0380993, 'No': -4.4047523}
{' Yes': -0.012031549, 'Yes': -4.723413, ' No': -6.059414, '\n': -7.6454124, ' yes': -8.96967}
{' No': -6.634513, '\n': -6.876466, ' Yes': -0.018664517, ' yes': -8.235425, 'Yes': -4.1519594}
{' Yes': -0.020764312, 'Yes': -4.1848326, '\n': -5.946722, ' No': -6.5546722, ' Sur': -7.2575493}
{' No': -0.045497093, '\n': -5.943764, 'No': -3.5272434, ' Yes': -4.4309435, 'Yes': -8.226636}
{' Yes': -0.059711885, ' No': -3.310179, 'Yes': -4.158148, '\n': -5.737802, 'No': -6.6854973}
{' No': -0.030696899, '\n': -5.6431293, ' ': -9.330832, 'No': -3.7528477, ' Yes': -5.8020763}
{' No': -0.081225574, '\n': -5.1921554, 'No': -3.428935, ' Yes': -3.2580445, 'Yes': -7.1567583}
{' No': -0.09216563, 'No': -3.0309205, '\n': -3.5902371, ' Yes': -4.5547934, ' ': -7.4266424}
{' No': -0.05416561, '\n': -4.883761, 'No': -3.7248921, ' Yes': -3.911032, 'Yes': -7.939303}
{' Yes': -0.3452016, ' No': -1.3470707, '\n': -4.381254, 'Yes': -4.570978, 'No': -5.0057926}
{' No': -0.1420806, '\n': -3.8957157, 'No': -3.7958758, ' Yes': -2.4459116, 'Yes': -6.124822}
{' Yes': -0.46062613, ' No': -1.0818229, 'Yes': -4.755664, '\n': -4.858684, 'No': -4.9224715}
{' No': -0.17001532, '\n': -5.4463844, 'No': -3.6834733, ' Yes': -2.0836163, 'Yes': -6.4331684}
{' No': -2.6400247, '\n': -4.409064, ' Yes': -0.12017303, ' Sur': -4.2741075, 'Yes': -4.3700128}
{' No': -0.22671252, ' Yes': -1.7836814, 'No': -3.7664826, '\n': -4.887126, 'Yes': -5.5987153}
{' Yes': -0.04244591, '\n': -3.891403, 'Yes': -3.957727, ' No': -6.729727, ' ': -7.980776}
{' No': -4.050336, '\n': -2.7310936, 'No': -6.8376455, ' Yes': -0.116339915, 'Yes': -3.7262068}
{' Yes': -0.46512687, ' No': -1.5636662, '\n': -2.0321894, 'Yes': -4.2372255, 'No': -4.376733}
{' Yes': -0.13697833, '\n': -2.4304965, 'Yes': -3.327196, ' No': -6.0224876, ' ': -7.155193}
{' No': -0.29820156, '\n': -1.9327897, ' Yes': -3.0292249, 'No': -3.3359768, ' Unfortunately': -3.8531694}
{' No': -0.04970514, '\n': -4.767841, 'No': -3.7139885, ' Yes': -4.204643, 'Yes': -7.9592695}
{' No': -0.071537465, 'No': -3.4769673, ' Yes': -3.478903, '\n': -5.0874352, 'Yes': -7.3416405}
{' No': -0.062466074, '\n': -3.9867365, ' ': -7.6223125, 'No': -3.29509, ' Yes': -5.484669}
{' No': -0.5572287, '\n': -2.4007764, 'No': -3.787804, ' Yes': -1.2364756, ' Sur': -4.3955503}
{' No': -0.031972285, ' Not': -8.265852, '\n': -5.367465, 'No': -3.736226, ' Yes': -6.0290346}
{' No': -0.10080832, ' Yes': -2.7436192, 'No': -3.6666117, '\n': -5.4918375, 'Yes': -6.5133443}
{' No': -0.10583337, ' Yes': -3.2819557, 'No': -3.3796504, '\n': -3.612919, 'Yes': -6.685553}
{' No': -3.163832, '\n': -5.369892, 'No': -7.0665627, ' Yes': -0.061134823, 'Yes': -4.5075874}
{' No': -0.051864967, ' Yes': -3.7435114, 'No': -3.8025248, '\n': -5.525984, 'Yes': -8.178465}
{' No': -0.3628358, '\n': -3.6170356, 'No': -4.114857, ' Yes': -1.3672552, 'Yes': -5.2524424}
{' No': -0.03178965, 'No': -3.6719644, '\n': -5.718324, ' Yes': -6.1222663, ' Not': -8.709067}
{' No': -0.057346977, ' Yes': -3.4931512, 'No': -3.7456844, 'Yes': -7.2218175, '\n': -7.2452474}
{' No': -0.040382355, 'No': -3.4460845, '\n': -4.937958, ' Yes': -8.137293, ' ': -8.497726}
{' No': -0.056773297, 'No': -3.4415367, ' Yes': -4.113925, '\n': -5.0958643, 'Yes': -7.775073}
{' No': -0.03347395, 'No': -3.5983696, '\n': -5.372013, ' Yes': -7.337152, ' ': -8.517455}
{' No': -0.04706808, 'No': -3.4631124, '\n': -4.2580724, ' ': -8.457531, ' Yes': -8.586208}
{' No': -0.035815746, '\n': -5.385978, ' ': -8.779565, 'No': -3.5346408, ' Yes': -6.7586703}
{' No': -0.041913524, '\n': -5.616996, 'No': -3.5895894, ' Yes': -4.6674356, 'Yes': -8.257791}
{' No': -0.017365972, 'No': -4.5861464, ' Yes': -5.354387, '\n': -6.1465077, ' ': -9.420674}
{' Yes': -0.5567263, ' No': -0.8832414, 'Yes': -5.3130507, 'No': -5.387195, '\n': -5.6659594}
{' No': -0.020859858, 'No': -4.3083487, ' Yes': -5.3524427, '\n': -6.11081, ' ': -8.948398}
{' No': -0.016788887, 'No': -4.5782146, '\n': -5.4294972, ' Yes': -6.341022, ' ': -9.310606}
{' No': -0.015979057, '\n': -6.650117, ' ': -9.309485, 'No': -4.3025675, ' Yes': -7.1652594}
{' No': -0.11651476, '\n': -6.1836762, 'No': -4.525498, ' Yes': -2.3456311, 'Yes': -6.7924256}
{' No': -0.35979065, ' Yes': -2.0365522, '\n': -2.112848, 'No': -3.1415973, 'Yes': -5.2688365}
{' No': -3.0904489, '\n': -2.907895, 'No': -5.735235, ' Yes': -0.14814071, 'Yes': -3.423018}
{' No': -0.15643017, '\n': -2.8370864, ' ': -6.6008396, 'No': -2.7915027, ' Yes': -3.8010623}
{' No': -1.2146978, '\n': -2.1378622, 'No': -3.8290164, ' Yes': -0.6284933, 'Yes': -3.5799549}
{' No': -0.10488982, '\n': -3.49771, ' ': -7.0842175, 'No': -2.7910411, ' Yes': -5.186991}
{' No': -0.1837725, ' Yes': -2.6054015, 'No': -3.0635407, '\n': -3.1497796, 'Yes': -5.9163127}
{' Yes': -0.061053656, 'Yes': -3.477464, '\n': -3.7557654, ' No': -5.6405196, ' ': -7.4450693}
{' Yes': -0.045292947, 'Yes': -3.4950705, '\n': -4.5395665, ' No': -6.0871744, ' ': -8.195777}
{' Yes': -0.21452065, '\n': -2.3178246, ' No': -3.0216744, 'Yes': -3.3194268, 'No': -4.9846888}
{' No': -7.1712046, '\n': -3.116717, ' ': -7.0096145, ' Yes': -0.09365568, 'Yes': -3.1506264}
{' No': -0.4892258, ' Yes': -1.8135742, '\n': -2.0080035, 'No': -2.753317, ' Unfortunately': -4.3744583}
{' No': -3.7756746, '\n': -3.6970558, 'No': -5.954068, ' Yes': -0.09847639, 'Yes': -3.173723}
{' No': -3.483158, '\n': -4.282967, 'No': -6.210306, ' Yes': -0.07544932, 'Yes': -3.6829817}
{' Yes': -0.26646066, ' No': -1.8630869, '\n': -2.9592075, 'Yes': -4.245182, 'No': -4.621544}
{' No': -0.8169969, ' Yes': -0.8941167, '\n': -2.2515671, 'No': -3.6054335, 'Yes': -4.2162714}
{' No': -0.07982757, 'No': -3.4248838, '\n': -3.5570135, ' Yes': -4.3143663, ' Not': -7.316641}
{' No': -1.9500614, '\n': -3.1400545, 'No': -5.0667796, ' Yes': -0.24432737, 'Yes': -4.0534053}
{' Yes': -0.19310322, ' No': -2.4619956, '\n': -2.8725808, 'Yes': -3.6703923, 'No': -5.1799383}
{' Yes': -0.7630243, ' No': -1.2318677, '\n': -1.605935, 'No': -3.8415227, 'Yes': -4.2487288}
{' Yes': -0.13990642, '\n': -2.315802, 'Yes': -3.7203488, ' No': -5.149077, ' ': -7.3294377}
{' No': -0.27853903, '\n': -1.9012902, 'No': -3.1325963, ' Yes': -3.4046848, ' Unfortunately': -4.8065352}
{' No': -1.443259, '\n': -2.223109, 'No': -4.539969, ' Yes': -0.4736698, 'Yes': -4.0989537}
{' No': -6.2488766, '\n': -6.863692, ' Yes': -0.011065285, ' yes': -9.069246, 'Yes': -4.8581624}
{' No': -5.250181, '\n': -6.9614615, ' Yes': -0.019108228, ' yes': -8.1206875, 'Yes': -4.407145}
{' No': -5.9585223, '\n': -5.513399, ' Yes': -0.028499894, ' Sur': -4.8578534, 'Yes': -4.351874}
{' No': -0.02719496, '\n': -6.2908974, ' ': -9.098695, 'No': -3.9591138, ' Yes': -5.1875763}
{' Yes': -0.23347817, ' No': -1.6564935, 'Yes': -4.927627, '\n': -5.642146, ' Patient': -5.760413}
{' No': -0.039200567, 'No': -3.7820458, ' Yes': -4.8480325, '\n': -4.9082055, ' ': -8.438515}
{' No': -0.104937084, ' Yes': -2.6749403, 'No': -3.7527468, '\n': -5.2332096, 'Yes': -6.837815}
{' No': -0.0699841, 'No': -3.6024566, ' Yes': -3.6145644, '\n': -4.430843, ' ': -7.813436}
{' No': -0.047149178, '\n': -5.295526, 'No': -3.990335, ' Yes': -3.837562, 'Yes': -8.00027}
{' No': -1.6053303, '\n': -4.0354204, ' Yes': -0.2801028, ' Patient': -4.6877527, 'Yes': -4.565593}
{' No': -0.066214986, '\n': -4.0207167, ' ': -7.1961966, 'No': -3.720931, ' Yes': -3.8880475}
{' No': -0.27015835, ' Yes': -1.5673518, 'No': -4.4239345, '\n': -4.7094626, ' Doctor': -5.540542}
{' No': -0.04866161, '\n': -4.296077, 'No': -4.1382856, ' Yes': -4.2815065, ' Hospital': -5.8939357}
{' No': -1.0390844, ' Sur': -1.196723, ' Yes': -1.3431826, '\n': -2.8193557, 'No': -4.4907846}
{' No': -0.08044215, '\n': -3.509546, ' Yes': -3.6178014, 'No': -4.033941, ' Patient': -6.7264094}
{' No': -6.050304, '\n': -3.6738815, ' ': -7.577179, ' Yes': -0.053667072, 'Yes': -3.7666683}
{' Yes': -0.098607615, '\n': -3.1593318, 'Yes': -3.558967, ' No': -3.9823241, ' The': -6.4936876}
{' No': -1.9803145, '\n': -1.8179612, 'No': -4.4781537, ' Yes': -0.4108376, 'Yes': -3.908173}
{' No': -5.5750947, '\n': -2.2999468, ' ': -6.7876363, ' Yes': -0.16193664, 'Yes': -3.1590774}
{' No': -0.2688704, '\n': -1.940301, 'No': -3.1989985, ' Yes': -3.7406492, ' Unfortunately': -3.9514475}
{' No': -0.07223563, '\n': -4.1691594, 'No': -3.3464377, ' Yes': -4.0169716, 'Yes': -7.369299}
{' No': -0.040542986, 'No': -3.6271327, ' Yes': -4.5503025, '\n': -6.1320844, 'Yes': -8.5290165}
{' No': -0.089260526, '\n': -3.981255, 'No': -3.007918, ' Yes': -4.1142488, 'Yes': -7.683052}
{' No': -0.32168168, '\n': -2.120685, 'No': -3.3983932, ' Yes': -2.2174487, ' Sur': -4.957126}
{' No': -0.07199226, 'No': -3.2655194, '\n': -3.6931891, ' Yes': -5.1767683, ' ': -7.7747583}
{' No': -0.2303905, '\n': -5.239044, 'No': -3.482624, ' Yes': -1.804428, 'Yes': -5.306623}
{' No': -0.25260967, ' Yes': -1.734654, 'No': -3.7230437, '\n': -4.051811, 'Yes': -5.3873773}
{' No': -5.9486427, '\n': -6.227056, ' Yes': -0.01707854, ' yes': -8.370949, 'Yes': -4.4325695}
{' No': -0.16695663, ' Yes': -2.0676258, 'No': -3.9827082, '\n': -4.998574, 'Yes': -6.5909615}
{' No': -1.5178508, '\n': -2.7901688, ' Yes': -0.42430106, ' Sur': -3.1663492, 'Yes': -4.2555633}
{' No': -0.029390702, ' Not': -9.058123, '\n': -6.206587, 'No': -3.7381098, ' Yes': -5.871958}
{' No': -0.0648292, '\n': -5.5492706, 'No': -3.9340975, ' Yes': -3.2671857, 'Yes': -7.146164}
{' No': -0.045167163, 'No': -3.4266386, '\n': -4.5609446, ' Yes': -6.9876447, ' ': -8.389833}
{' No': -0.06354386, '\n': -5.954468, 'No': -3.2659686, ' Yes': -3.9094796, 'Yes': -7.3920236}
{' No': -0.047473576, 'No': -3.3481345, '\n': -4.7387633, ' Yes': -6.1729827, ' ': -8.209032}
{' No': -0.037848655, 'No': -3.533439, '\n': -5.0643225, ' Yes': -6.5616536, ' ': -9.215327}
{' No': -0.04112445, 'No': -3.375309, '\n': -5.7047596, ' Yes': -6.0010166, ' ': -8.804789}
{' No': -0.061606288, '\n': -5.299165, 'No': -3.2622309, ' Yes': -4.1480813, 'Yes': -7.584929}
{' No': -0.019457024, 'No': -4.6768665, ' Yes': -4.7682476, '\n': -6.6501083, 'Yes': -9.347376}
{' No': -1.6445397, '\n': -5.806979, 'No': -5.911007, ' Yes': -0.23199932, 'Yes': -4.8877378}
{' No': -0.024570094, ' Yes': -4.309734, 'No': -4.6448035, '\n': -6.9109817, ' ': -9.291015}
{' No': -0.012450664, '\n': -6.313768, ' ': -9.978011, 'No': -4.8248687, ' Yes': -6.039438}
{' No': -0.014324338, 'No': -4.479738, '\n': -6.436472, ' Yes': -6.838484, ' ': -9.1416}
{' No': -0.18380783, ' Yes': -1.8936886, 'No': -4.312208, 'Yes': -6.0684276, '\n': -6.514698}
{' No': -0.69643074, ' Yes': -0.925137, '\n': -2.8242993, 'No': -3.4966605, 'Yes': -4.2470913}
{' Yes': -0.17789806, ' No': -2.3813624, '\n': -3.3057609, 'Yes': -3.606895, 'No': -5.1762233}
{' No': -0.13219106, '\n': -3.130644, ' ': -7.062151, 'No': -2.8509064, ' Yes': -3.8865244}
{' Yes': -0.66389203, ' No': -1.0853875, '\n': -2.3645833, 'Yes': -3.5974019, 'No': -3.7105799}
{' No': -0.09775559, '\n': -3.8365784, ' ': -7.513052, 'No': -2.7155304, ' Yes': -5.550186}
{' No': -0.23675627, '\n': -3.643237, 'No': -3.0793848, ' Yes': -2.0216472, 'Yes': -5.2894354}
{' Yes': -0.06773676, '\n': -3.496116, 'Yes': -3.5731, ' No': -5.211728, ' ': -7.383223}
{' Yes': -0.04153059, 'Yes': -3.6803644, '\n': -4.936739, ' No': -4.971306, 'No': -7.588274}
{' No': -2.5750592, '\n': -1.8966725, 'No': -4.752595, ' Yes': -0.30962303, 'Yes': -3.5759192}
{' Yes': -0.09422375, '\n': -3.0341804, 'Yes': -3.2305188, ' ': -7.028765, ' No': -7.2333665}
{' No': -0.47031388, '\n': -1.7945344, ' Yes': -2.0727308, 'No': -2.7574632, ' Unfortunately': -4.7394843}
{' Yes': -0.115748234, ' No': -3.1629777, 'Yes': -3.3221653, '\n': -3.6907985, 'No': -5.4975176}
{' No': -4.5601683, '\n': -5.130383, 'No': -7.497935, ' Yes': -0.038788553, 'Yes': -3.8979838}
{' Yes': -0.3764132, ' No': -1.445194, '\n': -2.980749, 'No': -4.3754997, 'Yes': -4.4577155}
{' No': -0.3406022, '\n': -2.4327517, 'No': -3.1987507, ' Yes': -1.8790716, 'Yes': -5.185209}
{' No': -0.061804667, 'No': -3.3037863, '\n': -4.1190743, ' Yes': -5.200547, ' Not': -7.5729685}
{' Yes': -0.26804072, ' No': -1.773486, '\n': -3.4465036, 'Yes': -4.042384, 'No': -4.8361616}
{' Yes': -0.6544089, ' No': -0.9024043, '\n': -3.2696815, 'No': -3.8612206, 'Yes': -4.3070807}
{' Yes': -0.39113805, ' No': -1.7350576, '\n': -2.208046, 'Yes': -3.877575, 'No': -4.293306}
{' No': -4.3500915, '\n': -2.3972492, ' ': -7.3786464, ' Yes': -0.1404037, 'Yes': -3.6870668}
{' No': -0.22653861, '\n': -2.3765233, 'No': -2.9558017, ' Yes': -3.1077468, ' Unfortunately': -5.181037}
{' No': -0.9802294, '\n': -2.6691618, 'No': -3.9032755, ' Yes': -0.6631747, 'Yes': -4.1999693}
{' No': -5.0321965, '\n': -7.0687175, ' Yes': -0.017941026, ' yes': -8.851143, 'Yes': -4.60455}
{' No': -6.652621, '\n': -7.4717507, ' Yes': -0.016419457, ' yes': -8.14771, 'Yes': -4.268439}
{' Yes': -0.023851732, 'Yes': -4.288126, ' Sur': -5.1401577, '\n': -6.102511, ' No': -6.8385415}
{' No': -0.03913579, 'No': -3.5727317, ' Yes': -4.9853444, '\n': -5.812105, ' ': -8.5266905}
{' Yes': -0.086850405, ' No': -2.7143166, 'Yes': -4.4263678, '\n': -6.2857466, 'No': -6.454709}
{' No': -0.03495258, 'No': -3.5998096, '\n': -5.108013, ' Yes': -7.168673, ' ': -8.876319}
{' No': -0.056354567, 'No': -3.4010618, ' Yes': -4.186435, '\n': -5.195656, 'Yes': -8.0087385}
{' No': -0.09319158, '\n': -3.6262743, ' ': -7.345887, 'No': -3.1274223, ' Yes': -4.0845985}
{' No': -0.039512537, '\n': -5.252821, ' ': -8.4392605, 'No': -3.7114599, ' Yes': -4.7676716}
{' No': -0.24875098, ' Yes': -1.6964171, '\n': -4.102371, 'No': -4.205939, 'Yes': -5.9987698}
{' No': -0.06757011, ' Yes': -3.6026573, 'No': -3.7372475, '\n': -4.3433, 'Yes': -7.307047}
{' No': -0.45515898, '\n': -4.4756665, 'No': -4.1064115, ' Yes': -1.1469219, ' Doctor': -4.3195443}
{' No': -0.05130859, 'No': -3.7442765, ' Yes': -4.0276074, '\n': -5.0598836, ' Hospital': -6.569077}
{' Yes': -0.9582914, ' Sur': -1.0097976, ' No': -1.5757669, '\n': -3.590236, 'Yes': -5.096605}
{' No': -0.18029314, ' Yes': -2.1706514, '\n': -3.7039137, 'No': -3.8961725, 'Yes': -5.9374895}
{' Yes': -0.034130313, 'Yes': -3.9445498, '\n': -4.382517, ' No': -7.0851192, ' ': -8.144748}
{' Yes': -0.070766404, '\n': -3.3823736, 'Yes': -3.7661781, ' No': -4.703096, ' The': -7.117549}
{' No': -1.1788371, '\n': -2.4873872, 'No': -3.9403324, ' Yes': -0.5601734, 'Yes': -4.283396}
{' No': -5.7752295, '\n': -2.7360206, ' ': -7.4970884, ' Yes': -0.10540535, 'Yes': -3.4886832}
{' No': -0.17752683, '\n': -2.4441876, 'No': -3.2815208, ' Yes': -3.9574413, ' Unfortunately': -4.3040886}
{' No': -0.053782295, '\n': -4.3328595, 'No': -3.6887326, ' Yes': -4.2988095, 'Yes': -7.978333}
{' No': -0.048795845, 'No': -3.464281, ' Yes': -4.507845, '\n': -5.354496, 'Yes': -8.379966}
{' No': -0.06837033, '\n': -4.1394877, ' ': -8.106248, 'No': -3.2193367, ' Yes': -4.6589403}
{' No': -0.18481275, '\n': -2.545149, ' Yes': -2.8798945, 'No': -3.584595, ' Sur': -5.6459656}
{' No': -0.030785408, '\n': -5.531239, ' ': -9.1855135, 'No': -3.6976268, ' Yes': -6.6499467}
{' No': -0.072165735, 'No': -3.4517946, ' Yes': -3.5382702, '\n': -4.8664503, 'Yes': -7.0721827}
{' No': -0.087647855, ' Yes': -3.0883973, 'No': -3.7837234, '\n': -4.251163, 'Yes': -6.949691}
{' Yes': -0.070833385, ' No': -3.0417576, 'Yes': -4.154417, '\n': -5.7451386, 'No': -6.5872917}
{' No': -0.17846598, '\n': -3.845094, 'No': -3.5267994, ' Yes': -2.2086194, 'Yes': -6.4048743}
{' No': -0.8179101, '\n': -2.5616634, 'No': -4.1283445, ' Yes': -0.8222685, ' Sur': -4.3567533}
{' No': -0.028311023, ' Not': -8.710369, '\n': -5.750942, 'No': -3.7597408, ' Yes': -6.8528867}
{' No': -0.064395145, ' Yes': -3.5645952, 'No': -3.7345095, '\n': -4.790011, 'Yes': -7.2113714}
{' No': -0.03342705, '\n': -5.2462754, ' ': -8.780648, 'No': -3.612164, ' Yes': -7.791867}
{' No': -0.062530786, 'No': -3.3635046, ' Yes': -3.8878176, '\n': -5.3511276, 'Yes': -7.47904}
{' No': -0.04020817, 'No': -3.448661, '\n': -5.0229483, ' Yes': -7.212645, ' ': -8.390906}
{' No': -0.049420528, '\n': -4.2702494, ' ': -8.441596, 'No': -3.3916216, ' Yes': -8.232314}
{' No': -0.03954968, 'No': -3.4985719, '\n': -4.933985, ' Yes': -6.9900303, ' ': -8.294628}
{' No': -0.03629668, 'No': -3.678129, ' Yes': -5.2088356, '\n': -5.385772, 'Yes': -8.802098}
{' No': -0.02315676, ' Yes': -4.39401, 'No': -4.7525935, '\n': -6.3734927, 'Yes': -9.116362}
{' No': -2.5454588, '\n': -6.5185595, 'No': -6.9143496, ' Yes': -0.09288693, 'Yes': -4.898902}
{' No': -0.025982441, '\n': -6.0978336, ' ': -8.992079, 'No': -4.2923627, ' Yes': -4.661751}
{' No': -0.015789691, 'No': -4.6298585, '\n': -5.72633, ' Yes': -6.01253, ' ': -9.410038}
{' No': -0.010872385, '\n': -6.989826, ' ': -9.603878, 'No': -4.738135, ' Yes': -6.948839}
{' No': -0.072961904, ' Yes': -2.9458787, 'No': -4.223978, '\n': -6.152351, 'Yes': -7.1501327}
{' Yes': -0.24302088, ' No': -2.1835134, '\n': -3.0368497, 'Yes': -3.1697938, 'No': -4.4625525}
{' Yes': -0.38363466, ' No': -1.5850278, '\n': -2.745613, 'Yes': -3.4867077, 'No': -4.0806465}
{' No': -0.2629394, '\n': -2.8070698, 'No': -2.746082, ' Yes': -2.29558, 'Yes': -5.463907}
{' No': -0.7797881, ' Yes': -1.0328588, '\n': -2.1359549, 'No': -3.1949587, 'Yes': -3.7243698}
{' No': -0.12678592, 'No': -2.4307122, '\n': -3.6040123, ' Yes': -6.28373, ' Unfortunately': -7.1013722}
{' No': -0.18955135, 'No': -2.691962, ' Yes': -2.7765722, '\n': -3.2673767, 'Yes': -5.80111}
{' No': -4.5708656, '\n': -3.4184058, 'No': -6.79368, ' Yes': -0.08058383, 'Yes': -3.4453697}
{' Yes': -0.05539548, 'Yes': -3.4756908, ' No': -4.3879857, '\n': -4.781597, 'No': -6.7824955}
{' No': -3.0734172, '\n': -2.291864, 'No': -4.861234, ' Yes': -0.22177474, 'Yes': -3.1967256}
{' Yes': -0.12047629, '\n': -2.762465, 'Yes': -3.079203, ' No': -5.994829, ' ': -6.997042}
{' No': -0.38630384, '\n': -1.7432812, 'No': -2.470706, ' Yes': -3.1382647, ' Unfortunately': -4.602809}
{' No': -2.8350954, '\n': -2.9504895, 'No': -4.8590646, ' Yes': -0.18334855, 'Yes': -3.0664277}
{' Yes': -0.07055358, ' No': -3.596043, 'Yes': -3.6464124, '\n': -4.4619946, 'No': -6.234551}
{' Yes': -0.19991226, ' No': -2.2222455, '\n': -3.082009, 'Yes': -4.103429, 'No': -4.9202266}
{' No': -0.2760922, '\n': -2.3820283, ' Yes': -2.4104612, 'No': -2.9215465, 'Yes': -5.526954}
