{' 2': -0.5821651, ' 1': -1.0164589, ' two': -2.836449, ' one': -4.4423275, ' number': -5.336175}
{' #': -5.7228165, ' 1': -0.14894943, ' 2': -2.2453067, ' one': -4.0079584, ' two': -4.831129}
{' #': -5.6756787, ' 1': -0.11957767, ' 2': -2.5256214, ' one': -3.909073, ' two': -5.0863028}
{' #': -5.8061275, ' 1': -0.103879295, ' 2': -2.6643653, ' one': -4.004916, ' two': -5.275937}
{' #': -5.6893744, ' 1': -0.11797358, ' 2': -2.5352347, ' one': -3.9269981, ' two': -5.0876355}
{' 1': -0.27885345, ' 2': -1.5986223, ' one': -4.0738707, ' two': -4.082612, ' #': -5.5799685}
{' number': -5.848065, ' 1': -0.14891048, ' 2': -2.217661, ' one': -4.1640472, ' two': -4.816728}
{' #': -5.882222, ' 1': -0.10058347, ' 2': -2.6713822, ' one': -4.098361, ' two': -5.350461}
{' #': -5.9375014, ' 1': -0.07790489, ' 2': -3.0434828, ' one': -3.979865, ' two': -5.6292}
{' #': -5.6480494, ' 1': -0.176351, ' 2': -2.0631268, ' one': -4.008058, ' two': -4.6238246}
{' 1': -0.10557797, ' 2': -2.6832929, ' one': -3.8882391, ' two': -5.2092037, ' #': -5.7417607}
{' #': -5.8260064, ' 1': -0.10363407, ' 2': -2.679657, ' one': -3.962656, ' two': -5.271574}
{' #': -5.8661532, ' 1': -0.0711694, ' 2': -3.2700217, ' one': -3.817217, ' two': -5.734365}
{' #': -5.856691, ' 1': -0.084727645, ' 2': -2.9635022, ' one': -3.9089098, ' two': -5.512532}
{' #': -5.96805, ' 1': -0.06231007, ' 2': -3.394141, ' one': -3.94509, ' two': -5.9341784}
{' #': -5.7743864, ' 1': -0.1197729, ' 2': -2.5051985, ' one': -3.958888, ' two': -5.0826187}
{' number': -6.2162976, ' #': -6.083392, ' 1': -0.04918095, ' 2': -3.789953, ' one': -3.9653432}
{' #': -5.91599, ' 1': -0.05689595, ' 2': -3.5666077, ' one': -3.9206748, ' two': -6.134392}
{' number': -6.2223115, ' #': -5.9580464, ' 1': -0.04806054, ' 2': -3.935153, ' one': -3.8691146}
{' #': -5.7000146, ' 1': -0.09715077, ' 2': -2.7909868, ' one': -3.9016685, ' two': -5.3574467}
{' number': -6.2140965, ' #': -5.906643, ' 1': -0.05343214, ' 2': -3.7251465, ' one': -3.8663516}
{' #': -5.9129586, ' 1': -0.058931347, ' 2': -3.4396532, ' one': -4.0328574, ' two': -6.0544276}
{' #': -5.971423, ' 1': -0.05484338, ' 2': -3.6119874, ' one': -3.9408984, ' two': -6.1699324}
{' 1': -0.053169347, ' 2': -3.6632936, ' one': -3.9549503, ' #': -5.93103, ' number': -6.1919765}
{' number': -6.3884587, ' #': -6.080031, ' 1': -0.04473299, ' 2': -3.909708, ' one': -4.0225105}
{' #': -5.9700136, ' 1': -0.089647904, ' 2': -2.8394573, ' one': -4.014334, ' two': -5.4674344}
{' 1': -0.040272888, ' one': -3.9806564, ' 2': -4.1611586, ' number': -6.3061924, ' #': -6.3401694}
{' 1': -0.44355318, ' 2': -1.2758381, ' two': -3.0992596, ' one': -3.6914492, ' number': -5.4333906}
{' number': -5.5048027, ' 1': -0.28714293, ' 2': -1.6634359, ' one': -3.6760874, ' two': -3.6116056}
{' #': -5.6445723, ' 1': -0.19151874, ' 2': -2.1011448, ' one': -3.5350475, ' two': -4.1399307}
{' #': -5.47991, ' 1': -0.24943978, ' 2': -1.8354404, ' one': -3.5637345, ' two': -3.7074702}
{' #': -5.4695554, ' 1': -0.3082586, ' 2': -1.6213747, ' one': -3.5624013, ' two': -3.4855444}
{' number': -5.615134, ' 1': -0.18732123, ' 2': -2.1127362, ' one': -3.6290784, ' two': -4.110039}
{' #': -5.5068636, ' 1': -0.18865803, ' 2': -2.1490347, ' one': -3.4805431, ' two': -4.094019}
{' #': -5.53923, ' 1': -0.13661823, ' 2': -2.5259368, ' one': -3.502524, ' two': -4.5582657}
{' #': -5.5030828, ' 1': -0.14054075, ' 2': -2.5009627, ' one': -3.4872603, ' two': -4.5075164}
{' 1': -0.1735237, ' 2': -2.2798223, ' one': -3.4102426, ' two': -4.1476655, ' #': -5.4488044}
{' #': -5.519284, ' 1': -0.1769808, ' 2': -2.2399862, ' one': -3.460668, ' two': -4.1121593}
{' #': -5.758217, ' 1': -0.08498082, ' 2': -3.249337, ' one': -3.4507701, ' two': -5.322615}
{' #': -5.6560717, ' 1': -0.08770361, ' 2': -3.221313, ' one': -3.438436, ' two': -5.224578}
{' #': -5.6815314, ' 1': -0.08154826, ' 2': -3.3355992, ' one': -3.445413, ' two': -5.348676}
{' #': -5.4290414, ' 1': -0.17971219, ' 2': -2.227821, ' one': -3.426893, ' two': -4.133987}
{' number': -5.794617, ' 1': -0.098084204, ' 2': -2.942719, ' one': -3.5960946, ' two': -4.9148645}
{' #': -5.755545, ' 1': -0.0781343, ' 2': -3.3805578, ' one': -3.479774, ' two': -5.4064794}
{' #': -5.8226423, ' 1': -0.06309059, ' 2': -3.916961, ' one': -3.4143531, ' two': -5.86465}
{' #': -5.5279374, ' 1': -0.1219526, ' 2': -2.7217374, ' one': -3.427046, ' two': -4.686999}
{' #': -5.622834, ' 1': -0.086998716, ' 2': -3.320914, ' one': -3.338946, ' two': -5.255252}
{' #': -5.649616, ' 1': -0.108726725, ' 2': -2.9282436, ' one': -3.3678248, ' two': -4.8074226}
{' #': -5.925426, ' 1': -0.06408452, ' 2': -3.9099267, ' one': -3.383947, ' two': -5.8895097}
{' #': -5.8362155, ' 1': -0.07052749, ' 2': -3.6393292, ' one': -3.422458, ' two': -5.6648073}
{' number': -6.1455107, ' #': -5.9743, ' 1': -0.055705484, ' 2': -4.197793, ' one': -3.4364595}
{' #': -5.62971, ' 1': -0.10870114, ' 2': -2.8615508, ' one': -3.451049, ' two': -4.9021416}
{' #': -5.906018, ' 1': -0.063961245, ' 2': -3.9112132, ' one': -3.4015083, ' two': -5.806571}
{' number': -6.1437063, ' #': -5.9121413, ' 1': -0.052938174, ' 2': -4.3843093, ' one': -3.4331944}
{' number': -6.0344048, ' #': -5.886259, ' 1': -0.060329806, ' 2': -4.1795926, ' one': -3.3388999}
{' 1': -0.080031335, ' 2': -3.3920696, ' one': -3.4378479, ' two': -5.4078684, ' #': -5.627481}
{' number': -6.1694713, ' #': -5.807519, ' 1': -0.04987711, ' 2': -4.6550694, ' one': -3.4283767}
{' number': -6.06737, ' #': -5.7974105, ' 1': -0.05524524, ' 2': -4.150788, ' one': -3.4972231}
{' number': -6.213118, ' #': -5.9963098, ' 1': -0.04945084, ' 2': -4.426818, ' one': -3.50512}
{' 1': -0.0533416, ' one': -3.4853826, ' 2': -4.2546163, ' #': -5.867476, ' number': -6.14577}
{' number': -6.2724614, ' #': -5.9703507, ' 1': -0.045086037, ' 2': -4.7729926, ' one': -3.5144615}
{' number': -5.9019694, ' 1': -0.087350085, ' 2': -3.106641, ' one': -3.5927134, ' two': -5.1205654}
{' number': -6.184599, ' #': -6.3058877, ' 1': -0.046463244, ' 2': -4.734232, ' one': -3.469719}
{' number': -4.7032623, ' 1': -0.6074601, ' 2': -0.94167143, ' one': -3.962918, ' two': -3.5150833}
{' number': -4.8077755, ' 1': -0.35509422, ' 2': -1.413051, ' one': -3.7679577, ' two': -4.063422}
{' number': -4.775983, ' 1': -0.41844347, ' 2': -1.2702311, ' one': -3.730905, ' two': -3.8268573}
{' number': -4.8858685, ' 1': -0.20806476, ' 2': -1.9690015, ' one': -3.7062767, ' two': -4.663813}
{' number': -4.7367516, ' 1': -0.32970676, ' 2': -1.4970517, ' one': -3.7156937, ' two': -4.096797}
{' number': -4.763311, ' 1': -0.3196246, ' 2': -1.5209776, ' one': -3.7531476, ' two': -4.1339364}
{' 1': -0.24010281, ' 2': -1.8293247, ' one': -3.6213481, ' two': -4.4790993, ' number': -4.8222265}
{' 1': -0.2504984, ' 2': -1.7798697, ' one': -3.6382794, ' two': -4.427151, ' number': -4.8439255}
{' number': -4.7527027, ' 1': -0.32534215, ' 2': -1.5089854, ' one': -3.7175634, ' two': -4.1366615}
{' number': -4.856455, ' 1': -0.18689921, ' 2': -2.1307049, ' one': -3.5536451, ' two': -4.781849}
{' 1': -0.30071744, ' 2': -1.5928413, ' one': -3.6651025, ' two': -4.2014713, ' number': -4.7589273}
{' number': -4.821256, ' 1': -0.19682962, ' 2': -2.072829, ' one': -3.5427682, ' two': -4.7305765}
{' number': -4.8577514, ' 1': -0.1674858, ' 2': -2.2656684, ' one': -3.547065, ' two': -4.9198556}
{' number': -4.9357243, ' 1': -0.18485671, ' 2': -2.1338048, ' one': -3.5660965, ' two': -4.7826595}
{' number': -4.7479258, ' 1': -0.34848687, ' 2': -1.4497118, ' one': -3.6777167, ' two': -4.010549}
{' number': -4.929386, ' 1': -0.19624834, ' 2': -2.033246, ' one': -3.7108727, ' two': -4.659378}
{' 1': -0.14418016, ' 2': -2.4354036, ' one': -3.6059778, ' number': -4.9405, ' two': -5.1385665}
{' number': -4.9560075, ' 1': -0.1289907, ' 2': -2.617373, ' one': -3.5034122, ' two': -5.270082}
{' number': -4.782151, ' 1': -0.29152843, ' 2': -1.6309124, ' one': -3.614677, ' two': -4.2372794}
{' number': -4.9113874, ' 1': -0.18064426, ' 2': -2.1733773, ' one': -3.52738, ' two': -4.807392}
{' number': -4.84541, ' 1': -0.19696286, ' 2': -2.0632997, ' one': -3.591394, ' two': -4.6933303}
{' number': -4.96615, ' #': -5.404681, ' 1': -0.11506516, ' 2': -2.7980962, ' one': -3.481954}
{' 1': -0.13767709, ' 2': -2.5490234, ' one': -3.4777536, ' number': -4.872481, ' two': -5.174489}
{' number': -5.060854, ' 1': -0.119041145, ' 2': -2.7153392, ' one': -3.5274847, ' two': -5.3753543}
{' number': -4.8594155, ' 1': -0.21043488, ' 2': -1.9835119, ' one': -3.576925, ' two': -4.615697}
{' number': -5.088861, ' #': -5.5099387, ' 1': -0.097122654, ' 2': -2.9987528, ' one': -3.5874462}
{' number': -5.0585628, ' #': -5.4514294, ' 1': -0.093748905, ' 2': -3.0830848, ' one': -3.5474203}
{' number': -5.03304, ' #': -5.39394, ' 1': -0.09609904, ' 2': -3.0923014, ' one': -3.4839687}
{' number': -4.8707533, ' 1': -0.13994686, ' 2': -2.507323, ' one': -3.524638, ' two': -5.188036}
{' number': -5.0641923, ' #': -5.438108, ' 1': -0.08500451, ' 2': -3.3294034, ' one': -3.4680161}
{' number': -4.9631066, ' #': -5.214314, ' 1': -0.1259716, ' 2': -2.62839, ' one': -3.5905826}
{' 1': -0.092560545, ' 2': -3.113999, ' one': -3.5339265, ' number': -5.083853, ' #': -5.4571013}
{' number': -5.0626426, ' #': -5.4474764, ' 1': -0.096833885, ' 2': -3.0318139, ' one': -3.5417457}
{' number': -5.1581655, ' #': -5.527081, ' 1': -0.09409218, ' 2': -3.0445275, ' one': -3.5756211}
{' number': -4.9598618, ' 1': -0.20042604, ' 2': -2.0092888, ' one': -3.6679265, ' two': -4.6963205}
{' number': -5.116456, ' #': -5.520932, ' 1': -0.06342719, ' 2': -4.040262, ' one': -3.4620209}
{' number': -5.550265, ' 1': -0.6361692, ' 2': -0.86887157, ' one': -4.5236144, ' two': -3.420244}
{' number': -5.609222, ' 1': -0.35097665, ' 2': -1.3690374, ' one': -4.2185874, ' two': -3.947612}
{' number': -5.6482587, ' 1': -0.2902405, ' 2': -1.5441695, ' one': -4.1875887, ' two': -4.1435843}
{' 1': -0.19819881, ' 2': -1.9254173, ' one': -4.1199436, ' two': -4.519778, ' number': -5.744533}
{' 1': -0.20836444, ' 2': -1.8883572, ' one': -4.0612273, ' two': -4.427404, ' #': -5.6224923}
{' number': -5.6617, ' 1': -0.21000177, ' 2': -1.8724927, ' one': -4.0975027, ' two': -4.4368124}
{' 1': -0.17122962, ' 2': -2.0824482, ' one': -4.0941668, ' two': -4.721899, ' #': -5.695497}
{' 1': -0.17469005, ' 2': -2.055742, ' one': -4.115932, ' two': -4.6791654, ' #': -5.7555723}
{' #': -5.567186, ' 1': -0.15084781, ' 2': -2.2129378, ' one': -4.139034, ' two': -4.931304}
{' #': -5.7547474, ' 1': -0.08265943, ' 2': -2.9483857, ' one': -4.0651937, ' two': -5.639032}
{' number': -5.696197, ' 1': -0.18969941, ' 2': -1.9730723, ' one': -4.1255665, ' two': -4.547497}
{' #': -5.7907844, ' 1': -0.086988315, ' 2': -2.8739488, ' one': -4.064466, ' two': -5.6292653}
{' 1': -0.07034304, ' 2': -3.16493, ' one': -4.073366, ' #': -5.8394933, ' two': -5.8593464}
{' #': -5.6779776, ' 1': -0.15216486, ' 2': -2.2282526, ' one': -3.9996645, ' two': -4.8073087}
{' #': -5.542882, ' 1': -0.22183427, ' 2': -1.8200113, ' one': -4.0734806, ' two': -4.424986}
{' number': -5.7834516, ' 1': -0.12451446, ' 2': -2.4313326, ' one': -4.132012, ' two': -4.986964}
{' #': -5.7944226, ' 1': -0.11569075, ' 2': -2.525645, ' one': -4.066378, ' two': -5.176037}
{' #': -5.8356576, ' 1': -0.077891104, ' 2': -3.0618274, ' one': -3.9889226, ' two': -5.6374397}
{' #': -5.625557, ' 1': -0.1989364, ' 2': -1.9406778, ' one': -4.0189304, ' two': -4.494691}
{' #': -5.752352, ' 1': -0.1222502, ' 2': -2.4871166, ' one': -3.9636714, ' two': -5.0618644}
{' #': -5.8825254, ' 1': -0.08008564, ' 2': -2.9824104, ' one': -4.0739913, ' two': -5.6534877}
{' number': -6.0447335, ' #': -5.8984303, ' 1': -0.05501478, ' 2': -3.5831003, ' one': -4.0035677}
{' 1': -0.066473715, ' 2': -3.2771118, ' one': -4.013861, ' #': -5.849746, ' two': -5.9367294}
{' number': -6.103567, ' #': -5.9310975, ' 1': -0.049881686, ' 2': -3.725617, ' one': -4.0430665}
{' #': -5.757422, ' 1': -0.098567486, ' 2': -2.719768, ' one': -4.0595717, ' two': -5.4236693}
{' number': -6.023575, ' #': -6.0344815, ' 1': -0.054200277, ' 2': -3.6566896, ' one': -3.9379988}
{' number': -6.0014777, ' #': -5.92943, ' 1': -0.05710424, ' 2': -3.5536306, ' one': -3.9584334}
{' number': -6.073029, ' #': -5.996214, ' 1': -0.0445639, ' 2': -4.0521283, ' one': -3.9354577}
{' number': -5.9443, ' #': -5.8181996, ' 1': -0.06722084, ' 2': -3.2393954, ' one': -4.062259}
{' 1': -0.032120176, ' one': -4.055079, ' 2': -4.739788, ' #': -6.0090733, ' number': -6.2162914}
{' number': -6.1441684, ' #': -6.051818, ' 1': -0.041982334, ' 2': -3.9594853, ' one': -4.144958}
{' number': -6.223018, ' #': -6.047819, ' 1': -0.03941147, ' 2': -4.081917, ' one': -4.139711}
{' number': -6.2003317, ' #': -6.0642705, ' 1': -0.037506323, ' 2': -4.199171, ' one': -4.129513}
{' number': -6.3221645, ' #': -6.1487265, ' 1': -0.03459964, ' 2': -4.331103, ' one': -4.157452}
{' number': -5.8434315, ' 1': -0.13670036, ' 2': -2.3142707, ' one': -4.148083, ' two': -4.9620256}
{' number': -6.2514424, ' #': -6.264289, ' 1': -0.029661495, ' 2': -5.0361004, ' one': -4.019657}
{' #': -5.3356004, ' 1': -0.50044763, ' 2': -1.0664496, ' one': -4.446954, ' two': -3.5557551}
{' #': -5.445949, ' 1': -0.17754498, ' 2': -2.0283597, ' one': -4.2412653, ' two': -4.720844}
{' 1': -0.14853665, ' 2': -2.2234802, ' one': -4.2109795, ' two': -4.8905, ' #': -5.501075}
{' #': -5.498925, ' 1': -0.139093, ' 2': -2.3126578, ' one': -4.1513762, ' two': -4.8875356}
{' #': -5.389761, ' 1': -0.1600417, ' 2': -2.1575794, ' one': -4.1558437, ' two': -4.7731566}
{' #': -5.3746047, ' 1': -0.20238456, ' 2': -1.917808, ' one': -4.160968, ' two': -4.4269233}
{' #': -5.4292064, ' 1': -0.088725634, ' 2': -2.837915, ' one': -4.1813617, ' two': -5.5923095}
{' #': -5.5429983, ' 1': -0.10236475, ' 2': -2.629384, ' one': -4.2777777, ' two': -5.3965974}
{' #': -5.385904, ' 1': -0.13642009, ' 2': -2.3388472, ' one': -4.1254735, ' two': -4.9834814}
{' #': -5.5199423, ' 1': -0.083318576, ' 2': -2.9369905, ' one': -4.109026, ' two': -5.6404414}
{' #': -5.443661, ' 1': -0.10346099, ' 2': -2.6464412, ' one': -4.1899858, ' two': -5.362531}
{' #': -5.486866, ' 1': -0.07112741, ' 2': -3.1974242, ' one': -4.0341096, ' two': -5.8520355}
{' #': -5.541621, ' 1': -0.07633588, ' 2': -3.0799866, ' one': -4.053686, ' two': -5.7560616}
{' 1': -0.07195486, ' 2': -3.1418, ' one': -4.1046467, ' #': -5.522744, ' two': -5.818813}
{' #': -5.2936177, ' 1': -0.18027273, ' 2': -2.040237, ' one': -4.1033645, ' two': -4.6389737}
{' #': -5.725708, ' 1': -0.061933327, ' 2': -3.3583562, ' one': -4.1063266, ' two': -5.9366302}
{' number': -6.0879235, ' #': -5.6220117, ' 1': -0.055044577, ' 2': -3.5291388, ' one': -4.1401544}
{' number': -6.144204, ' #': -5.6620426, ' 1': -0.050989404, ' 2': -3.6951087, ' one': -4.068905}
{' #': -5.399951, ' 1': -0.12193442, ' 2': -2.4780953, ' one': -4.0791583, ' two': -5.114429}
{' #': -5.630831, ' 1': -0.06258099, ' 2': -3.3467243, ' one': -4.0915265, ' two': -5.995367}
{' 1': -0.06607349, ' 2': -3.2956169, ' one': -4.032239, ' #': -5.655012, ' two': -5.9040475}
{' number': -6.0366755, ' #': -5.7511716, ' 1': -0.049024813, ' 2': -3.789635, ' one': -4.0344834}
{' number': -5.9899745, ' #': -5.6123495, ' 1': -0.055497356, ' 2': -3.5473871, ' one': -4.0929556}
{' 1': -0.046444822, ' 2': -3.8745184, ' one': -4.0532084, ' #': -5.7317553, ' number': -6.1518493}
{' #': -5.488611, ' 1': -0.08858906, ' 2': -2.86874, ' one': -4.080435, ' two': -5.5508113}
{' number': -6.1714635, ' #': -5.8531036, ' 1': -0.034581807, ' 2': -4.4475303, ' one': -4.1343384}
{' number': -6.142183, ' #': -5.7787375, ' 1': -0.035686143, ' 2': -4.5313296, ' one': -4.027105}
{' number': -6.131212, ' #': -5.753649, ' 1': -0.03410669, ' 2': -4.689286, ' one': -4.0248613}
{' number': -5.95052, ' #': -5.5656705, ' 1': -0.052770145, ' 2': -3.6461442, ' one': -4.092534}
{' number': -6.1507225, ' #': -5.6859975, ' 1': -0.035656556, ' 2': -4.5118985, ' one': -4.056229}
{' 1': -0.038964048, ' one': -4.1409783, ' 2': -4.1639967, ' #': -5.757577, ' number': -6.156699}
{' 1': -0.03813568, ' one': -4.120577, ' 2': -4.209465, ' #': -5.826444, ' number': -6.233191}
{' number': -6.170581, ' #': -5.809386, ' 1': -0.03660324, ' 2': -4.3802485, ' one': -4.0720663}
{' number': -6.2468944, ' #': -5.832002, ' 1': -0.033971887, ' 2': -4.4778366, ' one': -4.1365776}
{' #': -5.702306, ' 1': -0.06252051, ' 2': -3.3027394, ' one': -4.180295, ' two': -5.980912}
{' number': -6.237358, ' #': -5.908378, ' 1': -0.028696405, ' 2': -5.284933, ' one': -4.033865}
{' 1': -0.5838518, ' 2': -0.98441976, ' two': -3.202489, ' one': -4.1190195, ' #': -5.0329676}
{' #': -5.1654506, ' 1': -0.33863488, ' 2': -1.4542887, ' one': -3.9075642, ' two': -3.757797}
{' #': -5.0752645, ' 1': -0.3633848, ' 2': -1.406527, ' one': -3.8347704, ' two': -3.6227}
{' #': -5.213081, ' 1': -0.17230837, ' 2': -2.143017, ' one': -3.871014, ' two': -4.5444794}
{' #': -5.007241, ' 1': -0.33689567, ' 2': -1.4807308, ' one': -3.8267105, ' two': -3.6964366}
{' #': -5.03453, ' 1': -0.25596756, ' 2': -1.7500625, ' one': -3.8268979, ' two': -3.9863677}
{' #': -5.1565757, ' 1': -0.20221089, ' 2': -1.9947599, ' one': -3.763452, ' two': -4.2963157}
{' 1': -0.22891407, ' 2': -1.8315961, ' one': -3.9109397, ' two': -4.2225857, ' #': -5.210378}
{' #': -4.960062, ' 1': -0.25338405, ' 2': -1.7647595, ' one': -3.7765007, ' two': -4.038149}
{' #': -5.122772, ' 1': -0.17589492, ' 2': -2.161401, ' one': -3.7135267, ' two': -4.4704227}
{' #': -5.1615405, ' 1': -0.21360336, ' 2': -1.9227555, ' one': -3.855907, ' two': -4.2212787}
{' #': -5.1288247, ' 1': -0.15985572, ' 2': -2.2845087, ' one': -3.6687474, ' two': -4.603007}
{' #': -5.217086, ' 1': -0.13246259, ' 2': -2.4948702, ' one': -3.7234411, ' two': -4.849909}
{' #': -5.1417766, ' 1': -0.1486314, ' 2': -2.3540356, ' one': -3.7276301, ' two': -4.6967673}
{' #': -5.0059657, ' 1': -0.3483798, ' 2': -1.4549128, ' one': -3.7831082, ' two': -3.6466413}
{' 1': -0.13957247, ' 2': -2.4158347, ' one': -3.7932072, ' two': -4.6768055, ' #': -5.3152666}
{' #': -5.307901, ' 1': -0.1255269, ' 2': -2.5394292, ' one': -3.771666, ' two': -4.9164853}
{' #': -5.3138056, ' 1': -0.09184196, ' 2': -3.0250618, ' one': -3.6605673, ' two': -5.3216047}
{' #': -5.0759854, ' 1': -0.21606721, ' 2': -1.9392593, ' one': -3.7120693, ' two': -4.187171}
{' #': -5.2613173, ' 1': -0.11736209, ' 2': -2.6776822, ' one': -3.6456156, ' two': -4.975272}
{' 1': -0.14700368, ' 2': -2.357287, ' one': -3.7561383, ' two': -4.6895223, ' #': -5.2401586}
{' #': -5.3418064, ' 1': -0.09104874, ' 2': -3.082187, ' one': -3.5822458, ' two': -5.3575206}
{' #': -5.221131, ' 1': -0.09874576, ' 2': -3.002663, ' one': -3.5299685, ' two': -5.22753}
{' #': -5.276869, ' 1': -0.079873346, ' 2': -3.3443596, ' one': -3.5467656, ' two': -5.5592556}
{' #': -5.0863276, ' 1': -0.18744126, ' 2': -2.1139836, ' one': -3.637074, ' two': -4.347421}
{' 1': -0.06051203, ' one': -3.6873832, ' 2': -3.73764, ' #': -5.5391116, ' number': -5.798468}
{' #': -5.367566, ' 1': -0.07318056, ' 2': -3.4617987, ' one': -3.5838902, ' two': -5.7383575}
{' number': -5.8042436, ' #': -5.4103, ' 1': -0.063698344, ' 2': -3.7343657, ' one': -3.5961747}
{' #': -5.1643267, ' 1': -0.12415971, ' 2': -2.5589647, ' one': -3.7890804, ' two': -5.0009284}
{' number': -5.812878, ' #': -5.348095, ' 1': -0.06411757, ' 2': -3.7659757, ' one': -3.5629942}
{' #': -5.4833283, ' 1': -0.07247489, ' 2': -3.3665287, ' one': -3.7102044, ' two': -5.7299013}
{' #': -5.3590946, ' 1': -0.0769863, ' 2': -3.3333724, ' one': -3.6290302, ' two': -5.6646676}
{' number': -5.8230286, ' #': -5.423671, ' 1': -0.061151553, ' 2': -3.742838, ' one': -3.6669254}
{' #': -5.4517565, ' 1': -0.06850417, ' 2': -3.4998734, ' one': -3.6703718, ' two': -5.811545}
{' #': -5.336843, ' 1': -0.13518967, ' 2': -2.4582508, ' one': -3.7362027, ' two': -4.7919936}
{' 1': -0.047584146, ' one': -3.648275, ' 2': -4.3729014, ' #': -5.662131, ' number': -5.9604545}
{' #': -5.4841685, ' 1': -0.8861924, ' 2': -0.64851195, ' one': -4.672497, ' two': -3.0531902}
{' #': -5.476237, ' 1': -0.56159854, ' 2': -0.98300797, ' one': -4.3111863, ' two': -3.391265}
{' #': -5.5075564, ' 1': -0.5296425, ' 2': -1.033072, ' one': -4.2578473, ' two': -3.409834}
{' #': -5.538173, ' 1': -0.32107016, ' 2': -1.459702, ' one': -4.17722, ' two': -3.945084}
{' #': -5.4520307, ' 1': -0.45744097, ' 2': -1.1563011, ' one': -4.2165046, ' two': -3.535892}
{' #': -5.37796, ' 1': -0.44580796, ' 2': -1.180038, ' one': -4.201915, ' two': -3.5568306}
{' #': -5.3742356, ' 1': -0.33083713, ' 2': -1.4539948, ' one': -4.039842, ' two': -3.8470552}
{' 1': -0.36666918, ' 2': -1.3440099, ' two': -3.795607, ' one': -4.151713, ' #': -5.4790187}
{' #': -5.290129, ' 1': -0.3893437, ' 2': -1.3084761, ' one': -4.071518, ' two': -3.6693118}
{' #': -5.34151, ' 1': -0.24030009, ' 2': -1.7905205, ' one': -3.8398695, ' two': -4.119799}
{' #': -5.4127455, ' 1': -0.34734666, ' 2': -1.4055132, ' one': -4.0968375, ' two': -3.7758725}
{' #': -5.319329, ' 1': -0.26634753, ' 2': -1.6854054, ' one': -3.856237, ' two': -4.021793}
{' 1': -0.24079923, ' 2': -1.7862915, ' one': -3.8596516, ' two': -4.1179867, ' #': -5.349471}
{' 1': -0.20252456, ' 2': -1.9405768, ' one': -3.9197905, ' two': -4.3839765, ' #': -5.5250587}
{' #': -5.3865066, ' 1': -0.6229718, ' 2': -0.9117902, ' one': -4.292709, ' two': -3.2410424}
{' 1': -0.20287772, ' 2': -1.922072, ' one': -4.079819, ' two': -4.3382816, ' #': -5.5839944}
{' 1': -0.19992864, ' 2': -1.9518855, ' one': -3.9681265, ' two': -4.39275, ' #': -5.4931173}
{' #': -5.680219, ' 1': -0.123824775, ' 2': -2.5026548, ' one': -3.8621728, ' two': -4.959884}
{' #': -5.3505635, ' 1': -0.3474831, ' 2': -1.4079746, ' one': -4.0247097, ' two': -3.814345}
{' #': -5.49711, ' 1': -0.16563366, ' 2': -2.1839862, ' one': -3.8172565, ' two': -4.574926}
{' #': -5.5251794, ' 1': -0.21516268, ' 2': -1.880467, ' one': -3.9352245, ' two': -4.2805047}
{' #': -5.647313, ' 1': -0.13084495, ' 2': -2.459975, ' one': -3.7870586, ' two': -4.8706446}
{' #': -5.6427245, ' 1': -0.12044623, ' 2': -2.5488117, ' one': -3.829663, ' two': -5.0019445}
{' 1': -0.116943605, ' 2': -2.5753899, ' one': -3.858351, ' two': -5.016702, ' #': -5.6688766}
{' #': -5.4899445, ' 1': -0.23465383, ' 2': -1.7964176, ' one': -3.903338, ' two': -4.1968327}
{' #': -5.808876, ' 1': -0.088483304, ' 2': -2.9138327, ' one': -3.9311748, ' two': -5.333748}
{' #': -5.662427, ' 1': -0.097260535, ' 2': -2.8289309, ' one': -3.8221385, ' two': -5.275035}
{' #': -5.659489, ' 1': -0.097601674, ' 2': -2.8238876, ' one': -3.8223655, ' two': -5.267221}
{' 1': -0.18078694, ' 2': -2.0845497, ' one': -3.8414848, ' two': -4.4852834, ' #': -5.4794574}
{' #': -5.639231, ' 1': -0.08163174, ' 2': -3.1364183, ' one': -3.7224076, ' two': -5.495903}
{' #': -5.652731, ' 1': -0.12891407, ' 2': -2.4275858, ' one': -3.969322, ' two': -4.958889}
{' #': -5.712612, ' 1': -0.10603866, ' 2': -2.6840339, ' one': -3.886724, ' two': -5.2044253}
{' 1': -0.080575235, ' 2': -3.0496798, ' one': -3.904191, ' two': -5.56703, ' #': -5.762537}
{' #': -5.8989644, ' 1': -0.07272965, ' 2': -3.1726801, ' one': -3.9311166, ' two': -5.6909485}
{' #': -5.7052402, ' 1': -0.16287562, ' 2': -2.1614528, ' one': -3.986339, ' two': -4.609189}
{' number': -6.076676, ' #': -5.987928, ' 1': -0.052239325, ' 2': -3.836039, ' one': -3.8128135}
{' #': -5.538972, ' 1': -0.8351126, ' 2': -0.6817808, ' one': -4.6642065, ' two': -3.1460998}
{' #': -5.534119, ' 1': -0.49660087, ' 2': -1.0703008, ' one': -4.3525505, ' two': -3.5822103}
{' #': -5.5153556, ' 1': -0.46601188, ' 2': -1.1300056, ' one': -4.2554154, ' two': -3.6002836}
{' #': -5.5958157, ' 1': -0.29005677, ' 2': -1.5513216, ' one': -4.160025, ' two': -4.0780582}
