{' No': -0.01724444, 'No': -4.245142, '\n': -6.1593676, ' Yes': -7.7318993, ' ': -9.192548}
{' No': -0.019189281, '\n': -4.8537607, ' ': -8.050846, 'No': -4.5664916, ' Yes': -7.9699926}
{' No': -0.013559394, '\n': -6.0608363, 'No': -4.670194, ' Yes': -6.7841887, ' Patient': -8.636598}
{' No': -0.011755897, 'No': -4.4640455, '\n': -9.063159, ' ': -10.446809, ' Yes': -11.410253}
{' No': -0.37299284, '\n': -2.5620682, 'No': -3.0147278, ' Yes': -1.7883201, 'Yes': -4.967271}
{' No': -1.0830476, '\n': -2.8800445, 'No': -3.9137113, ' Yes': -0.586584, 'Yes': -4.146446}
{' No': -0.705333, '\n': -0.969764, ' ': -5.263608, 'No': -2.7295601, ' Unfortunately': -3.0778399}
{' No': -0.31874177, '\n': -1.9589376, 'No': -2.5597372, ' Yes': -4.9611306, ' Unfortunately': -3.351283}
{' No': -0.25144905, '\n': -2.4191642, 'No': -2.5227695, ' Unfortunately': -3.423526, ' Yes': -4.8659587}
{' No': -0.10616511, '\n': -3.8495848, 'No': -2.582035, ' Yes': -7.0984287, ' Unfortunately': -6.268913}
{' No': -0.04400098, 'No': -4.0076146, ' Yes': -4.0949802, '\n': -4.8692822, 'Yes': -8.160833}
{' No': -0.073099576, ' Yes': -3.0330298, 'No': -4.107504, '\n': -5.3918076, 'Yes': -7.4089513}
{' No': -0.028142417, '\n': -4.174434, 'No': -4.613504, ' ': -7.110991, ' Not': -7.702386}
{' No': -0.034143638, '\n': -3.8238318, ' ': -7.449558, 'No': -4.540531, ' Yes': -8.739571}
{' No': -0.016395342, 'No': -4.38376, '\n': -5.652032, ' ': -8.733047, ' Yes': -10.024838}
{' No': -0.016847745, '\n': -5.4473395, 'No': -4.456455, ' Yes': -8.318743, ' Patient': -8.320395}
{' No': -0.09166405, '\n': -2.984612, 'No': -3.8021705, ' Yes': -4.544991, ' Nurse': -6.323088}
{' Yes': -0.4664183, ' No': -1.1376104, 'Yes': -4.2361937, ' Doctor': -4.3326902, 'No': -4.478923}
{' No': -0.14673258, ' Not': -4.8480563, '\n': -3.1932013, 'No': -3.394497, ' Yes': -3.686846}
{' No': -0.059914313, '\n': -3.2487378, ' ': -6.161466, 'No': -4.4354596, ' Yes': -5.842696}
{' No': -0.039862975, '\n': -5.5249834, ' ': -7.664095, 'No': -4.1756988, ' Yes': -4.0191565}
{' No': -0.21820073, ' Pat': -3.0264986, 'Pat': -3.2589378, '\n': -3.5192888, ' Patient': -3.5290394}
{' No': -0.018616179, '\n': -6.199749, ' ': -8.5907345, 'No': -4.243998, ' Yes': -6.4040623}
{' No': -0.11460083, '\n': -2.9908938, 'No': -3.546249, ' Yes': -4.0684047, ' Nurse': -4.8166404}
{' No': -1.585362, '\n': -4.2446675, ' Yes': -0.3574586, 'Yes': -4.62744, ' Doctor': -2.7895322}
{' No': -0.124446884, ' Not': -4.465828, '\n': -4.4038224, 'No': -3.3084478, ' Hospital': -3.6387212}
{' No': -0.05618195, '\n': -3.4237432, ' ': -5.831039, 'No': -4.4457655, ' Yes': -5.4454374}
{' No': -0.04600342, '\n': -5.107044, 'No': -3.691015, ' Yes': -4.9986844, ' no': -6.367599}
{'Pat': -4.1037555, ' No': -0.102107264, ' Pat': -3.9009297, ' Yes': -4.106551, ' Patient': -3.9633741}
{' No': -0.012565701, '\n': -6.691387, ' ': -8.334902, 'No': -4.604019, ' Yes': -7.2218304}
{' No': -0.038124356, 'No': -3.4912665, '\n': -5.0564003, ' Yes': -8.055323, ' ': -8.818869}
{' No': -1.2452093, '\n': -4.6944146, 'No': -4.380675, ' Yes': -0.40700212, 'Yes': -4.0512476}
{' No': -0.052343708, 'No': -3.7607155, '\n': -4.0202847, ' Hospital': -5.9614677, ' Yes': -6.062205}
{' No': -0.03410515, '\n': -3.8593502, ' ': -6.621165, 'No': -4.6294227, ' Yes': -7.7381263}
{' No': -0.03659161, 'No': -3.502507, ' Yes': -5.537759, '\n': -7.321386, ' Band': -8.13864}
{' No': -0.048129585, 'No': -3.249534, ' Yes': -5.5128493, '\n': -6.0677176, 'Pat': -7.4989142}
{' No': -0.013140479, '\n': -7.0208035, ' ': -9.472474, 'No': -4.4474416, ' Yes': -8.09935}
{' No': -0.07629368, '\n': -3.3215346, 'No': -3.797811, ' Yes': -4.6519256, ' Nurse': -5.825996}
{' Yes': -0.42210487, ' No': -1.2760593, ' Doctor': -3.5194616, '\n': -4.062312, 'Yes': -4.8221846}
{' No': -0.13240457, ' Hospital': -2.7798138, 'No': -3.9932573, '\n': -4.031389, ' Yes': -5.0792913}
{' No': -0.047377825, '\n': -3.6018555, 'No': -4.806961, ' Yes': -5.34377, ' ': -6.3369627}
{' No': -0.03050073, 'No': -4.002615, '\n': -5.118248, ' Yes': -6.5912414, ' no': -6.688223}
{'Pat': -3.8272936, ' No': -0.11726606, '\n': -3.5199397, ' Pat': -3.7988243, ' Patient': -4.271191}
{' No': -0.010784297, 'No': -4.9011517, '\n': -6.291183, ' Yes': -7.259687, ' ': -8.201984}
{' No': -0.35562402, '\n': -1.4814214, ' ': -6.046881, 'No': -2.7426536, ' Yes': -6.0325375}
{' No': -0.40631986, '\n': -2.0124102, 'No': -2.804187, ' Yes': -2.0494833, 'Yes': -4.912093}
{' No': -0.69906676, '\n': -0.8265329, ' ': -5.0144057, 'No': -3.038361, ' Yes': -5.4821305}
{' No': -0.74419415, '\n': -0.7516976, ' ': -5.4768314, 'No': -3.2487297, ' Unfortunately': -5.104006}
{' No': -0.13574706, '\n': -2.8596926, 'No': -2.820918, ' Yes': -5.306248, ' Unfortunately': -5.943869}
{' No': -0.21497717, '\n': -2.3908174, 'No': -2.4527683, ' Unfortunately': -5.181848, ' Yes': -5.4031677}
{' No': -0.43283668, '\n': -1.3385621, ' ': -5.6783576, 'No': -2.524893, ' Unfortunately': -6.0996075}
{' No': -1.9501315, '\n': -0.7673179, 'No': -4.0931616, ' Yes': -1.0943805, 'Yes': -4.079316}
{' No': -2.4259531, '\n': -1.2366737, 'No': -4.4567266, ' Yes': -0.58280784, 'Yes': -3.4261534}
{' No': -0.76936865, '\n': -1.0842376, ' Unfortunately': -2.5589213, 'No': -2.890815, ' Yes': -3.2364628}
{'\n': -0.91044027, ' No': -0.98991, 'No': -2.599905, ' Unfortunately': -2.7154176, ' Yes': -2.883909}
{' No': -0.6007571, '\n': -1.6962485, 'No': -2.479547, ' Yes': -2.3424258, ' Unfortunately': -2.7583804}
{' No': -0.6035528, '\n': -1.8062447, 'No': -2.5850897, ' Yes': -1.8028822, ' Unfortunately': -3.8084817}
{' No': -1.4058273, '\n': -0.5678262, 'No': -3.2645864, ' Yes': -2.3278532, ' Unfortunately': -3.7295024}
{' Yes': -0.46635038, '\n': -1.7744768, ' No': -1.8150612, 'Yes': -3.803758, 'No': -4.6294303}
{' Yes': -0.06344504, 'Yes': -3.641862, '\n': -3.6679866, ' The': -5.5446362, ' No': -5.751057}
{' No': -0.91340584, ' Hospital': -1.3757681, ' Yes': -1.6927218, '\n': -2.5071616, 'No': -3.8136039}
{' No': -0.46211573, '\n': -1.2229859, ' ': -4.5145025, ' Yes': -3.2883215, ' Unfortunately': -4.5360103}
{' No': -0.12334316, '\n': -2.6329598, 'No': -3.6687303, ' Yes': -4.717379, ' Unfortunately': -5.0952992}
{' No': -0.505582, '\n': -1.3242599, ' Yes': -3.028773, 'No': -3.3985815, ' The': -4.2062387}
{' No': -0.16313864, '\n': -2.2053978, 'No': -3.6086342, ' Yes': -4.8077407, ' The': -6.44241}
{' No': -3.033649, '\n': -2.6887739, 'No': -5.3774943, ' Yes': -0.17717154, 'Yes': -3.2552905}
{' No': -1.0899885, '\n': -0.5503595, 'No': -3.6184309, ' Yes': -4.4753346, ' Unfortunately': -3.7080379}
{' No': -1.0328368, '\n': -1.1906143, ' ': -5.037434, ' Yes': -1.1635321, 'Yes': -5.0010524}
{' No': -0.23700388, '\n': -1.9237123, 'No': -3.297503, ' Yes': -4.0366387, ' Unfortunately': -5.439097}
{' No': -0.4180339, '\n': -1.4488701, 'No': -3.3657436, ' Yes': -2.9109404, ' Patient': -4.9459343}
{' No': -2.003457, '\n': -1.203763, 'No': -5.4970384, ' Yes': -0.60716146, 'Yes': -4.427293}
{' No': -3.0115075, '\n': -1.9666641, 'No': -5.780101, ' Yes': -0.25020865, 'Yes': -3.7762325}
{' No': -1.3654869, '\n': -0.50596124, ' ': -4.435888, 'No': -3.6133754, ' Unfortunately': -2.49367}
{' No': -3.2913208, '\n': -0.70232594, ' ': -5.4745045, ' Yes': -0.81876004, 'Yes': -4.21224}
{' No': -0.5169273, '\n': -1.1872059, 'No': -3.4612386, ' Yes': -3.6513097, ' Unfortunately': -3.4745195}
{' No': -0.45177403, '\n': -1.5545267, 'No': -3.6734478, ' Yes': -2.3375351, ' Unfortunately': -4.0146365}
{'\n': -0.47115505, ' No': -1.7131156, ' Yes': -1.8196027, 'No': -4.5360374, ' Unfortunately': -4.8746066}
{' No': -7.815679, '\n': -4.042108, ' ': -7.287432, ' Yes': -0.047530763, 'Yes': -3.6082509}
{' No': -6.4155235, '\n': -3.8975713, ' ': -7.1566215, ' Yes': -0.04855717, 'Yes': -3.7783852}
{'\n': -2.8695536, ' ': -5.9473543, ' Yes': -0.11677665, ' Sur': -3.785882, 'Yes': -3.7059047}
{' No': -0.17388606, '\n': -2.3040645, ' ': -5.601741, 'No': -3.3599079, ' Yes': -4.2977777}
{' No': -1.1413454, '\n': -1.8384031, ' Yes': -0.74184734, ' Patient': -4.2763815, 'Yes': -4.5140376}
{' No': -0.55805105, '\n': -2.1790607, 'No': -4.4473386, ' Yes': -1.2377653, 'Yes': -5.3128996}
{' No': -2.0419714, '\n': -2.604967, 'No': -5.5714793, ' Yes': -0.25840205, 'Yes': -4.0421257}
{' No': -2.4247859, '\n': -3.4722328, 'No': -5.3500075, ' Yes': -0.16223165, 'Yes': -3.8400307}
{'\n': -0.66100913, ' No': -0.8972553, 'No': -3.9442158, ' Hospital': -4.1096306, ' Unfortunately': -4.2332077}
{' No': -0.102989525, '\n': -2.8112109, ' Yes': -4.06476, 'No': -4.08371, ' ': -6.705607}
{' No': -0.6059506, '\n': -1.8188984, 'No': -4.126155, ' Yes': -1.3729985, ' Patient': -4.687375}
{' No': -0.3334066, '\n': -1.5335389, ' Yes': -3.202486, 'No': -3.9098547, ' The': -5.6725936}
{' No': -0.20392458, '\n': -3.0380347, 'No': -2.6468832, ' Yes': -3.1123164, ' Nurse': -4.182591}
{' No': -3.0176172, '\n': -3.966573, ' Yes': -1.0343676, 'Doctor': -4.5620737, ' Doctor': -0.60031617}
{' Hospital': -0.49028254, ' No': -1.0802579, ' Hosp': -3.9756339, 'No': -4.7009788, ' Yes': -5.3275476}
{' No': -0.035308547, 'No': -3.9754937, '\n': -4.567716, ' Yes': -5.9841056, ' ': -6.764323}
{'Pat': -5.6001897, ' No': -0.0679301, '\n': -4.100933, 'No': -4.0645123, ' Patient': -3.8173578}
{' No': -0.017777558, '\n': -6.888245, ' ': -8.179832, 'No': -4.1568956, ' Yes': -7.593819}
{' No': -2.4878275, '\n': -1.6970083, 'No': -5.0136456, ' Yes': -0.3681987, 'Yes': -3.8454416}
{' No': -4.2314897, '\n': -2.69809, ' ': -6.0207977, ' Yes': -0.12855579, 'Yes': -3.4734807}
{'\n': -0.37137312, ' No': -1.5626345, ' Unfortunately': -3.0701702, 'No': -3.9307432, ' ': -4.2392864}
{' No': -2.1887774, '\n': -0.27673504, 'No': -4.515803, ' Yes': -2.647991, ' Unfortunately': -3.64595}
{' No': -0.64354557, '\n': -1.0995563, ' Unfortunately': -2.8609335, ' Yes': -3.0823503, 'No': -3.760857}
{'\n': -0.7670297, ' No': -1.1498153, ' Yes': -1.7764175, 'No': -3.8514984, ' Unfortunately': -4.488047}
{' No': -0.5381693, '\n': -2.2861476, 'No': -3.3986526, ' Yes': -1.3173442, 'Yes': -4.565833}
{' Yes': -0.04093485, 'Yes': -3.832187, '\n': -5.1010027, ' No': -5.163642, ' Doctor': -5.3059397}
{' No': -0.28399593, '\n': -1.8350402, ' ': -5.255701, 'No': -2.8866968, ' Hospital': -4.753171}
{' No': -0.10291889, '\n': -2.6101916, 'No': -3.9636211, ' ': -6.0014896, ' Yes': -6.541939}
{' No': -0.048500236, 'No': -3.5877802, '\n': -4.1354165, ' Yes': -6.108189, ' ': -7.154409}
{' No': -0.08469009, '\n': -3.5422688, 'No': -3.5591183, ' Yes': -4.1341076, ' Patient': -5.3672748}
{' No': -0.07826276, '\n': -3.569502, 'No': -3.1576293, ' Yes': -5.9405785, ' Unfortunately': -7.2024636}
{' No': -0.08373257, 'No': -3.1019268, '\n': -4.0427036, ' Yes': -4.1755333, ' Not': -7.209547}
{' No': -0.064576566, ' Not': -6.395188, '\n': -3.4442096, ' ': -6.681084, 'No': -3.6459782}
{' No': -0.09630949, '\n': -2.7640722, 'No': -3.7384353, ' Unfortunately': -6.584526, ' ': -6.721154}
{' No': -0.03594308, 'No': -3.6027365, '\n': -5.263827, ' Yes': -6.2553926, ' Not': -7.7980447}
{' No': -0.03524236, ' Not': -9.323206, '\n': -6.746071, 'No': -3.445179, ' Yes': -6.707838}
{' No': -0.052318078, ' Not': -7.445337, '\n': -4.1411395, 'No': -3.4354029, ' Yes': -6.5025034}
{' No': -0.11796406, '\n': -3.124964, ' ': -7.121414, 'No': -2.785509, ' Yes': -5.764479}
{' No': -0.2034627, '\n': -2.7797658, 'No': -3.6143072, ' Yes': -2.544796, ' Doctor': -4.7502155}
{' No': -0.049787775, '\n': -3.7446861, 'No': -3.999491, ' Not': -6.299686, ' Unfortunately': -6.3758426}
{' No': -0.18907791, '\n': -2.0070403, 'No': -3.431166, ' ': -6.2726746, ' Yes': -6.514465}
{' No': -0.048346266, '\n': -4.534291, 'No': -3.4765747, ' Yes': -7.016608, ' Unfortunately': -5.7665873}
{' No': -0.060013805, 'No': -3.366427, '\n': -3.9704747, ' Unfortunately': -6.2860885, ' Not': -7.4477377}
{' No': -0.04969825, 'No': -3.5663455, '\n': -4.001915, ' Yes': -7.560671, ' Not': -7.576309}
{' No': -0.055146094, '\n': -5.2803082, ' ': -8.78076, 'No': -3.032704, ' Unfortunately': -9.542765}
{' No': -0.044036802, '\n': -5.8403316, ' ': -9.197253, 'No': -3.248802, ' Yes': -6.8043146}
{' No': -0.039260942, 'No': -3.4707966, '\n': -5.135414, ' Not': -7.6381254, ' Unfortunately': -7.9127727}
{' No': -0.038956985, '\n': -4.9022055, ' ': -8.64258, 'No': -3.494859, ' Unfortunately': -9.439051}
{' No': -0.03211753, ' Not': -8.864709, '\n': -7.245914, 'No': -3.493959, ' Unfortunately': -9.052587}
{' No': -0.024548594, ' Not': -9.665359, '\n': -6.825177, 'No': -3.779437, ' Yes': -9.081061}
{' No': -0.043310784, ' Not': -10.112764, '\n': -6.1439133, ' ': -9.024099, 'No': -3.218861}
{' No': -0.02922296, '\n': -5.4722104, 'No': -3.7420177, ' Yes': -8.122114, ' Unfortunately': -8.037631}
{' No': -0.02877351, '\n': -4.8836737, ' ': -8.069966, 'No': -4.329364, ' Yes': -5.060588}
{' No': -0.0616816, '\n': -3.505327, 'No': -4.006111, ' Unfortunately': -5.976892, ' Hospital': -5.998081}
{' No': -0.057035014, '\n': -3.1200573, 'No': -4.7039423, ' ': -6.840792, ' Unfortunately': -7.589197}
{' No': -0.011474411, '\n': -6.5894885, ' ': -9.058089, 'No': -4.6514354, ' Yes': -8.49328}
{' No': -0.014397986, 'No': -4.5213633, '\n': -6.016663, ' Unfortunately': -8.034777, ' ': -8.831161}
{' No': -0.047292773, 'No': -3.2018359, '\n': -5.3088927, ' ': -8.691671, ' Unfortunately': -8.720861}
{' No': -0.14455923, 'No': -2.2521203, '\n': -3.679639, ' Unfortunately': -5.82972, ' ': -7.081843}
{' No': -0.1530626, '\n': -3.0189319, 'No': -2.458515, ' Yes': -5.420511, ' Unfortunately': -6.619331}
{' No': -0.13624063, '\n': -2.8737245, ' ': -6.3627696, 'No': -2.765641, ' Unfortunately': -5.4032145}
{' No': -0.27487507, '\n': -1.9208311, 'No': -2.417993, ' Unfortunately': -6.2982283, ' ': -6.3589506}
{' No': -0.12151603, '\n': -3.990473, 'No': -2.4090164, ' Yes': -7.299492, ' Unfortunately': -5.444184}
{' No': -0.1297606, 'No': -2.395933, '\n': -3.686134, ' Unfortunately': -5.50567, ' ': -7.377431}
{' No': -0.19294706, 'No': -1.9847159, '\n': -3.4280083, ' Unfortunately': -5.7958517, ' ': -7.003663}
{' No': -0.29007843, '\n': -2.7681572, 'No': -1.832164, ' Yes': -4.4593077, ' Unfortunately': -4.4226866}
{' No': -0.60067856, '\n': -3.140252, 'No': -2.6216593, ' Yes': -1.18353, 'Yes': -3.834073}
{' No': -0.387808, '\n': -1.9692347, 'No': -2.0967772, ' Yes': -4.2339363, ' Unfortunately': -3.4548244}
{' No': -0.5430723, '\n': -1.8346543, 'No': -1.9196305, ' Yes': -2.6727242, ' Unfortunately': -3.8442519}
{' No': -0.37601423, '\n': -2.4645705, 'No': -1.9003768, ' Yes': -2.9841816, ' Unfortunately': -4.1467566}
{' No': -0.3331915, 'No': -1.936236, '\n': -2.7624745, ' Yes': -2.858754, 'Yes': -4.911652}
{' No': -0.3336711, '\n': -2.7114024, 'No': -1.6449866, ' Yes': -4.477939, ' Unfortunately': -4.9090834}
{' No': -0.101454884, '\n': -3.3185284, 'No': -2.8930635, ' Yes': -5.9264517, ' Unfortunately': -6.993752}
{' No': -0.19324523, '\n': -2.7071135, ' Yes': -2.72189, 'No': -3.3335037, 'Yes': -6.278617}
{' No': -0.027767971, '\n': -4.51969, ' ': -8.074345, 'No': -4.202252, ' Yes': -7.0558853}
{' No': -0.12582085, '\n': -2.5267627, 'No': -3.4374397, ' Yes': -5.9724116, ' ': -6.42269}
{' No': -0.07657348, '\n': -5.166238, 'No': -2.722562, ' Yes': -7.3390703, ' Unfortunately': -6.869498}
{' No': -0.04754145, 'No': -3.349387, '\n': -4.7105303, ' Unfortunately': -6.8284664, ' Yes': -7.4445386}
{' No': -0.09394198, '\n': -4.06273, ' ': -7.5021343, 'No': -2.6551087, ' Unfortunately': -7.0891886}
{' No': -0.77698994, ' Yes': -0.8751536, '\n': -2.9225435, 'No': -3.0942125, 'Yes': -3.8217819}
{' No': -0.5896117, '\n': -1.1043173, 'No': -2.3946996, ' Hospital': -5.116797, ' Unfortunately': -5.2240386}
{' No': -0.86063033, '\n': -1.2220674, 'No': -3.6044674, ' Yes': -1.4381166, 'Yes': -4.5254097}
{' No': -0.15766354, '\n': -2.9367793, 'No': -2.5002425, ' Yes': -5.779451, ' Unfortunately': -5.685425}
{' No': -0.17707244, '\n': -2.5196304, 'No': -2.6954305, ' Yes': -4.710384, ' Patient': -6.2776847}
{' No': -0.11695593, '\n': -2.9368906, 'No': -3.1089985, ' Yes': -4.488267, ' ': -7.4699125}
{' No': -0.9558538, '\n': -1.648765, 'No': -3.2784438, ' Yes': -1.024488, 'Yes': -3.844228}
{'\n': -0.7652664, ' No': -0.8131961, 'No': -2.770567, ' Unfortunately': -4.1249714, ' ': -4.9480495}
{' No': -1.1645981, '\n': -0.78823435, 'No': -3.6414943, ' Yes': -1.6946083, 'Yes': -4.3866878}
{' No': -0.37927005, '\n': -1.639106, 'No': -2.4910903, ' Unfortunately': -3.5168357, ' ': -5.938129}
{' No': -0.2754806, '\n': -1.9019339, 'No': -2.7306025, ' Yes': -4.136425, ' Unfortunately': -5.187845}
{' No': -0.36660314, '\n': -1.5348331, 'No': -2.578954, ' Yes': -4.6234827, ' ': -6.173854}
{' No': -1.4340659, '\n': -4.1513166, 'No': -4.992038, ' Yes': -0.32306594, 'Yes': -4.2598944}
{' No': -2.8655775, '\n': -4.307058, ' Yes': -0.1019705, 'Yes': -3.9081666, ' Doctor': -6.046087}
{' No': -1.0386366, '\n': -1.9983553, 'No': -3.695083, ' Yes': -0.8935102, ' Sur': -3.0611012}
{' No': -0.027852358, 'No': -3.911687, '\n': -5.2013793, ' Yes': -6.9120836, ' ': -7.8486233}
{' No': -0.24443254, '\n': -2.4805584, ' Yes': -2.546444, 'No': -3.4602509, ' Patient': -4.1887436}
{' No': -0.043036886, '\n': -4.420783, ' ': -7.743338, 'No': -3.6066089, ' Yes': -6.096921}
{' No': -0.090671465, '\n': -3.399603, ' ': -7.0154862, 'No': -3.7534845, ' Yes': -3.5829885}
{' No': -0.13079767, '\n': -3.6764064, 'No': -3.3911927, ' Yes': -2.8305824, 'Yes': -6.6272163}
{' No': -0.2668323, '\n': -1.9128858, 'No': -3.1787927, ' Hospital': -3.878078, ' Unfortunately': -4.655557}
{' No': -0.06984405, '\n': -3.572348, 'No': -3.3959336, ' Yes': -6.104342, ' Unfortunately': -6.500815}
{' No': -0.13970098, '\n': -2.539876, ' ': -6.733822, 'No': -3.135907, ' Yes': -5.519929}
{' No': -0.042395167, '\n': -4.132677, ' ': -7.743948, 'No': -3.7530582, ' Yes': -6.6420765}
{' No': -0.048620496, '\n': -4.9313297, ' ': -8.556312, 'No': -3.245634, ' Yes': -7.093342}
{' No': -0.07111622, ' Not': -7.2597394, '\n': -4.411099, 'No': -3.2163186, ' Yes': -4.2857385}
{' No': -0.020776117, 'No': -4.251443, '\n': -5.353925, ' Not': -7.637746, ' ': -7.6913705}
{' No': -0.043702368, '\n': -3.6541967, ' ': -7.1673894, 'No': -4.199527, ' Yes': -7.6769032}
{' No': -0.023808759, 'No': -3.8635416, '\n': -6.199344, ' Yes': -8.276872, ' ': -9.434426}
{' No': -0.017281616, '\n': -7.6304674, ' ': -9.853179, 'No': -4.1045923, ' Yes': -10.215687}
{' No': -0.70064795, '\n': -1.4490744, 'No': -3.297009, ' Yes': -1.533793, 'Yes': -4.7092314}
{' No': -1.839453, '\n': -2.4670374, 'No': -4.491371, ' Yes': -0.34163886, 'Yes': -3.739643}
{' No': -0.4144107, '\n': -1.5035774, ' ': -5.494128, 'No': -3.1046705, ' Unfortunately': -2.733798}
{' No': -0.79047275, '\n': -0.8619698, 'No': -2.751395, ' Yes': -4.486331, ' Unfortunately': -3.3346791}
{' No': -0.36326095, '\n': -1.7863412, 'No': -2.553027, ' Yes': -4.498503, ' Unfortunately': -3.2626214}
{' No': -0.26247558, '\n': -1.880651, 'No': -2.7823768, ' Yes': -4.9011436, ' Unfortunately': -5.2561164}
{' No': -0.0652643, '\n': -3.9838548, ' ': -7.9000897, 'No': -3.1541827, ' Yes': -6.9065533}
{' No': -0.09294985, '\n': -3.9549186, 'No': -3.3962276, ' Yes': -3.3802917, 'Yes': -7.0158625}
{' No': -0.05964001, ' Not': -7.3754854, '\n': -3.697257, ' ': -6.6693516, 'No': -3.497949}
{' No': -0.046680994, ' Not': -9.285858, '\n': -3.6797125, ' ': -7.2576675, 'No': -3.9490798}
{' No': -0.055472404, 'No': -3.0959673, '\n': -4.8639135, ' ': -7.936524, ' Unfortunately': -8.065081}
{' No': -0.043037698, 'No': -3.486168, '\n': -4.537573, ' Yes': -8.36245, ' ': -8.545929}
{' No': -0.060371973, 'No': -3.1525347, '\n': -4.3137383, ' Yes': -6.269835, ' ': -8.0734625}
{' No': -0.060131025, 'No': -3.0733716, '\n': -5.0317264, ' Yes': -5.337263, ' ': -8.5052595}
{' No': -0.05536524, '\n': -4.289828, 'No': -3.664521, ' Yes': -4.514767, ' Hospital': -6.936228}
{' No': -0.035056837, 'No': -4.035185, '\n': -4.5284877, ' Yes': -5.288879, ' Unfortunately': -8.613368}
{' No': -0.026755728, 'No': -3.8888216, ' Yes': -5.440141, '\n': -6.672279, 'Yes': -9.373412}
{'Pat': -7.3126764, ' No': -0.04240157, '\n': -4.955117, 'No': -4.20893, ' Yes': -4.0280027}
{' No': -0.020268587, 'No': -4.014943, '\n': -6.935389, ' Yes': -6.9703526, ' ': -10.257141}
{' No': -0.09418125, 'No': -2.8698332, '\n': -3.7983418, ' Yes': -4.6897144, 'Yes': -7.5056067}
{' No': -0.31070867, ' Yes': -1.7256047, '\n': -3.4642825, ' Doctor': -3.5898967, 'No': -3.7261307}
{' No': -0.044237327, '\n': -4.3540115, 'No': -4.031006, ' Yes': -4.709591, ' Hospital': -6.414425}
{' No': -0.077904634, ' Yes': -3.3150985, '\n': -3.9837444, 'No': -4.0900545, ' Sur': -7.014512}
{' No': -0.024926662, 'No': -3.8719497, '\n': -6.325111, ' Yes': -6.4231296, ' ': -9.047875}
{'Pat': -3.8176565, ' No': -0.11038901, '\n': -3.749198, 'No': -4.2086935, ' Pat': -4.1538763}
{' No': -0.01972356, '\n': -6.5250425, ' ': -9.474747, 'No': -4.1084113, ' Yes': -6.5401335}
{' No': -0.02649294, '\n': -5.9970145, ' ': -9.656502, 'No': -3.757255, ' Yes': -8.420434}
{' No': -0.03420309, 'No': -3.7286916, ' Yes': -4.9633164, '\n': -6.2161946, ' Doctor': -8.029686}
{' No': -0.042127054, 'No': -4.092447, ' Yes': -4.4264174, '\n': -4.678781, ' Hospital': -6.48323}
{' No': -0.033146236, 'No': -4.1225266, '\n': -4.430498, ' Yes': -5.6222095, ' ': -8.170374}
{' No': -0.027040014, 'No': -3.792367, '\n': -6.2869215, ' Yes': -6.318271, ' ': -8.999575}
{'Pat': -8.07798, ' No': -0.026448017, '\n': -5.207089, 'No': -4.2509103, ' Yes': -5.258286}
{' No': -0.019807942, '\n': -7.7728705, ' ': -10.452229, 'No': -3.9592037, ' Yes': -9.63743}
{' No': -0.020763036, '\n': -5.697435, ' ': -9.1259985, 'No': -4.12054, ' Yes': -7.1416445}
{' No': -0.200794, '\n': -5.3774276, 'No': -3.800121, ' Yes': -1.8945025, 'Yes': -5.9414973}
{' No': -0.032521617, 'No': -4.1304865, '\n': -4.8705325, ' Hospital': -5.8072176, ' Yes': -5.8714266}
{' No': -0.04963323, '\n': -3.9543746, 'No': -4.352152, ' Yes': -4.475267, ' Sur': -5.723841}
{' Band': -8.200426, ' No': -0.016807798, '\n': -6.826959, 'No': -4.2668586, ' Yes': -6.9717216}
